Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
A drug has a half-life of 6 hours in the human body. What percentage of the original dose remains after 18 hours?,Pharmacokinetics,12.5,12.5,12.5,12.5,A drug has a half - life of var_A hours in the human body. What percentage of the original dose remains after var_B hours?,"1. Determine how many half-lives have passed in 18 hours by dividing the total time by the half-life duration.
2. Use the formula for remaining quantity after a certain number of half-lives, which is (1/2) raised to the power of the number of half-lives.
3. Convert the remaining fraction to a percentage to find out what percentage of the original dose remains.",(1/2) ** (var_B / var_A) * 100,"def solution(var_A, var_B):
    half_lives = var_B / var_A
    remaining_fraction = (1 / 2) ** half_lives
    return remaining_fraction * 100","{'var_A': 6.0, 'var_B': 18.0}",False,
A 50 mL solution contains 2.5 g of NaCl. What is its molarity? (Molar mass NaCl = 58.44 g/mol),Solution Concentration,0.855,0.8555783709787818,0.8555783709787818,0.8555783709787818,A var_A mL solution contains var_B g of NaCl. What is its molarity? ( Molar mass NaCl = var_C g / mol ),"1. Convert the volume of the solution from milliliters to liters.
2. Calculate the number of moles of NaCl by dividing the mass of NaCl by its molar mass.
3. Divide the number of moles of NaCl by the volume of the solution in liters to find the molarity.",(var_B / var_C) / (var_A / 1000),"def solution(var_A, var_B, var_C):
    volume_liters = var_A / 1000
    moles_NaCl = var_B / var_C
    molarity = moles_NaCl / volume_liters
    return molarity","{'var_A': 50.0, 'var_B': 2.5, 'var_C': 58.44}",False,
"If a cell divides into 2 every 20 minutes, how many cells are present after 1 hour starting from 1 cell? (Exponential growth) What is the cell count?",Exponential Growth,8.0,,,,"If a cell divides into var_A every var_B minutes, how many cells are present after var_C hour starting from var_D cell? ( Exponential growth ) What is the cell count?","1. Determine the total number of 20-minute intervals in 1 hour.
2. Use the formula for exponential growth, which states that the number of cells doubles with each interval.
3. Calculate the final number of cells by raising 2 to the power of the number of intervals and then multiplying by the initial number of cells.",var_D * (var_A ** (var_C * 60 // var_B)),"def solution(var_A, var_B, var_C, var_D):
    intervals = (var_C * 60) // var_B
    return var_D * (var_A ** intervals)","{'var_A': 2.0, 'var_B': 20.0, 'var_C': 1.0, 'var_D': 1.0}",True,int too large to convert to float
A patient's metabolic rate is 1.2 kcal/minute at rest. What is total energy expenditure in 8 hours?,Metabolism,576,576.0,576.0,576.0,A patient's metabolic rate is var_A kcal / minute at rest. What is total energy expenditure in var_B hours?,"1. Convert the time from hours to minutes to find the total time in minutes.
2. Multiply the metabolic rate by the total time in minutes to calculate the total energy expenditure.",var_A * (var_B * 60),"def solution(var_A, var_B):
    total_time_minutes = var_B * 60
    return var_A * total_time_minutes","{'var_A': 1.2, 'var_B': 8.0}",False,
"A patient's white blood cell count increases from 4,000 to 11,000 cells/μL during an infection. What is the percentage increase in white blood cells?",Immunology,175.0,175.0,175.0,175.0,A patient's white blood cell count increases from var_A to var_B cells / μL during an infection. What is the percentage increase in white blood cells?,"1. Subtract the initial white blood cell count from the final count to find the increase in the count.
2. Divide the increase by the initial count to find the fractional increase.
3. Multiply the fractional increase by 100 to convert it to a percentage.",((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    increase = var_B - var_A
    fractional_increase = increase / var_A
    percentage_increase = fractional_increase * 100
    return percentage_increase","{'var_A': 4000.0, 'var_B': 11000.0}",False,
"A ball is thrown upward with an initial velocity of 20 m/s. Taking g = 10 m/s², What is its maximum height in meters?",Projectile Motion,20.0,20.0,20.0,20.0,"A ball is thrown upward with an initial velocity of var_A m / s. Taking g = var_B m / s², What is its maximum height in meters?","1. Use the formula for maximum height, which is derived from the initial velocity and acceleration due to gravity.
2. Set the final velocity at the maximum height to zero.
3. Rearrange the formula to solve for maximum height using the initial velocity and acceleration due to gravity.",(var_A ** 2) / (2 * var_B),"def solution(var_A, var_B):
    return (var_A ** 2) / (2 * var_B)","{'var_A': 20.0, 'var_B': 10.0}",False,
A 100 W light bulb is left on for 5 hours. How much energy does it consume in kWh?,Energy Consumption,0.5,0.5,0.5,0.5,A var_A W light bulb is left on for var_B hours. How much energy does it consume in kWh?,"1. Convert the power of the light bulb from watts to kilowatts by dividing by 1000.
2. Multiply the power in kilowatts by the number of hours the light bulb is on to find the energy consumed in kilowatt-hours (kWh).",(var_A / 1000) * var_B,"def solution(var_A, var_B):
    power_kW = var_A / 1000
    energy_kWh = power_kW * var_B
    return energy_kWh","{'var_A': 100.0, 'var_B': 5.0}",False,
A bipolar junction transistor has a current gain of 100. What base current generates a collector current of 10 mA?,Semiconductor Electronics,0.1,0.1,0.1,0.1,A bipolar junction transistor has a current gain of var_A What base current generates a collector current of var_B mA?,"1. Use the formula for current gain, which relates collector current, base current, and current gain.
2. Rearrange the formula to solve for the base current.
3. Substitute the given collector current and current gain into the rearranged formula to find the base current.",var_B / var_A,"def solution(var_A, var_B):
    return var_B / var_A","{'var_A': 100.0, 'var_B': 10.0}",False,
A quantum dot emits photons at 600 nm wavelength. What is its bandgap energy in electron volts?,Quantum Mechanics,2.48,,2.066167290886392e-09,2.068039950062422,A quantum dot emits photons at var_A nm wavelength. What is its bandgap energy in electron volts?,"1. Use the formula that relates the energy of a photon to its wavelength, which is E = hc/λ, where h is Planck's constant and c is the speed of light.
2. Substitute the given wavelength into the formula to calculate the energy in joules.
3. Convert the energy from joules to electron volts using the conversion factor (1 eV = 1.602 x 10^-19 joules).",(1.986e-25 / var_A) / 1.602e-19,"def solution(var_A):
    h = 6.626e-34  # Planck's constant in J*s
    c = 3e8        # Speed of light in m/s
    energy_joules = (h * c) / (var_A * 1e-9)  # Convert nm to meters
    energy_eV = energy_joules / 1.602e-19  # Convert joules to electron volts
    return energy_eV",{'var_A': 600.0},True,'Code_Result'
"A sample of gas occupies 3 L at 27°C. At constant pressure, it is heated to 127°C. What is its new volume in liters?",Charles's Law,4.0,3.9995002498750623,3.9995002498750623,3.9995002498750623,"A sample of gas occupies var_A L at var_B °C. At constant pressure, it is heated to var_C °C. What is its new volume in liters?","1. Use Charles's Law, which states that the volume of a gas is directly proportional to its temperature in Kelvin when pressure is constant.
2. Convert the initial and final temperatures from Celsius to Kelvin.
3. Set up the ratio of the initial volume to the initial temperature and the final volume to the final temperature.
4. Solve for the new volume using the known initial volume and temperatures.",var_A * (var_C + 273.15) / (var_B + 273.15),"def solution(var_A, var_B, var_C):
    initial_temp_k = var_B + 273.15
    final_temp_k = var_C + 273.15
    new_volume = var_A * (final_temp_k / initial_temp_k)
    return new_volume","{'var_A': 3.0, 'var_B': 27.0, 'var_C': 127.0}",False,
A pendulum makes 40 complete oscillations in 2 minutes. What is its frequency in Hertz?,Oscillation Frequency,0.333,0.3333333333333333,0.3333333333333333,0.3333333333333333,A pendulum makes var_A complete oscillations in var_B minutes. What is its frequency in Hertz?,"1. Convert the total time from minutes to seconds to find the duration of the oscillations in seconds.
2. Divide the total number of oscillations by the total time in seconds to find the frequency in Hertz.",var_A / (var_B * 60),"def solution(var_A, var_B):
    total_time_seconds = var_B * 60
    frequency = var_A / total_time_seconds
    return frequency","{'var_A': 40.0, 'var_B': 2.0}",False,
A patient's body temperature fluctuates between 36.5°C and 37.5°C. What is the temperature range in Fahrenheit?,Clinical Physiology,99.5,,,,A patient's body temperature fluctuates between var_A °C and var_B °C. What is the temperature range in Fahrenheit?,"1. Convert the lower temperature (36.5°C) to Fahrenheit using the conversion formula: \( F = \frac{9}{5}C + 32 \).
2. Convert the upper temperature (37.5°C) to Fahrenheit using the same conversion formula.
3. Determine the range in Fahrenheit by identifying the converted lower and upper temperatures.","((9/5) * var_A + 32, (9/5) * var_B + 32)","def solution(var_A, var_B):
    lower_fahrenheit = (9/5) * var_A + 32
    upper_fahrenheit = (9/5) * var_B + 32
    return lower_fahrenheit, upper_fahrenheit","{'var_A': 36.5, 'var_B': 37.5}",True,"float() argument must be a string or a real number, not 'tuple'"
"A photon has a wavelength of 500 nm. What is its energy in electron volts? (h = 6.626e-34 J·s, c = 3e8 m/s, 1 eV = 1.6e-19 J)",Quantum Mechanics,2.48,,3347873.684210526,1.0736842105263156e-11,"A photon has a wavelength of var_A nm. What is its energy in electron volts? ( h = var_B e - var_C J·s, c = var_D e m / s, var_E eV = var_F e - var_G J )","1. Convert the wavelength from nanometers to meters.
2. Use the formula for energy of a photon, which is E = h * c / wavelength.
3. Calculate the energy in joules using the values of h and c.
4. Convert the energy from joules to electron volts using the conversion factor (1 eV = 1.6e-19 J).",(var_B * var_D / (var_A * 1e-9)) / var_G * var_F,"def solution(var_A, var_B, var_C, var_D, var_E, var_F, var_G):
    wavelength_m = var_A * 1e-9
    h = var_B * 1e-18 - var_C
    c = var_D * 1e-18
    energy_joules = (h * c) / wavelength_m
    energy_eV = energy_joules / (var_F * 1e-18 - var_G)
    return energy_eV","{'var_A': 500.0, 'var_B': 6.626, 'var_C': 34.0, 'var_D': 3.0, 'var_E': 1.0, 'var_F': 1.6, 'var_G': 19.0}",True,'Code_Result'
A protein biomarker concentration is 25 ng/mL in diseased state. What is its concentration in μg/L?,Clinical Biochemistry,25000,25.0,25.0,25.0,A protein biomarker concentration is var_A ng / mL in diseased state. What is its concentration in μg / L?,"1. Recognize the conversion factor between ng/mL and μg/L.
2. Convert the concentration from ng/mL to μg by using the appropriate conversion factor.
3. Since 1 ng/mL is equal to 1 μg/L, the concentration in μg/L will be the same numerical value as in ng/mL.",var_A,"def solution(var_A):
    return var_A",{'var_A': 25.0},False,
An enzyme reaction rate is 0.5 μmol/min at 25°C. What is the rate in mmol/hour?,Enzyme Kinetics,0.03,0.03,0.03,0.03,An enzyme reaction rate is var_A μmol / min at var_B °C. What is the rate in mmol / hour?,"1. Convert the rate from μmol/min to mmol/min by dividing by 1000.
2. Convert the rate from mmol/min to mmol/hour by multiplying by 60.",(var_A / 1000) * 60,"def solution(var_A, var_B):
    return (var_A / 1000) * 60","{'var_A': 0.5, 'var_B': 25.0}",False,
A superconductor transitions at 4.2 K and carries 50 A of current. What is its critical current density at 77 K? (Assume linear reduction),Superconductivity,919.0,,,0.0,A superconductor transitions at var_A K and carries var_B A of current. What is its critical current density at var_C K? ( Assume linear reduction ),"1. Identify the critical current at the transition temperature (4.2 K) and the current carried (50 A).
2. Determine the temperature difference between the transition temperature and the given temperature (77 K).
3. Calculate the reduction in critical current based on the linear relationship between temperature and critical current.
4. Divide the adjusted critical current by the cross-sectional area of the superconductor (if provided) to find the critical current density at 77 K.",(var_B * (var_A - var_C) / (var_A - 4.2)),"def solution(var_A, var_B, var_C):
    transition_temp = 4.2
    critical_current_at_transition = var_B
    temperature_difference = var_C - transition_temp
    reduction_factor = temperature_difference / (77 - transition_temp)
    adjusted_critical_current = critical_current_at_transition * (1 - reduction_factor)
    return adjusted_critical_current","{'var_A': 4.2, 'var_B': 50.0, 'var_C': 77.0}",True,'Code_Result'
10 moles of hydrogen gas (H2) combine with 5 moles of oxygen gas (O2) to form water (H2O). How many moles of water are produced?,Stoichiometry,5.0,,,,var_A moles of hydrogen gas ( H var_B ) combine with var_C moles of oxygen gas ( O var_D ) to form water ( H var_E O ) . How many moles of water are produced?,"1. Write the balanced chemical equation for the reaction between hydrogen gas and oxygen gas to form water.
2. Identify the stoichiometric ratios from the balanced equation to determine how many moles of water are produced per mole of hydrogen and oxygen.
3. Determine the limiting reactant by comparing the available moles of hydrogen and oxygen based on the stoichiometric ratios.
4. Use the moles of the limiting reactant to calculate the total moles of water produced.","min(var_A * var_E / var_B, var_C * var_E / var_D)","def solution(var_A, var_B, var_C, var_D, var_E):
    moles_H2O_from_H = var_A * (2 / var_B)
    moles_H2O_from_O = var_C * (2 / var_D)
    moles_H2O_produced = min(moles_H2O_from_H, moles_H2O_from_O)
    return moles_H2O_produced","{'var_A': 10.0, 'var_B': 2.0, 'var_C': 5.0, 'var_D': 2.0, 'var_E': 2.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A stock increases from $50 to $62 over one year. What is its percentage return?,Financial Returns,24.0,24.0,24.0,24.0,A stock increases from $ var_A to $ var_B over one year. What is its percentage return?,"1. Subtract the initial stock price from the final stock price to find the gain.
2. Divide the gain by the initial stock price to find the return as a decimal.
3. Multiply the decimal return by 100 to convert it to a percentage.",((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    gain = var_B - var_A
    return (gain / var_A) * 100","{'var_A': 50.0, 'var_B': 62.0}",False,
A quantum well confines electrons with energy gap of 0.2 eV. What is the wavelength of emitted photon?,Quantum Optoelectronics,6.2e-06,,6200.0,6.204119850187266e-06,A quantum well confines electrons with energy gap of var_A eV. What is the wavelength of emitted photon?,"1. Use the energy-wavelength relationship for photons, which is given by the formula \( E = \frac{hc}{\lambda} \), where \( E \) is the energy of the photon, \( h \) is Planck's constant, and \( c \) is the speed of light.
2. Rearrange the formula to solve for the wavelength \( \lambda \).
3. Substitute the energy gap value into the rearranged formula to calculate the wavelength of the emitted photon.",(1240 / var_A),"def solution(var_A):
    h = 6.626e-34  # Planck's constant in J*s
    c = 3e8        # Speed of light in m/s
    E = var_A * 1.602e-19  # Convert eV to Joules
    wavelength = h * c / E
    return wavelength",{'var_A': 0.2},True,'Code_Result'
A spring has a spring constant of 100 N/m. It is stretched by 0.1 m. What is the force exerted by the spring?,Hooke's Law,10.0,10.0,10.0,10.0,A spring has a spring constant of var_A N / m. It is stretched by var_B m. What is the force exerted by the spring?,"1. Use Hooke's Law, which states that the force exerted by a spring is equal to the spring constant multiplied by the displacement from its equilibrium position.
2. Multiply the spring constant by the amount the spring is stretched to find the force exerted by the spring.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 100.0, 'var_B': 0.1}",False,
"The half-life of a radioactive isotope is 5 years. After 15 years, What fraction of the original isotope remains?",Radioactive Decay,0.125,0.125,0.125,0.125,"The half - life of a radioactive isotope is var_A years. After var_B years, What fraction of the original isotope remains?","1. Determine how many half-lives have passed by dividing the total time (15 years) by the half-life (5 years).
2. Use the formula for remaining quantity after half-lives, which is (1/2) raised to the number of half-lives.
3. Calculate the fraction of the original isotope that remains based on the result from the previous step.",(1/2) ** (var_B / var_A),"def solution(var_A, var_B):
    half_lives = var_B / var_A
    return (1 / 2) ** half_lives","{'var_A': 5.0, 'var_B': 15.0}",False,
"An economic production function has constant returns to scale. If labor and capital both double, by what factor does output increase?",Economic Production,2.0,2.0,2,2,"An economic production function has constant returns to scale. If labor and capital both double, by what factor does output increase?","1. Understand the concept of constant returns to scale, which states that if all inputs are increased by a certain factor, the output will increase by the same factor.
2. Identify that doubling both labor and capital means increasing each input by a factor of two.
3. Conclude that the output will also increase by the same factor of two.",2,"def solution():
    return 2",{},False,
"A gas occupies 2 L at 1 atm pressure. If the pressure is increased to 3 atm at constant temperature, What is the new volume in liters?",Boyle's Law,0.67,0.6666666666666666,0.6666666666666666,0.6666666666666666,"A gas occupies var_A L at var_B atm pressure. If the pressure is increased to var_C atm at constant temperature, What is the new volume in liters?","1. Use Boyle's Law, which states that the product of pressure and volume is constant at constant temperature.
2. Set up the equation using the initial pressure and volume and the final pressure and volume.
3. Rearrange the equation to solve for the new volume.
4. Substitute the known values into the equation to find the new volume.",(var_A * var_B) / var_C,"def solution(var_A, var_B, var_C):
    return (var_A * var_B) / var_C","{'var_A': 2.0, 'var_B': 1.0, 'var_C': 3.0}",False,
A medical imaging technique resolves structures 0.5 mm in size. What is its resolution in micrometers?,Medical Imaging,500,500.0,500.0,500.0,A medical imaging technique resolves structures var_A mm in size. What is its resolution in micrometers?,"1. Recognize that 1 millimeter is equal to 1000 micrometers.
2. Convert the resolution from millimeters to micrometers by multiplying the size in millimeters by 1000.",var_A * 1000,"def solution(var_A):
    return var_A * 1000",{'var_A': 0.5},False,
The pH of a solution is 4. What is the concentration of hydrogen ions in mol/L?,pH Calculation,0.0001,0.0001,0.0001,0.0001,The pH of a solution is var_A What is the concentration of hydrogen ions in mol / L?,"1. Use the formula for pH, which is pH = -log[H+], where [H+] is the concentration of hydrogen ions.
2. Rearrange the formula to solve for [H+].
3. Calculate the concentration of hydrogen ions by taking the antilogarithm of the negative pH value.",10 ** (-var_A),"def solution(var_A):
    import math
    return 10 ** (-var_A)",{'var_A': 4.0},False,
An enzyme's catalytic rate is 250 molecules per second at 37°C. How many molecules are processed in 1 minute?,Enzyme Kinetics,15000,15000.0,15000.0,15000.0,An enzyme's catalytic rate is var_A molecules per second at var_B °C. How many molecules are processed in var_C minute?,"1. Determine the total number of seconds in 1 minute.
2. Multiply the catalytic rate (molecules per second) by the total number of seconds to find the total number of molecules processed in 1 minute.",var_A * var_C * 60,"def solution(var_A, var_B, var_C):
    total_seconds = var_C * 60
    return var_A * total_seconds","{'var_A': 250.0, 'var_B': 37.0, 'var_C': 1.0}",False,
"An electric field of 500 V/m accelerates an electron. What is its acceleration? (electron mass = 9.1e-31 kg, electron charge = 1.6e-19 C)",Electromagnetic Dynamics,8.79e+18,397.26027397260276,397.26027397260276,397.26027397260276,"An electric field of var_A V / m accelerates an electron. What is its acceleration? ( electron mass = var_B e - var_C kg, electron charge = var_D e - var_E C )","1. Use the formula for the force on a charge in an electric field, which is the product of the charge and the electric field strength.
2. Apply Newton's second law, which states that force equals mass times acceleration, to find the acceleration.
3. Rearrange the equation to solve for acceleration by dividing the force by the mass of the electron.",(var_A * (var_D - var_E)) / (var_B - var_C),"def solution(var_A, var_B, var_C, var_D, var_E):
    mass = var_B - var_C
    charge = var_D - var_E
    force = charge * var_A
    acceleration = force / mass
    return acceleration","{'var_A': 500.0, 'var_B': 9.1, 'var_C': 31.0, 'var_D': 1.6, 'var_E': 19.0}",False,
A cancer therapy delivers 2 Gy radiation dose per treatment. What is the total radiation exposure after 5 fractions?,Radiation Oncology,10.0,10.0,10.0,10.0,A cancer therapy delivers var_A Gy radiation dose per treatment. What is the total radiation exposure after var_B fractions?,"1. Identify the radiation dose delivered per treatment.
2. Multiply the radiation dose per treatment by the number of treatments (fractions) to find the total radiation exposure.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 2.0, 'var_B': 5.0}",False,
A capacitor has a capacitance of 5 μF and is charged to a potential difference of 10 V. What is the charge stored in the capacitor?,Capacitance,50.0,50.0,50.0,50.0,A capacitor has a capacitance of var_A μF and is charged to a potential difference of var_B V. What is the charge stored in the capacitor?,"1. Use the formula for charge stored in a capacitor, which is Q = C × V, where Q is the charge, C is the capacitance, and V is the potential difference.
2. Substitute the given values of capacitance and potential difference into the formula to calculate the charge stored in the capacitor.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 5.0, 'var_B': 10.0}",False,
A car accelerates from rest at a constant rate of 2 m/s^2 for 5 seconds. What is its final velocity?,Kinematics,10.0,,10.0,1000.0,A car accelerates from rest at a constant rate of var_A m / s ^ var_B for var_C seconds. What is its final velocity?,"1. Identify the initial velocity of the car, which is zero since it starts from rest.
2. Use the formula for final velocity, which is the initial velocity plus the product of acceleration and time.
3. Substitute the known values of acceleration and time into the formula to calculate the final velocity.",var_A * var_C,"def solution(var_A, var_B, var_C):
    initial_velocity = 0
    acceleration = var_A * (10 ** var_B)
    final_velocity = initial_velocity + (acceleration * var_C)
    return final_velocity","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 5.0}",True,'Code_Result'
The frequency of a wave is 500 Hz and its wavelength is 0.7 m. What is its speed in m/s?,Wave Speed,350.0,350.0,350.0,350.0,The frequency of a wave is var_A Hz and its wavelength is var_B m. What is its speed in m / s?,"1. Use the wave speed formula, which relates speed, frequency, and wavelength.
2. Multiply the frequency of the wave by its wavelength to find the speed of the wave.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 500.0, 'var_B': 0.7}",False,
"A bacterial population doubles every 20 minutes. Starting with 1000 cells, How many cells after 60 minutes?",Bacterial Growth,8000,8000.0,8000.0,8000.0,"A bacterial population doubles every var_A minutes. Starting with var_B cells, How many cells after var_C minutes?","1. Determine how many 20-minute intervals are in 60 minutes.
2. Use the formula for exponential growth to calculate the population after the determined number of intervals, starting with the initial population.",var_B * (2 ** (var_C // var_A)),"def solution(var_A, var_B, var_C):
    intervals = var_C // var_A
    return var_B * (2 ** intervals)","{'var_A': 20.0, 'var_B': 1000.0, 'var_C': 60.0}",False,
"A 5 kg object moving at 3 m/s collides with a stationary 3 kg object. After collision, they move together. What is their final velocity?",Conservation of Momentum,1.875,1.875,1.875,1.875,"A var_A kg object moving at var_B m / s collides with a stationary var_C kg object. After collision, they move together. What is their final velocity?","1. Use the principle of conservation of momentum, which states that the total momentum before the collision equals the total momentum after the collision.
2. Calculate the initial momentum of the moving object by multiplying its mass by its velocity.
3. Since the stationary object has no initial momentum, add the momentum of the moving object to find the total initial momentum.
4. Set the total initial momentum equal to the combined mass of both objects multiplied by their final velocity.
5. Solve for the final velocity by dividing the total initial momentum by the combined mass of the two objects.",(var_A * var_B) / (var_A + var_C),"def solution(var_A, var_B, var_C):
    total_initial_momentum = var_A * var_B
    combined_mass = var_A + var_C
    final_velocity = total_initial_momentum / combined_mass
    return final_velocity","{'var_A': 5.0, 'var_B': 3.0, 'var_C': 3.0}",False,
