Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",9,9,9.0,9.0,"Luke made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?","1. Add the total amount of money Luke made from mowing lawns and weed eating to find his total earnings.
2. Divide the total earnings by the amount he spends per week to determine how many weeks the money will last.",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_earnings = var_A + var_B
    return total_earnings / var_C","{'var_A': 9.0, 'var_B': 18.0, 'var_C': 3.0}",False,
" John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",8,8,8.0,8.0,"John made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?","1. Add the total amount of money John made from mowing lawns and weed eating to find his total earnings.
2. Divide the total earnings by the amount he spends per week to determine how many weeks the money will last.",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_earnings = var_A + var_B
    return total_earnings / var_C","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 3.0}",False,
" A worksheet had 2 problems on it. If a teacher had 14 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",14,14,14.0,14.0,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","1. Calculate the total number of problems on all the worksheets by multiplying the number of worksheets by the number of problems per worksheet.
2. Determine how many problems have already been graded by multiplying the number of graded worksheets by the number of problems per worksheet.
3. Subtract the number of graded problems from the total number of problems to find out how many more problems the teacher has to grade.",(var_B * var_A) - (var_C * var_A),"def solution(var_A, var_B, var_C):
    total_problems = var_A * var_B
    graded_problems = var_A * var_C
    return total_problems - graded_problems","{'var_A': 2.0, 'var_B': 14.0, 'var_C': 7.0}",False,
" A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? ",15,15,15.0,15.0,"A waiter at 'The Greasy Spoon' restaurant had var_A customers to wait on. During the lunch rush he added another var_B customers. If var_C of the customers didn't leave him a tip, how many customers did leave a tip?","1. Add the initial number of customers to the number of additional customers to find the total number of customers.
2. Subtract the number of customers who didn't leave a tip from the total number of customers to find out how many customers did leave a tip.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    total_customers = var_A + var_B
    customers_with_tips = total_customers - var_C
    return customers_with_tips","{'var_A': 29.0, 'var_B': 20.0, 'var_C': 34.0}",False,
" The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with? ",31,31,31.0,31.0,"The school cafeteria ordered var_A red apples and var_B green apples for students lunches. But, if only var_C students wanted fruit, how many extra did the cafeteria end up with?","1. Add the number of red apples and green apples to find the total number of apples ordered.
2. Subtract the number of students who wanted fruit from the total number of apples to determine how many extra apples the cafeteria has.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    total_apples = var_A + var_B
    extra_apples = total_apples - var_C
    return extra_apples","{'var_A': 37.0, 'var_B': 45.0, 'var_C': 51.0}",False,
" Luke was putting his spare change into piles. He had 5 piles of quarters and 5 piles of dimes. If each pile had 3 coins in it, how many coins did he have total? ",30,30,30.0,30.0,"Luke was putting his spare change into piles. He had var_A piles of quarters and var_B piles of dimes. If each pile had var_C coins in it, how many coins did he have total?","1. Calculate the total number of quarters by multiplying the number of piles of quarters by the number of coins in each pile.
2. Calculate the total number of dimes by multiplying the number of piles of dimes by the number of coins in each pile.
3. Add the total number of quarters and the total number of dimes to find the total number of coins.",(var_A * var_C) + (var_B * var_C),"def solution(var_A, var_B, var_C):
    total_quarters = var_A * var_C
    total_dimes = var_B * var_C
    return total_quarters + total_dimes","{'var_A': 5.0, 'var_B': 5.0, 'var_C': 3.0}",False,
" Megan's class is going on a field trip to the zoo. If each van can hold 5 people and there are 25 students and 5 adults going, how many vans will they need? ",6,,,,"Megan's class is going on a field trip to the zoo. If each van can hold var_A people and there are var_B students and var_C adults going, how many vans will they need?","1. Add the number of students and adults together to find the total number of people going on the field trip.
2. Divide the total number of people by the capacity of each van to determine how many vans are needed.
3. If the division does not result in a whole number, round up to ensure everyone has a seat.",(math.ceil((var_B + var_C) / var_A)),"def solution(var_A, var_B, var_C):
    total_people = var_B + var_C
    vans_needed = total_people / var_A
    return int(vans_needed) + (vans_needed % 1 > 0)","{'var_A': 5.0, 'var_B': 25.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total? ",31,31,31.0,31.0,"Nancy picked var_A carrots from her garden. If she threw out var_B of them and then picked var_C more the next day, how many carrots would she have total?","1. Start with the initial number of carrots Nancy picked, which is 12.
2. Subtract the number of carrots she threw out, which is 2, to find the remaining carrots.
3. Add the number of carrots she picked the next day, which is 21, to the remaining carrots to find the total number of carrots.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 12.0, 'var_B': 2.0, 'var_C': 21.0}",False,
" A worksheet had 3 problems on it. If a teacher had 15 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",24,24,24.0,24.0,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","1. Calculate the total number of problems on all the worksheets by multiplying the number of worksheets by the number of problems per worksheet.
2. Determine how many problems have already been graded by multiplying the number of graded worksheets by the number of problems per worksheet.
3. Subtract the number of problems already graded from the total number of problems to find out how many more problems the teacher has to grade.",(var_B * var_A) - (var_C * var_A),"def solution(var_A, var_B, var_C):
    total_problems = var_A * var_B
    graded_problems = var_A * var_C
    return total_problems - graded_problems","{'var_A': 3.0, 'var_B': 15.0, 'var_C': 7.0}",False,
" The cafeteria had 50 apples. For lunch they handed out 5 to students and decided to use the rest to make pies. If each pie takes 5 apples, how many pies could they make? ",9,9,9.0,9.0,"The cafeteria had var_A apples. For lunch they handed out var_B to students and decided to use the rest to make pies. If each pie takes var_C apples, how many pies could they make?","1. Subtract the number of apples handed out to students from the total number of apples to find out how many apples are left.
2. Divide the remaining number of apples by the number of apples needed for each pie to determine how many pies can be made.",(var_A - var_B) // var_C,"def solution(var_A, var_B, var_C):
    remaining_apples = var_A - var_B
    return remaining_apples // var_C","{'var_A': 50.0, 'var_B': 5.0, 'var_C': 5.0}",False,
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39,39,39.0,39.0,"Tom had var_A books. If he sold var_B of them and used the money he earned to buy var_C new books, how many books would Tom have?","1. Subtract the number of books Tom sold from the total number of books he initially had to find out how many books he has left.
2. Add the number of new books he bought to the remaining books to find out the total number of books Tom has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    remaining_books = var_A - var_B
    total_books = remaining_books + var_C
    return total_books","{'var_A': 5.0, 'var_B': 4.0, 'var_C': 38.0}",False,
" Rachel was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 6 shelves of mystery books and 2 shelves of picture books, how many books did she have total? ",72,72,72.0,72.0,"Rachel was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?","1. Calculate the total number of shelves by adding the number of mystery shelves and picture shelves.
2. Multiply the total number of shelves by the number of books per shelf to find the total number of books Rachel had.",var_A * (var_B + var_C),"def solution(var_A, var_B, var_C):
    total_shelves = var_B + var_C
    return total_shelves * var_A","{'var_A': 9.0, 'var_B': 6.0, 'var_C': 2.0}",False,
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 6 lives, how many lives did they have total? ",24,24,24.0,24.0,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?","1. Determine the total number of players by adding the initial friends to the additional players who joined.
2. Multiply the total number of players by the number of lives each player has to find the total number of lives.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    total_lives = total_players * var_C
    return total_lives","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 6.0}",False,
" Haley baked 20 cupcakes for her school's bake sale. If her brother, Todd, ate 11 of them how many packages could she make if she put 3 cupcake in each package? ",3,3,3.0,3.0,"Haley baked var_A cupcakes for her school's bake sale. If her brother, Todd, ate var_B of them how many packages could she make if she put var_C cupcake in each package?","1. Subtract the number of cupcakes Todd ate from the total number of cupcakes to find out how many cupcakes are left.
2. Divide the remaining number of cupcakes by the number of cupcakes per package to determine how many packages Haley can make.",(var_A - var_B) // var_C,"def solution(var_A, var_B, var_C):
    remaining_cupcakes = var_A - var_B
    return remaining_cupcakes // var_C","{'var_A': 20.0, 'var_B': 11.0, 'var_C': 3.0}",False,
" Bianca had 45 coloring books. If she gave away 6 of them, but then bought 20 more, how many would she have total? ",59,59,59.0,59.0,"Bianca had var_A coloring books. If she gave away var_B of them, but then bought var_C more, how many would she have total?","1. Subtract the number of coloring books Bianca gave away from the initial number of coloring books she had.
2. Add the number of coloring books she bought to the result from step 1 to find the total number of coloring books she has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return (var_A - var_B) + var_C","{'var_A': 45.0, 'var_B': 6.0, 'var_C': 20.0}",False,
" Gwen was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 3 shelves of mystery books and 5 shelves of picture books, how many books did she have total? ",72,72,72.0,72.0,"Gwen was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?","1. Calculate the total number of shelves by adding the number of mystery book shelves and picture book shelves.
2. Multiply the total number of shelves by the number of books per shelf to find the total number of books Gwen had.",var_A * (var_B + var_C),"def solution(var_A, var_B, var_C):
    total_shelves = var_B + var_C
    return total_shelves * var_A","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 5.0}",False,
" Dave bought 12 boxes of chocolate candy and gave 5 to his little brother. If each box has 3 pieces inside it, how many pieces did Dave still have? ",21,21,21.0,21.0,"Dave bought var_A boxes of chocolate candy and gave var_B to his little brother. If each box has var_C pieces inside it, how many pieces did Dave still have?","1. Calculate the total number of pieces of chocolate candy by multiplying the number of boxes (12) by the number of pieces in each box (3).
2. Subtract the number of pieces given to his little brother (5 boxes × 3 pieces per box) from the total number of pieces calculated in step 1 to find out how many pieces Dave still has.",(var_A * var_C) - (var_B * var_C),"def solution(var_A, var_B, var_C):
    total_pieces = var_A * var_C
    pieces_given_away = var_B * var_C
    return total_pieces - pieces_given_away","{'var_A': 12.0, 'var_B': 5.0, 'var_C': 3.0}",False,
 A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? ,54,54,54.0,54.0,A pet store had var_A siamese cats and var_B house cats. During a sale they sold var_C cats. How many cats do they have left?,"1. Add the number of siamese cats and house cats to find the total number of cats in the store.
2. Subtract the number of cats sold during the sale from the total number of cats to find out how many cats are left.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    total_cats = var_A + var_B
    return total_cats - var_C","{'var_A': 41.0, 'var_B': 28.0, 'var_C': 15.0}",False,
" Sam was collecting cans for recycling. On Saturday he filled 3 bags up and on Sunday he filled 4 more bags. If each bag had 9 cans in it, how many cans did he pick up total? ",63,63,63.0,63.0,"Sam was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?","1. Add the number of bags filled on Saturday to the number of bags filled on Sunday to find the total number of bags.
2. Multiply the total number of bags by the number of cans in each bag to find the total number of cans picked up.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_bags = var_A + var_B
    total_cans = total_bags * var_C
    return total_cans","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 9.0}",False,
" Janet was playing a video game and had 38 lives. In a hard part of the game she lost 16 lives. If she got 32 more lives in the next level, how many lives would she have? ",54,54,54.0,54.0,"Janet was playing a video game and had var_A lives. In a hard part of the game she lost var_B lives. If she got var_C more lives in the next level, how many lives would she have?","1. Subtract the number of lives lost (16) from the initial number of lives (38) to find out how many lives she has after losing some.
2. Add the number of lives gained (32) to the remaining lives to find out the total number of lives she has after the next level.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    remaining_lives = var_A - var_B
    total_lives = remaining_lives + var_C
    return total_lives","{'var_A': 38.0, 'var_B': 16.0, 'var_C': 32.0}",False,
 Lana was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Lana have total? ,32,32,32.0,32.0,Lana was unboxing some of her old winter clothes. She found var_A boxes of clothing and inside each box there were var_B scarves and var_C mittens. How many pieces of winter clothing did Lana have total?,"1. Calculate the total number of scarves by multiplying the number of boxes by the number of scarves in each box.
2. Calculate the total number of mittens by multiplying the number of boxes by the number of mittens in each box.
3. Add the total number of scarves and mittens together to find the total pieces of winter clothing.",(var_A * var_B) + (var_A * var_C),"def solution(var_A, var_B, var_C):
    total_scarves = var_A * var_B
    total_mittens = var_A * var_C
    return total_scarves + total_mittens","{'var_A': 4.0, 'var_B': 2.0, 'var_C': 6.0}",False,
" A chef needs to cook 16 potatoes. He has already cooked 7. If each potato takes 5 minutes to cook, how long will it take him to cook the rest? ",45,45,45.0,45.0,"A chef needs to cook var_A potatoes. He has already cooked var_B If each potato takes var_C minutes to cook, how long will it take him to cook the rest?","1. Subtract the number of already cooked potatoes from the total number of potatoes to find out how many potatoes are left to cook.
2. Multiply the number of remaining potatoes by the time it takes to cook each potato to find out the total cooking time for the remaining potatoes.",(var_A - var_B) * var_C,"def solution(var_A, var_B, var_C):
    remaining_potatoes = var_A - var_B
    total_cooking_time = remaining_potatoes * var_C
    return total_cooking_time","{'var_A': 16.0, 'var_B': 7.0, 'var_C': 5.0}",False,
" Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have? ",61,61,61.0,61.0,"Oliver had var_A dollars in January. By March he had spent var_B dollars. If he got another var_C dollars from his mom, how much money would he have?","1. Subtract the amount Oliver spent in March from the amount he had in January to find out how much he has left.
2. Add the amount he received from his mom to the remaining amount to find out how much money he has in total.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    remaining = var_A - var_B
    total = remaining + var_C
    return total","{'var_A': 33.0, 'var_B': 4.0, 'var_C': 32.0}",False,
" Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, how much money did he actually earn? ",32,32,32.0,32.0,"Edward earned var_A dollars for each lawn he mowed. If he had var_B lawns to mow, but forgot to mow var_C of them, how much money did he actually earn?","1. Subtract the number of lawns Edward forgot to mow from the total number of lawns to find out how many he actually mowed.
2. Multiply the number of lawns he mowed by the amount he earned per lawn to calculate his total earnings.",var_A * (var_B - var_C),"def solution(var_A, var_B, var_C):
    lawns_mowed = var_B - var_C
    return lawns_mowed * var_A","{'var_A': 4.0, 'var_B': 17.0, 'var_C': 9.0}",False,
" A worksheet had 4 problems on it. If a teacher had 9 worksheets to grade and had already graded 5 of them, how many more problems does she have to grade? ",16,16,16.0,16.0,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","1. Calculate the total number of problems on all the worksheets by multiplying the number of worksheets by the number of problems per worksheet.
2. Determine how many problems have already been graded by multiplying the number of graded worksheets by the number of problems per worksheet.
3. Subtract the number of graded problems from the total number of problems to find out how many more problems the teacher has to grade.",(var_B * var_A) - (var_C * var_A),"def solution(var_A, var_B, var_C):
    total_problems = var_A * var_B
    graded_problems = var_A * var_C
    return total_problems - graded_problems","{'var_A': 4.0, 'var_B': 9.0, 'var_C': 5.0}",False,
" A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total? ",12,12,12.0,12.0,"A trivia team had var_A members total, but during a game var_B members didn't show up. If each member that did show up scored var_C points, how many points were scored total?","1. Subtract the number of members who didn't show up from the total number of members to find out how many members were present.
2. Multiply the number of members present by the points each member scored to find the total points scored.",(var_A - var_B) * var_C,"def solution(var_A, var_B, var_C):
    present_members = var_A - var_B
    total_points = present_members * var_C
    return total_points","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 2.0}",False,
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14,14,14.0,14.0,"Ned was trying to expand his game collection. He bought var_A games from a friend and bought var_B more at a garage sale. If var_C of the games didn't work, how many good games did he end up with?","1. Add the number of games bought from the friend to the number of games bought at the garage sale to find the total number of games.
2. Subtract the number of games that didn't work from the total number of games to find out how many good games Ned ended up with.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    total_games = var_A + var_B
    good_games = total_games - var_C
    return good_games","{'var_A': 11.0, 'var_B': 22.0, 'var_C': 19.0}",False,
" Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry 8 trays at a time. If he had to pick up 9 trays from one table and 7 trays from another, how many trips will he make? ",2,,,,"Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry var_A trays at a time. If he had to pick up var_B trays from one table and var_C trays from another, how many trips will he make?","1. Add the total number of trays Jerry needs to pick up from both tables (9 trays + 7 trays).
2. Divide the total number of trays by the number of trays Jerry can carry at a time (8 trays) to determine the number of trips needed.
3. If the division results in a fraction, round up to the nearest whole number since he cannot make a partial trip.",math.ceil((var_B + var_C) / var_A),"def solution(var_A, var_B, var_C):
    total_trays = var_B + var_C
    trips = total_trays / var_A
    return int(-(-trips // 1))  # Rounding up to the nearest whole number","{'var_A': 8.0, 'var_B': 9.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
 Kaleb was selling his old games. He started out with 76 but sold 46 of them. He packed the rest up putting 5 games into each box. How many boxes did he have to use? ,6,,6.0,6.0,Kaleb was selling his old games. He started out with var_A but sold var_B of them. He packed the rest up putting var_C games into each box. How many boxes did he have to use?,"1. Subtract the number of games sold from the total number of games to find out how many games Kaleb has left.
2. Divide the number of remaining games by the number of games per box to determine how many boxes are needed.",(var_A - var_B) // var_C,"def solution(var_A, var_B, var_C):
    remaining_games = var_A - var_B
    return remaining_games // var_C + (remaining_games % var_C > 0)","{'var_A': 76.0, 'var_B': 46.0, 'var_C': 5.0}",True,'Code_Result'
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 3 lives, how many lives did they have total? ",12,12,12.0,12.0,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?","1. Add the initial number of friends to the number of players who joined to find the total number of players.
2. Multiply the total number of players by the number of lives each player has to find the total number of lives.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    total_lives = total_players * var_C
    return total_lives","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 3.0}",False,
" Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? ",7,7,7.0,7.0,"Vanessa and her mom were picking carrots from their garden. Vanessa picked var_A and her mother picked var_B If only var_C of the carrots were good, how many bad carrots did they have?","1. Add the number of carrots picked by Vanessa and her mom to find the total number of carrots picked.
2. Subtract the number of good carrots from the total number of carrots picked to find the number of bad carrots.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    total_carrots = var_A + var_B
    bad_carrots = total_carrots - var_C
    return bad_carrots","{'var_A': 17.0, 'var_B': 14.0, 'var_C': 24.0}",False,
" A pet store has 6 bird cages. If each cage has 2 parrots and 7 parakeets in it, how many birds does the pet store have total? ",54,54,54.0,54.0,"A pet store has var_A bird cages. If each cage has var_B parrots and var_C parakeets in it, how many birds does the pet store have total?","1. Calculate the total number of parrots by multiplying the number of cages by the number of parrots per cage.
2. Calculate the total number of parakeets by multiplying the number of cages by the number of parakeets per cage.
3. Add the total number of parrots and the total number of parakeets to find the total number of birds in the pet store.",(var_A * var_B) + (var_A * var_C),"def solution(var_A, var_B, var_C):
    total_parrots = var_A * var_B
    total_parakeets = var_A * var_C
    return total_parrots + total_parakeets","{'var_A': 6.0, 'var_B': 2.0, 'var_C': 7.0}",False,
" Frank was collecting cans for recycling. On Saturday he filled 5 bags up and on Sunday he filled 3 more bags. If each bag had 5 cans in it, how many cans did he pick up total? ",40,40,40.0,40.0,"Frank was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?","1. Add the number of bags filled on Saturday to the number of bags filled on Sunday to find the total number of bags.
2. Multiply the total number of bags by the number of cans in each bag to find the total number of cans picked up.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_bags = var_A + var_B
    total_cans = total_bags * var_C
    return total_cans","{'var_A': 5.0, 'var_B': 3.0, 'var_C': 5.0}",False,
