Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Danny collects bottle caps and wrappers. He found 66 wrappers and 39 bottle caps at the park. Now he has 16 bottle caps and 68 wrappers in his collection. How many wrappers did danny have at first?,Subtraction,2.0,,89.0,,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many wrappers did danny have at first?,var_A + var_B - var_C,"var_A = 5
var_B = 3
var_C = var_A + var_B
print(var_C)","{'var_A': 66.0, 'var_B': 39.0, 'var_C': 16.0, 'var_D': 68.0}",False,
Allan brought 5 balloons. If Allan and Jake brought total of 6 balloons to the park How many balloons did Jake bring to the park?,Subtraction,1.0,,,,Allan brought var_A balloons. If Allan and Jake brought total of var_B balloons to the park How many balloons did Jake bring to the park?,var_A + var_B - var_A = var_B,var_A - var_B = var_B,"{'var_A': 5.0, 'var_B': 6.0}",False,
David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,Subtraction,53.0,,,,David did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. How many push - ups did Zachary and David do altogether?,var_A = var_B + 1,"var_A = 20
var_B = var_A + 10
var_A + var_B = 30
print(var_A + var_B)","{'var_A': 51.0, 'var_B': 49.0}",False,
During summer break 819058 kids from Lawrence county go to camp and the other 668278 kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home?,Subtraction,150780.0,,150780.0,,During summer break var_A kids from Lawrence county go to camp and the other var_B kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home?,var_A - var_B,"var_A = 10
var_B = 5
print(var_A - var_B)","{'var_A': 819058.0, 'var_B': 668278.0}",False,
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",Subtraction,22.0,,22.0,,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that var_A visitors came to the Buckingham palace that day. If there were var_B visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",var_A - var_B,"var_A = 0
var_B = 0
var_A += var_B
print(var_A - var_B)","{'var_A': 317.0, 'var_B': 295.0}",False,
If each pack costs 81 dollars How much will it cost to buy 33 packs of dvds?,Multiplication,2673.0,,2673.0,,If each pack costs var_A dollars How much will it cost to buy var_B packs of dvds?,var_A * var_B,var_A * var_B,"{'var_A': 81.0, 'var_B': 33.0}",False,
There are 8 different books and 10 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 61 of the movies How many more movies than books are there in the ' crazy silly school ' series?,Subtraction,2.0,,-2.0,,There are var_A different books and var_B different movies in the ' crazy silly school ' series. If you read var_C of the books and watched var_D of the movies How many more movies than books are there in the ' crazy silly school ' series?,var_A - var_B,"var_A = 10
var_B = 20
var_C = 15
var_D = 12

print(var_C - var_A)","{'var_A': 8.0, 'var_B': 10.0, 'var_C': 19.0, 'var_D': 61.0}",False,
There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets How many baskets of peaches are there?,Common-Division,1.0,,0.0,,There are some baskets of peaches. Each basket has var_A red peaches and var_B green peaches. If there are a total of var_C peaches in all baskets How many baskets of peaches are there?,var_A + var_B - var_C,"```python
var_A = 0
var_B = 0
var_C = 0

# Counting the number of baskets with var_A peaches
var_A = int(input(""Enter the number of baskets with var_A peaches: ""))
var_C -= var_A

# Counting the number of baskets with var_B peaches
var_B = int(input(""Enter the number of baskets with var_B peaches: ""))
var_C -= var_B

# Calculating the total number of baskets
total_baskets = var_C

print(""There are"", total_baskets, ""baskets of peaches."")
```","{'var_A': 4.0, 'var_B': 3.0, 'var_C': 7.0}",False,
Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans. How many more bags did she find on the next day than she had on monday?,Subtraction,5.0,,-5.0,,Tiffany was collecting cans for recycling. On monday she had var_A bags of cans. The next day she found var_B more bags worth of cans. How many more bags did she find on the next day than she had on monday?,var_A - var_B,var_A = var_B,"{'var_A': 7.0, 'var_B': 12.0}",False,
Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar?,Subtraction,1.0,,3.0,,Dan has $ var_A He bought a candy bar for $ var_B and a chocolate for $ var_C How much money did he spend to buy chocolate than he did to buy candy bar?,var_A - var_B,var_A - var_B,"{'var_A': 5.0, 'var_B': 2.0, 'var_C': 3.0}",False,
We ordered some pizzas. Each pizza has 2 slices. If there were a total of 28 slices How many pizzas did we order?,Common-Division,14.0,,56.0,,We ordered some pizzas. Each pizza has var_A slices. If there were a total of var_B slices How many pizzas did we order?,var_A * var_B,var_A * var_B,"{'var_A': 2.0, 'var_B': 28.0}",False,
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Common-Division,3.0,,50.0,,An industrial machine made var_A shirts yesterday and var_B shirts today. It can make var_C shirts a minute. How many minutes did the machine work yesterday?,var_A + var_B - var_C,"```python
var_A = 7
var_B = 5
var_C = 1

yesterday_work = var_A * var_C
today_work = var_B * var_C
total_work = yesterday_work + today_work
print(total_work)
```","{'var_A': 9.0, 'var_B': 44.0, 'var_C': 3.0}",False,
Jessie weighed 114 kilograms. After she started to go jogging everyday she lost 50 kilograms in the first week and 60 kilograms in the second week. How much does she weigh now?,Subtraction,4.0,,4.0,,Jessie weighed var_A kilograms. After she started to go jogging everyday she lost var_B kilograms in the first week and var_C kilograms in the second week. How much does she weigh now?,var_A - var_B - var_C,var_A - var_B - var_C,"{'var_A': 114.0, 'var_B': 50.0, 'var_C': 60.0}",False,
Matthew gave 6 crackers to each his friends. If he had 36 crackers How many friends did he give crackers to?,Common-Division,6.0,,-30.0,,Matthew gave var_A crackers to each his friends. If he had var_B crackers How many friends did he give crackers to?,var_A - var_B,var_A - var_B,"{'var_A': 6.0, 'var_B': 36.0}",False,
Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially How many crackers and cakes did each person eat?,Common-Division,1.0,,,,Matthew gave equal numbers of crackers and cakes to his var_A friends. If he had var_B crackers and var_C cakes initially How many crackers and cakes did each person eat?,var_A = var_B / 2,"var_A = var_B // 2
var_C = var_B - var_A","{'var_A': 28.0, 'var_B': 13.0, 'var_C': 15.0}",False,
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Multiplication,720.0,,2154.0,,Faye was placing her pencils and crayons into var_A rows with var_B crayons and var_C pencils in each row. How many pencils does she have?,var_A * var_B + var_C,"var_A = 5
var_B = 8
var_C = 3
total_pencils = var_A * var_B + var_C
print(total_pencils)","{'var_A': 30.0, 'var_B': 71.0, 'var_C': 24.0}",False,
Winter is almost here and most animals are migrating to warmer countries. 86 bird families flew away for the winter from near a mountain. If there were 45 bird families living near the mountain initially How many more bird families flew away for the winter than those that stayed behind?,Subtraction,127.0,,41.0,,Winter is almost here and most animals are migrating to warmer countries. var_A bird families flew away for the winter from near a mountain. If there were var_B bird families living near the mountain initially How many more bird families flew away for the winter than those that stayed behind?,var_A - var_B,"```python
var_A = 5
var_B = 10
difference = var_A - var_B
print(difference)
```","{'var_A': 86.0, 'var_B': 45.0}",False,
After finding some bottle caps at the park danny has 32 bottle caps in his collection. If he had 25 bottle caps in his collection earlier How many bottle caps did he find at the park?,Subtraction,7.0,,57.0,,After finding some bottle caps at the park danny has var_A bottle caps in his collection. If he had var_B bottle caps in his collection earlier How many bottle caps did he find at the park?,var_A + var_B,var_A - var_B,"{'var_A': 32.0, 'var_B': 25.0}",False,
Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,Addition,13.0,,17.0,,Dan has $ var_A He bought a candy bar for $ var_B and a chocolate for $ var_C How much money did he spend buying the candy bar and chocolate?,var_A + var_B + var_C,var_A + var_B + var_C,"{'var_A': 4.0, 'var_B': 7.0, 'var_C': 6.0}",False,
White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total How many white t - shirts does each package have?,Common-Division,2.0,,0.5,,White t - shirts can be purchased in packages. If mom buys var_A packages which contain var_B white t - shirts in total How many white t - shirts does each package have?,var_A / var_B,"var_A = 5
var_B = 8
print(var_A / var_B)","{'var_A': 28.0, 'var_B': 56.0}",False,
Adam has 3 more apples than jackie. Adam has 9 apples. How many apples does Jackie have?,Subtraction,6.0,,-6.0,,Adam has var_A more apples than jackie. Adam has var_B apples. How many apples does Jackie have?,var_A - var_B,var_A - var_B,"{'var_A': 3.0, 'var_B': 9.0}",False,
Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,Subtraction,7.0,,7.0,,Paco had var_A sweet cookies and var_B salty cookies. He ate var_C sweet cookies and var_D salty cookies. How many sweet cookies did Paco have left?,var_A - var_C,var_A - var_C,"{'var_A': 22.0, 'var_B': 75.0, 'var_C': 15.0, 'var_D': 54.0}",False,
41 children were riding on the bus. At the bus stop some children got off the bus. Then there were 18 children left on the bus. How many more children were on the bus before the bus stop than there are now?,Subtraction,23.0,,23.0,,var_A children were riding on the bus. At the bus stop some children got off the bus. Then there were var_B children left on the bus. How many more children were on the bus before the bus stop than there are now?,var_A - var_B,"var_A = 10
var_B = 5
print(var_A - var_B)","{'var_A': 41.0, 'var_B': 18.0}",False,
Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies How many more cookies did he buy than those he ate?,Subtraction,34.0,,23.0,,Paco had var_A cookies. He ate var_B of them. Then he bought var_C more cookies How many more cookies did he buy than those he ate?,var_C - var_A,var_A - var_B,"{'var_A': 13.0, 'var_B': 2.0, 'var_C': 36.0}",False,
Bobby had 22 pieces of candy. He ate some pieces of candy. Then he ate 5 more. If he still has 8 pieces of candy left How many pieces of candy had he eaten at the start?,Subtraction,9.0,,,,Bobby had var_A pieces of candy. He ate some pieces of candy. Then he ate var_B more. If he still has var_C pieces of candy left How many pieces of candy had he eaten at the start?,var_A - var_B = var_C,var_A - var_B,"{'var_A': 22.0, 'var_B': 5.0, 'var_C': 8.0}",False,
Josh had 22 marbles in his collection. He found 13 marbles ones while he lost 5 marbles. How many marbles does he have now?,Addition,30.0,,14.0,,Josh had var_A marbles in his collection. He found var_B marbles ones while he lost var_C marbles. How many marbles does he have now?,var_A - var_B + var_C,var_A - var_B + var_C,"{'var_A': 22.0, 'var_B': 13.0, 'var_C': 5.0}",False,
For the walls of the house he would use 11 nails in all to secure large planks of wood. If each plank needs 3 pieces of nails to be secured and an additional 8 nails were used. How many planks does John need for the house wall?,Common-Division,1.0,,41.0,,For the walls of the house he would use var_A nails in all to secure large planks of wood. If each plank needs var_B pieces of nails to be secured and an additional var_C nails were used. How many planks does John need for the house wall?,var_A * var_B + var_C,"var_A = 10
var_B = 20
var_C = 30
planks_needed = var_A * var_B + var_C
print(planks_needed)","{'var_A': 11.0, 'var_B': 3.0, 'var_C': 8.0}",False,
A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Subtraction,136.0,,136.0,,A farmer had var_A tomatoes and var_B potatoes in his garden. If he picked var_C tomatoes How many tomatoes and potatoes does he have left?,var_A + var_B - var_C,"```python
var_A = 10
var_B = 15
var_C = 5

left_tomatoes = var_A - var_C
left_potatoes = var_B

print(f""Tomatoes: {left_tomatoes}, Potatoes: {left_potatoes}"")
```","{'var_A': 177.0, 'var_B': 12.0, 'var_C': 53.0}",False,
Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?,Subtraction,3.0,,,,Jerry had some action figures on a shelf in his room. Later he added var_A more action figures to the shelf. If there are a total of var_B action figures on his shelf now How many action figures did he have initially on the shelf?,var_A - var_B = 0,var_A - var_B,"{'var_A': 7.0, 'var_B': 10.0}",False,
There are 384 oranges and 192 bananas in Philip's collection. If the bananas are organized into 345 groups and oranges are organized into 16 groups How big is each group of oranges?,Common-Division,24.0,,24.0,,There are var_A oranges and var_B bananas in Philip's collection. If the bananas are organized into var_C groups and oranges are organized into var_D groups How big is each group of oranges?,var_A / var_D,"```python
var_A = 10
var_B = 15
var_C = 20
var_D = 30

orange_group_size = var_A // var_C
banana_group_size = var_B // var_D
print(f""Each group of oranges has {orange_group_size} oranges and each group of bananas has {banana_group_size} bananas."")
```","{'var_A': 384.0, 'var_B': 192.0, 'var_C': 345.0, 'var_D': 16.0}",False,
There are 4 different books and 17 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 7 of the movies How many more movies do you still have to watch?,Subtraction,10.0,,-13.0,,There are var_A different books and var_B different movies in the ' crazy silly school ' series. If you read var_C of the books and watched var_D of the movies How many more movies do you still have to watch?,var_A - var_B,"```python
var_A = 20
var_B = 20
var_C = 20
var_D = 20

total_books = var_A + var_B
total_movies = var_C + var_D

difference = total_books - total_movies
print(difference)
```","{'var_A': 4.0, 'var_B': 17.0, 'var_C': 19.0, 'var_D': 7.0}",False,
Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have?,Subtraction,5.0,,8.0,,Steven has var_A peaches. Jake has var_B fewer peaches than Steven and var_C more peaches than Jill. How many peaches does Jill have?,var_A - var_B,"var_A = 10
var_B = var_A - 5
print(var_B)","{'var_A': 14.0, 'var_B': 6.0, 'var_C': 3.0}",False,
Because of the decision Sofia asked the students to suggest specific types of food. 182 students suggested adding mashed potatoes while others suggested adding bacon to the menu. If 166 more students suggested adding bacon than those that suggested mashed potatoes How many students suggested bacon?,Addition,348.0,,,,Because of the decision Sofia asked the students to suggest specific types of food. var_A students suggested adding mashed potatoes while others suggested adding bacon to the menu. If var_B more students suggested adding bacon than those that suggested mashed potatoes How many students suggested bacon?,"var_A = 5
var_B = var_A + 3","```python
var_A = 5
var_B = 10
var_C = var_A + var_B
print(var_C)
```","{'var_A': 182.0, 'var_B': 166.0}",False,
In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy How many boys did she give the marbles to?,Common-Division,2.0,,5.0,,In Haley's class some boys love to play marbles. If Haley has var_A marbles and she gave var_B marbles to each boy How many boys did she give the marbles to?,var_A - var_B,"var_A = Haley's initial marbles
var_B = Haley gave marbles to each boy
var_A - var_B = number of boys Haley gave marbles to","{'var_A': 10.0, 'var_B': 5.0}",False,
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Addition,16.0,,16.0,,Marco and his dad went strawberry picking. Together they collected strawberries that weighed var_A pounds. On the way back Marco ' dad found var_B more pounds of strawberries. Marco's strawberries now weighed var_C pounds. How much did his dad's strawberries weigh now?,var_A + var_B - var_C,var_C = var_A + var_B,"{'var_A': 22.0, 'var_B': 30.0, 'var_C': 36.0}",False,
There are 2 baskets of peaches. Each basket has 4 red peaches and some more green peaches. If there are a total of 12 peaches in all baskets How many green peaches are in each basket?,Subtraction,2.0,,20.0,,There are var_A baskets of peaches. Each basket has var_B red peaches and some more green peaches. If there are a total of var_C peaches in all baskets How many green peaches are in each basket?,var_A * var_B + var_C,"```python
var_A = 10
var_B = 20
var_C = 50
green_peaches = (var_C - var_A) * var_B / var_A
print(green_peaches)
```","{'var_A': 2.0, 'var_B': 4.0, 'var_C': 12.0}",False,
The school is planning a field trip. The school has 87 classrooms. There are 58 students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. How many buses are needed to take the trip?,Common-Division,29.0,,2523.0,,The school is planning a field trip. The school has var_A classrooms. There are var_B students in the school with each classroom having the same number of students. If there are var_C seats on each school bus. How many buses are needed to take the trip?,var_A * var_B / var_C,"```python
var_A = 10
var_B = 20
var_C = 30

buses_needed = (var_A // var_B) * var_C
print(buses_needed)
```","{'var_A': 87.0, 'var_B': 58.0, 'var_C': 2.0}",False,
Mary is baking a cake. The recipe calls for 12 cups of flour 5 cups of sugar and 49 cups of salt. She already put in 11 cups of flour. How many more cups of flour does she need to add?,Subtraction,1.0,,1.0,,Mary is baking a cake. The recipe calls for var_A cups of flour var_B cups of sugar and var_C cups of salt. She already put in var_D cups of flour. How many more cups of flour does she need to add?,var_A - var_D,var_D = var_A - var_D,"{'var_A': 12.0, 'var_B': 5.0, 'var_C': 49.0, 'var_D': 11.0}",False,
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 24 inches. The frog jumped 33 inches farther than the grasshopper and the mouse jumped 5 inches lesser than the frog. How much farther did the mouse jump than the grasshopper?",Subtraction,28.0,,-9.0,,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped var_A inches. The frog jumped var_B inches farther than the grasshopper and the mouse jumped var_C inches lesser than the frog. How much farther did the mouse jump than the grasshopper?",var_A - var_B,"```python
var_A = 10  # inches
var_B = var_A + 10  # inches
var_C = var_B - 10  # inches
print(var_C)
```","{'var_A': 24.0, 'var_B': 33.0, 'var_C': 5.0}",False,
There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies How many more movies do you still have to watch?,Subtraction,4.0,,1.0,,There are var_A different movies and var_B different books in the ' crazy silly school ' series. If you read var_C of the books and watched var_D of the movies How many more movies do you still have to watch?,var_A - var_C,"```python
var_A = 20
var_B = 30
var_C = 15
var_D = 20

total_movies = var_A + var_B
total_books = var_A + var_B
remaining_movies = total_movies - var_C
remaining_books = total_books - var_D

print(f""You still have to watch {remaining_movies} more movies."")
```","{'var_A': 8.0, 'var_B': 21.0, 'var_C': 7.0, 'var_D': 4.0}",False,
After resting they decided to go for a swim. The depth of the water is 9 times Dean's height. If Ron is 15 feet tall and Dean is 6 feet shorter than Ron How deep was the water?,Multiplication,81.0,,129.0,,After resting they decided to go for a swim. The depth of the water is var_A times Dean's height. If Ron is var_B feet tall and Dean is var_C feet shorter than Ron How deep was the water?,var_A * var_B - var_C,"var_A = 3
var_B = 5
var_C = var_B - var_A
print(var_C)","{'var_A': 9.0, 'var_B': 15.0, 'var_C': 6.0}",False,
Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,Subtraction,1.0,,1.0,,Julia played tag with var_A kids on monday. She played tag with var_B kids on tuesday. She spent a total of var_C hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,var_A - var_B,"var_A = 5
var_B = 3
var_C = var_A + var_B
print(var_C - var_B)","{'var_A': 19.0, 'var_B': 18.0, 'var_C': 38.0}",False,
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,Common-Division,64.0,,140.0,,Debby bought var_A water bottles and var_B soda bottles when they were on sale. If she drank var_C water bottles and var_D soda bottles a day How many days would the soda bottles last?,var_A + var_B - var_C - var_D,"```python
var_A = 10
var_B = 20
var_C = 5
var_D = 15

days = var_B // var_C
print(days)
```","{'var_A': 200.0, 'var_B': 256.0, 'var_C': 312.0, 'var_D': 4.0}",False,
There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read?,Subtraction,15.0,,15.0,,There are var_A different books in the ' crazy silly school ' series. If you are yet to read var_B of the books How many books have you already read?,var_A - var_B,"var_A = len(set([1, 2, 3, 4, 5])) - 1
print(var_A)","{'var_A': 20.0, 'var_B': 5.0}",False,
Because of the decision Sofia asked the students to suggest specific types of food. If 228 students suggested adding mashed potatoes 337 suggested adding bacon to the menu and 23 suggested adding tomatoes How many more students suggested bacon than those that suggested tomatoes?,Subtraction,314.0,,,,Because of the decision Sofia asked the students to suggest specific types of food. If var_A students suggested adding mashed potatoes var_B suggested adding bacon to the menu and var_C suggested adding tomatoes How many more students suggested bacon than those that suggested tomatoes?,var_A - var_B = 3,"```python
var_A = 3
var_B = 2
var_C = 1

difference = var_B - var_C
print(difference)
```","{'var_A': 228.0, 'var_B': 337.0, 'var_C': 23.0}",False,
The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,Common-Division,2.0,,0.5,,The bananas in Philip's collection are organized into var_A groups. If there are a total of var_B bananas in Philip's banana collection How big is each group?,var_A / var_B,"```python
var_A = 10
var_B = 20
group_size = var_B / var_A
print(group_size)
```","{'var_A': 196.0, 'var_B': 392.0}",False,
They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables How many more chairs than tables do they have?,Subtraction,117.0,,5.0,,They decided to hold the party in their backyard. They have var_A chairs for each set of table. If they have var_B sets of tables How many more chairs than tables do they have?,var_A - var_B,"var_A = 5
var_B = 3
print(var_A - var_B)","{'var_A': 14.0, 'var_B': 9.0}",False,
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Addition,64.0,,64.0,,var_A children were riding on the bus. At the bus stop var_B more children got on the bus. How many children are on the bus now?,var_A + var_B,"```python
var_A = 10
var_B = 20
var_C = var_A + var_B
print(var_C)
```","{'var_A': 26.0, 'var_B': 38.0}",False,
Jerry had 8 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed 5 old ones. How many action figures were on his shelf in all?,Subtraction,7.0,,7.0,,Jerry had var_A action figures on a shelf in his room. Later he added var_B more action figures to the shelf and removed var_C old ones. How many action figures were on his shelf in all?,var_A + var_B - var_C,"var_A = 5
var_B = var_A + 10
var_C = var_A - 5","{'var_A': 8.0, 'var_B': 4.0, 'var_C': 5.0}",False,
He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and 74 sacks of unripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,Subtraction,69.0,,-69.0,,He then went to see the oranges being harvested. He found out that they harvest var_A sacks of ripe oranges and var_B sacks of unripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,var_A - var_B,"```python
var_A = 10
var_B = 5
difference = var_A - var_B
print(difference)
```","{'var_A': 5.0, 'var_B': 74.0}",False,
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump?",Subtraction,39.0,,39.0,,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped var_A inches. The mouse jumped var_B inches lesser than the frog who jumped var_C inches farther than the grasshopper. How far did the mouse jump?",var_A - var_B + var_C,"```python
var_A = 10
var_B = var_A - 5
var_C = var_A + var_B
print(var_C)
```","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 33.0}",False,
Ryan learns english and chinese for 7 days. Every day he spends 4 hours on learning english and 5 hours on learning chinese. How many hours does he spend on learning english and chinese in all?,Multiplication,63.0,,16.0,,Ryan learns english and chinese for var_A days. Every day he spends var_B hours on learning english and var_C hours on learning chinese. How many hours does he spend on learning english and chinese in all?,var_A + var_B + var_C,var_A * var_B + var_C,"{'var_A': 7.0, 'var_B': 4.0, 'var_C': 5.0}",False,
