Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Danny collects bottle caps and wrappers. He found 66 wrappers and 39 bottle caps at the park. Now he has 16 bottle caps and 68 wrappers in his collection. How many wrappers did danny have at first?,Subtraction,2.0,,2.0,14.0,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many wrappers did danny have at first?,"To find out how many wrappers Danny had at first, follow these steps:

1. **Identify the total number of wrappers Danny has now**: He currently has 68 wrappers in his collection.

2. **Determine the number of wrappers he found**: Danny found 66 wrappers at the park.

3. **Set up the equation**: To find the number of wrappers he had at first, add the number of wrappers he found to the number of wrappers he has now. 

   Formula: 
   \[
   \text{Initial wrappers} = \text{Current wrappers} - \text{Found wrappers}
   \]

4. **Calculate the initial number of wrappers**: Substitute the known values into the equation to find the initial number of wrappers.

5. **Perform the arithmetic**: Calculate the result to find out how many wrappers Danny had at first. 

By following these steps, you will arrive at the answer.",var_D - var_A,"def solution(var_A, var_B, var_C, var_D):
    initial_wrappers = (var_C + var_A) - var_D
    return initial_wrappers","{'var_A': 66.0, 'var_B': 39.0, 'var_C': 16.0, 'var_D': 68.0}",True,'Code_Result'
Allan brought 5 balloons. If Allan and Jake brought total of 6 balloons to the park How many balloons did Jake bring to the park?,Subtraction,1.0,1.0,1.0,1.0,Allan brought var_A balloons. If Allan and Jake brought total of var_B balloons to the park How many balloons did Jake bring to the park?,"1. Identify the total number of balloons brought by Allan and Jake, which is given as 6.
2. Note the number of balloons Allan brought, which is 5.
3. Use the equation: Total balloons = Balloons brought by Allan + Balloons brought by Jake.
4. Substitute the known values into the equation: 6 = 5 + Balloons brought by Jake.
5. Solve for the number of balloons brought by Jake by rearranging the equation: Balloons brought by Jake = 6 - 5. 
6. Calculate the result to find out how many balloons Jake brought to the park.",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 5.0, 'var_B': 6.0}",False,
David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,Subtraction,53.0,53.0,53.0,53.0,David did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. How many push - ups did Zachary and David do altogether?,"1. Identify the number of push-ups David did: 51 push-ups.
2. Determine how many push-ups Zachary did by using the information that David did 49 more push-ups than Zachary. This can be expressed as: Zachary's push-ups = David's push-ups - 49.
3. Calculate the number of push-ups Zachary did using the formula from step 2.
4. Add the number of push-ups David did and the number of push-ups Zachary did to find the total number of push-ups they did together: Total push-ups = David's push-ups + Zachary's push-ups.",var_A + (var_A - var_B),"def solution(var_A, var_B):
    zachary_push_ups = var_A - var_B
    total_push_ups = var_A + zachary_push_ups
    return total_push_ups","{'var_A': 51.0, 'var_B': 49.0}",False,
During summer break 819058 kids from Lawrence county go to camp and the other 668278 kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home?,Subtraction,150780.0,,150780.0,,During summer break var_A kids from Lawrence county go to camp and the other var_B kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home?,"1. Identify the two groups of kids: those who went to camp (819058) and those who stayed home (668278).
2. Use the subtraction operation to find the difference between the number of kids at camp and the number of kids who stayed home.
3. Apply the formula: Difference = Number of kids at camp - Number of kids who stayed home.
4. Substitute the known values into the formula: Difference = 819058 - 668278.
5. Calculate the result to find how many more kids spent their summer break at camp compared to those who stayed home.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B

exec(""print(solution(819058, 668278))"")","{'var_A': 819058.0, 'var_B': 668278.0}",True,'Code_Result'
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",Subtraction,22.0,,22.0,,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that var_A visitors came to the Buckingham palace that day. If there were var_B visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?","1. Identify the number of visitors on the current day: 317 visitors.
2. Identify the number of visitors on the previous day: 295 visitors.
3. Use the subtraction formula to find the difference in visitors: Current day visitors - Previous day visitors.
4. Calculate the difference: 317 - 295.
5. Interpret the result to determine how many more visitors visited the Buckingham Palace on that day compared to the previous day.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B

exec(""print(solution(317, 295))"")","{'var_A': 317.0, 'var_B': 295.0}",True,'Code_Result'
If each pack costs 81 dollars How much will it cost to buy 33 packs of dvds?,Multiplication,2673.0,,2673.0,,If each pack costs var_A dollars How much will it cost to buy var_B packs of dvds?,"1. Identify the cost of one pack of DVDs, which is given as 81 dollars.
2. Determine the number of packs to be purchased, which is 33 packs.
3. Use the formula for total cost: Total Cost = Cost per Pack × Number of Packs.
4. Substitute the known values into the formula: Total Cost = 81 dollars × 33 packs.
5. Calculate the total cost to find the final answer.",var_A * var_B,"def solution(var_A, var_B):
    total_cost = var_A * var_B
    return total_cost

exec(""print(solution(81, 33))"")","{'var_A': 81.0, 'var_B': 33.0}",True,'Code_Result'
There are 8 different books and 10 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 61 of the movies How many more movies than books are there in the ' crazy silly school ' series?,Subtraction,2.0,,2.0,,There are var_A different books and var_B different movies in the ' crazy silly school ' series. If you read var_C of the books and watched var_D of the movies How many more movies than books are there in the ' crazy silly school ' series?,"1. Identify the total number of books in the series, which is given as 8.
2. Identify the total number of movies in the series, which is given as 10.
3. Determine the number of books read, which is given as 19.
4. Determine the number of movies watched, which is given as 61.
5. Calculate the difference between the total number of movies and the total number of books: 10 (movies) - 8 (books).
6. Since the problem asks for how many more movies than books there are in the series, focus on the total counts of movies and books, not the amounts read or watched.
7. Conclude by stating the difference calculated in step 5.",var_B - var_A,"def solution(var_A, var_B, var_C, var_D):
    total_books = var_A
    total_movies = var_B
    difference = total_movies - total_books
    return difference

exec(""print(solution(8, 10, 19, 61))"")","{'var_A': 8.0, 'var_B': 10.0, 'var_C': 19.0, 'var_D': 61.0}",True,'Code_Result'
There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets How many baskets of peaches are there?,Common-Division,1.0,1.0,1.0,1.0,There are some baskets of peaches. Each basket has var_A red peaches and var_B green peaches. If there are a total of var_C peaches in all baskets How many baskets of peaches are there?,"1. Determine the total number of peaches in one basket by adding the number of red peaches and green peaches: 4 (red) + 3 (green) = 7 peaches per basket.

2. Set up an equation to represent the total number of peaches in all baskets. Let the number of baskets be represented as B. The total number of peaches can be expressed as: 7 (peaches per basket) * B (number of baskets).

3. Since the total number of peaches is given as 7, set the equation from step 2 equal to 7: 7 * B = 7.

4. Solve for B by dividing both sides of the equation by 7: B = 7 / 7.

5. Conclude the calculation to find the number of baskets: B = 1. 

6. Verify that the solution makes sense by checking that 1 basket contains the total of 7 peaches.",var_C / (var_A + var_B),"def solution(var_A, var_B, var_C):
    peaches_per_basket = var_A + var_B
    number_of_baskets = var_C / peaches_per_basket
    return number_of_baskets","{'var_A': 4.0, 'var_B': 3.0, 'var_C': 7.0}",False,
Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans. How many more bags did she find on the next day than she had on monday?,Subtraction,5.0,,5.0,,Tiffany was collecting cans for recycling. On monday she had var_A bags of cans. The next day she found var_B more bags worth of cans. How many more bags did she find on the next day than she had on monday?,"1. Identify the number of bags Tiffany had on Monday, which is 7 bags.
2. Identify the number of bags Tiffany found the next day, which is 12 bags.
3. Calculate the difference in the number of bags found on the next day compared to the number of bags she had on Monday.
4. Use the formula: Difference = Bags found on the next day - Bags on Monday.
5. Substitute the known values into the formula: Difference = 12 bags - 7 bags.
6. Simplify the expression to find the result.",var_B - var_A,"def solution(var_A, var_B):
    difference = var_B - var_A
    return difference

exec(""print(solution(7, 12))"")","{'var_A': 7.0, 'var_B': 12.0}",True,'Code_Result'
Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar?,Subtraction,1.0,1.0,1.0,1.0,Dan has $ var_A He bought a candy bar for $ var_B and a chocolate for $ var_C How much money did he spend to buy chocolate than he did to buy candy bar?,"1. Identify the cost of the candy bar, which is $2.
2. Identify the cost of the chocolate, which is $3.
3. Calculate the difference in the amount spent on chocolate compared to the candy bar by subtracting the cost of the candy bar from the cost of the chocolate: $3 - $2.
4. State the result of the subtraction to find out how much more money Dan spent on chocolate than on the candy bar.",var_C - var_B,"def solution(var_A, var_B, var_C):
    cost_candy_bar = var_B
    cost_chocolate = var_C
    difference = cost_chocolate - cost_candy_bar
    return difference","{'var_A': 5.0, 'var_B': 2.0, 'var_C': 3.0}",False,
We ordered some pizzas. Each pizza has 2 slices. If there were a total of 28 slices How many pizzas did we order?,Common-Division,14.0,,14.0,14.0,We ordered some pizzas. Each pizza has var_A slices. If there were a total of var_B slices How many pizzas did we order?,"1. Identify the total number of slices: 28 slices.
2. Determine the number of slices per pizza: Each pizza has 2 slices.
3. Use the formula for the number of pizzas: Number of pizzas = Total slices / Slices per pizza.
4. Substitute the known values into the formula: Number of pizzas = 28 slices / 2 slices per pizza.
5. Perform the division to find the number of pizzas ordered.",var_B / var_A,"def solution(var_A, var_B):
    return var_B // var_A","{'var_A': 2.0, 'var_B': 28.0}",True,'Code_Result'
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Common-Division,3.0,3.0,3.0,3.0,An industrial machine made var_A shirts yesterday and var_B shirts today. It can make var_C shirts a minute. How many minutes did the machine work yesterday?,"1. Calculate the total number of shirts made yesterday and today: 9 shirts (yesterday) + 44 shirts (today) = 53 shirts total.
2. Identify the number of shirts made yesterday, which is given as 9 shirts.
3. Use the formula for time: Time = Number of shirts / Rate of production.
4. Substitute the known values into the formula: Time = 9 shirts / 3 shirts per minute.
5. Perform the division to find the number of minutes the machine worked yesterday.",var_A / var_C,"def solution(var_A, var_B, var_C):
    total_shirts = var_A + var_B
    shirts_yesterday = var_A
    time_yesterday = shirts_yesterday / var_C
    return time_yesterday","{'var_A': 9.0, 'var_B': 44.0, 'var_C': 3.0}",False,
Jessie weighed 114 kilograms. After she started to go jogging everyday she lost 50 kilograms in the first week and 60 kilograms in the second week. How much does she weigh now?,Subtraction,4.0,4.0,4.0,4.0,Jessie weighed var_A kilograms. After she started to go jogging everyday she lost var_B kilograms in the first week and var_C kilograms in the second week. How much does she weigh now?,"1. Start with Jessie's initial weight: 114 kilograms.
2. Calculate the weight loss after the first week: subtract 50 kilograms from 114 kilograms.
3. Calculate the weight loss after the second week: subtract 60 kilograms from the result obtained in step 2.
4. The final result will be Jessie's current weight after the two weeks of weight loss.",var_A - var_B - var_C,"def solution(var_A, var_B, var_C):
    weight_after_first_week = var_A - var_B
    current_weight = weight_after_first_week - var_C
    return current_weight","{'var_A': 114.0, 'var_B': 50.0, 'var_C': 60.0}",False,
Matthew gave 6 crackers to each his friends. If he had 36 crackers How many friends did he give crackers to?,Common-Division,6.0,,6.0,,Matthew gave var_A crackers to each his friends. If he had var_B crackers How many friends did he give crackers to?,"1. Identify the total number of crackers Matthew had, which is 36.
2. Determine the number of crackers given to each friend, which is 6.
3. Use the formula for finding the number of friends: Number of friends = Total crackers / Crackers per friend.
4. Substitute the known values into the formula: Number of friends = 36 / 6.
5. Perform the division to find the number of friends Matthew gave crackers to.",var_B / var_A,"def solution(var_A, var_B):
    return var_B // var_A

exec(""print(solution(6, 36))"")","{'var_A': 6.0, 'var_B': 36.0}",True,'Code_Result'
Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially How many crackers and cakes did each person eat?,Common-Division,1.0,,,,Matthew gave equal numbers of crackers and cakes to his var_A friends. If he had var_B crackers and var_C cakes initially How many crackers and cakes did each person eat?,"1. Identify the total number of friends Matthew has, which is 28.
2. Determine the total number of crackers Matthew has, which is 13.
3. Determine the total number of cakes Matthew has, which is 15.
4. Since Matthew gives equal numbers of crackers and cakes to each friend, find the maximum number of crackers he can give to each friend by dividing the total number of crackers (13) by the number of friends (28).
5. Find the maximum number of cakes he can give to each friend by dividing the total number of cakes (15) by the number of friends (28).
6. Compare the results from steps 4 and 5 to determine the limiting factor (the smaller number) for how many crackers and cakes each friend can receive.
7. Conclude how many crackers and cakes each person ate based on the limiting factor identified in step 6.","min(var_B // var_A, var_C // var_A)","def solution(var_A, var_B, var_C):
    total_friends = var_A
    total_crackers = var_B
    total_cakes = var_C
    
    max_crackers_per_friend = total_crackers // total_friends
    max_cakes_per_friend = total_cakes // total_friends
    
    crackers_per_friend = min(max_crackers_per_friend, max_cakes_per_friend)
    cakes_per_friend = crackers_per_friend
    
    return crackers_per_friend, cakes_per_friend","{'var_A': 28.0, 'var_B': 13.0, 'var_C': 15.0}",True,'Code_Result'
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Multiplication,720.0,,720.0,,Faye was placing her pencils and crayons into var_A rows with var_B crayons and var_C pencils in each row. How many pencils does she have?,"1. Identify the total number of rows, which is given as 30.
2. Determine the number of pencils in each row, which is given as 24.
3. Use the multiplication formula to find the total number of pencils: Total Pencils = Number of Rows × Pencils per Row.
4. Substitute the known values into the formula: Total Pencils = 30 × 24.
5. Calculate the result to find the total number of pencils Faye has.",var_A * var_C,"def solution(var_A, var_B, var_C):
    total_pencils = var_A * var_C
    return total_pencils

exec(""print(solution(30, 24, 24))"")","{'var_A': 30.0, 'var_B': 71.0, 'var_C': 24.0}",True,'Code_Result'
Winter is almost here and most animals are migrating to warmer countries. 86 bird families flew away for the winter from near a mountain. If there were 45 bird families living near the mountain initially How many more bird families flew away for the winter than those that stayed behind?,Subtraction,127.0,,127.0,,Winter is almost here and most animals are migrating to warmer countries. var_A bird families flew away for the winter from near a mountain. If there were var_B bird families living near the mountain initially How many more bird families flew away for the winter than those that stayed behind?,"To solve the problem, follow these steps:

1. Identify the total number of bird families that flew away for the winter, which is given as 86.
2. Identify the number of bird families that stayed behind, which is given as 45.
3. Use the subtraction operation to find the difference between the number of bird families that flew away and those that stayed behind: 
   - More bird families that flew away = Number of families that flew away - Number of families that stayed behind.
4. Calculate the result from step 3 to find out how many more bird families flew away than those that stayed behind. 

This will give you the answer to the problem.",var_A - (var_B - var_A),"def solution(var_A, var_B):
    flew_away = var_A
    stayed_behind = var_B
    more_flew_away = flew_away - stayed_behind
    return more_flew_away

exec(""print(solution(86, 45))"")","{'var_A': 86.0, 'var_B': 45.0}",True,'Code_Result'
After finding some bottle caps at the park danny has 32 bottle caps in his collection. If he had 25 bottle caps in his collection earlier How many bottle caps did he find at the park?,Subtraction,7.0,,7.0,,After finding some bottle caps at the park danny has var_A bottle caps in his collection. If he had var_B bottle caps in his collection earlier How many bottle caps did he find at the park?,"1. Identify the initial number of bottle caps Danny had, which is 25.
2. Identify the total number of bottle caps Danny has now, which is 32.
3. Use the formula for finding the difference: Total bottle caps now - Initial bottle caps = Bottle caps found.
4. Substitute the known values into the formula: 32 - 25 = Bottle caps found.
5. Calculate the result to find out how many bottle caps Danny found at the park.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B

exec(""print(solution(32, 25))"")","{'var_A': 32.0, 'var_B': 25.0}",True,'Code_Result'
Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,Addition,13.0,,13.0,13,Dan has $ var_A He bought a candy bar for $ var_B and a chocolate for $ var_C How much money did he spend buying the candy bar and chocolate?,"1. Identify the cost of the candy bar, which is $7.
2. Identify the cost of the chocolate, which is $6.
3. Use the addition formula to find the total amount spent: Total Cost = Cost of Candy Bar + Cost of Chocolate.
4. Substitute the known values into the formula: Total Cost = $7 + $6.
5. Calculate the total amount spent.",var_B + var_C,"def solution(var_A, var_B, var_C):
    cost_candy_bar = 7
    cost_chocolate = 6
    total_cost = cost_candy_bar + cost_chocolate
    return total_cost","{'var_A': 4.0, 'var_B': 7.0, 'var_C': 6.0}",True,'Code_Result'
White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total How many white t - shirts does each package have?,Common-Division,2.0,,2.0,,White t - shirts can be purchased in packages. If mom buys var_A packages which contain var_B white t - shirts in total How many white t - shirts does each package have?,"1. Identify the total number of white t-shirts purchased, which is 56.
2. Identify the total number of packages purchased, which is 28.
3. Use the formula for finding the number of items per package: 
   \[
   \text{Number of t-shirts per package} = \frac{\text{Total number of t-shirts}}{\text{Total number of packages}}
   \]
4. Substitute the known values into the formula: 
   \[
   \text{Number of t-shirts per package} = \frac{56}{28}
   \]
5. Perform the division to find the number of t-shirts in each package.",var_B / var_A,"def solution(var_A, var_B):
    return var_B / var_A

exec(""print(solution(28, 56))"")","{'var_A': 28.0, 'var_B': 56.0}",True,'Code_Result'
Adam has 3 more apples than jackie. Adam has 9 apples. How many apples does Jackie have?,Subtraction,6.0,6.0,6.0,6.0,Adam has var_A more apples than jackie. Adam has var_B apples. How many apples does Jackie have?,"1. Identify the number of apples Adam has, which is given as 9.
2. Recognize that Adam has 3 more apples than Jackie.
3. Set up the relationship: If Adam has 3 more apples than Jackie, then Jackie has 9 (Adam's apples) - 3 (the difference).
4. Perform the subtraction: Calculate 9 - 3 to find the number of apples Jackie has.
5. Conclude with the result of the subtraction to determine the total number of apples Jackie has.",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 3.0, 'var_B': 9.0}",False,
Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,Subtraction,7.0,,7.0,,Paco had var_A sweet cookies and var_B salty cookies. He ate var_C sweet cookies and var_D salty cookies. How many sweet cookies did Paco have left?,"1. Identify the initial number of sweet cookies Paco had, which is 22.
2. Determine the number of sweet cookies Paco ate, which is 15.
3. Use the subtraction formula to find the remaining sweet cookies: Remaining sweet cookies = Initial sweet cookies - Eaten sweet cookies.
4. Substitute the known values into the formula: Remaining sweet cookies = 22 - 15.
5. Calculate the result to find out how many sweet cookies Paco has left.",var_A - var_C,"def solution(var_A, var_B, var_C, var_D):
    remaining_sweet_cookies = var_A - var_C
    return remaining_sweet_cookies

exec(""print(solution(22, 0, 15, 0))"")","{'var_A': 22.0, 'var_B': 75.0, 'var_C': 15.0, 'var_D': 54.0}",True,'Code_Result'
