Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
A drug has a half-life of 6 hours in the human body. What percentage of the original dose remains after 18 hours?,Pharmacokinetics,12.5,,,,A drug has a half - life of var_A hours in the human body. What percentage of the original dose remains after var_B hours?,"1. Identify the concept of half-life, which is the time required for a quantity to reduce to half its initial value.
2. Determine how many half-lives have passed in the given time period (18 hours).
3. Use the formula for remaining quantity after a certain number of half-lives: Remaining Amount = Initial Amount × (1/2)^(number of half-lives).
4. Calculate the number of half-lives by dividing the total time (18 hours) by the half-life (6 hours).
5. Substitute the number of half-lives into the formula to find the remaining percentage of the original dose.
6. Convert the remaining amount into a percentage of the original dose.",100 * (1/2)^(var_B/var_A),"def solution(var_A, var_B):
    number_of_half_lives = var_B / var_A
    remaining_amount = (1 / 2) ** number_of_half_lives
    remaining_percentage = remaining_amount * 100
    return remaining_percentage","{'var_A': 6.0, 'var_B': 18.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A 50 mL solution contains 2.5 g of NaCl. What is its molarity? (Molar mass NaCl = 58.44 g/mol),Solution Concentration,0.855,0.8555783709787818,0.8555783709787818,0.8555783709787818,A var_A mL solution contains var_B g of NaCl. What is its molarity? ( Molar mass NaCl = var_C g / mol ),"1. Identify the formula for molarity, which is M = moles of solute / liters of solution.

2. Calculate the number of moles of NaCl using the formula: moles = mass (g) / molar mass (g/mol).

3. Convert the volume of the solution from mL to liters, since molarity requires the volume in liters.

4. Substitute the calculated moles of NaCl and the converted volume in liters into the molarity formula.

5. Simplify the expression to find the molarity of the NaCl solution.",(var_B / var_C) / (var_A / 1000),"def solution(var_A, var_B, var_C):
    moles = var_B / var_C
    liters = var_A / 1000
    molarity = moles / liters
    return molarity","{'var_A': 50.0, 'var_B': 2.5, 'var_C': 58.44}",False,
"If a cell divides into 2 every 20 minutes, how many cells are present after 1 hour starting from 1 cell? (Exponential growth) What is the cell count?",Exponential Growth,8.0,,,,"If a cell divides into var_A every var_B minutes, how many cells are present after var_C hour starting from var_D cell? ( Exponential growth ) What is the cell count?","1. Identify the initial number of cells, which is given as 1 cell.
2. Determine the time interval for cell division, which is every 20 minutes.
3. Calculate the total time duration for which the cells will divide, which is 1 hour.
4. Find out how many 20-minute intervals fit into the total time duration of 1 hour.
5. Use the concept of exponential growth, where the number of cells doubles with each interval.
6. Apply the formula for exponential growth: final cell count = initial cell count × (2 raised to the power of the number of intervals).
7. Substitute the initial cell count and the calculated number of intervals into the formula to find the final cell count.",var_D * (var_A ** (var_C * 60 / var_B)),"def solution(var_A, var_B, var_C, var_D):
    initial_cells = var_D
    total_time_minutes = var_C * 60
    intervals = total_time_minutes // var_B
    final_cell_count = initial_cells * (var_A ** intervals)
    return final_cell_count","{'var_A': 2.0, 'var_B': 20.0, 'var_C': 1.0, 'var_D': 1.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A patient's metabolic rate is 1.2 kcal/minute at rest. What is total energy expenditure in 8 hours?,Metabolism,576,576.0,576.0,576.0,A patient's metabolic rate is var_A kcal / minute at rest. What is total energy expenditure in var_B hours?,"1. Identify the metabolic rate given in the problem, which is in kcal/minute.
2. Determine the total time in minutes for 8 hours by converting hours to minutes.
3. Use the formula for total energy expenditure: Total Energy Expenditure = Metabolic Rate × Total Time.
4. Substitute the known metabolic rate and the total time in minutes into the formula.
5. Calculate the total energy expenditure to find the result in kcal.",var_A * (var_B * 60),"def solution(var_A, var_B):
    total_time_minutes = var_B * 60
    total_energy_expenditure = var_A * total_time_minutes
    return total_energy_expenditure","{'var_A': 1.2, 'var_B': 8.0}",False,
"A patient's white blood cell count increases from 4,000 to 11,000 cells/μL during an infection. What is the percentage increase in white blood cells?",Immunology,175.0,175.0,175.0,175.0,A patient's white blood cell count increases from var_A to var_B cells / μL during an infection. What is the percentage increase in white blood cells?,"1. Identify the initial white blood cell count and the final white blood cell count.
2. Calculate the difference between the final count and the initial count to find the increase in white blood cells.
3. Use the formula for percentage increase: (increase / initial count) × 100%.
4. Substitute the values of the increase and the initial count into the percentage increase formula.
5. Simplify the expression to find the percentage increase in white blood cells.",((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    increase = var_B - var_A
    percentage_increase = (increase / var_A) * 100
    return percentage_increase","{'var_A': 4000.0, 'var_B': 11000.0}",False,
"A ball is thrown upward with an initial velocity of 20 m/s. Taking g = 10 m/s², What is its maximum height in meters?",Projectile Motion,20.0,20.0,20.0,20.0,"A ball is thrown upward with an initial velocity of var_A m / s. Taking g = var_B m / s², What is its maximum height in meters?","1. Identify the initial velocity of the ball and the acceleration due to gravity (g).
2. Use the kinematic equation for vertical motion to find the maximum height: \( v^2 = u^2 + 2as \), where \( v \) is the final velocity (0 m/s at maximum height), \( u \) is the initial velocity, \( a \) is the acceleration (which will be negative due to gravity), and \( s \) is the maximum height.
3. Rearrange the equation to solve for the maximum height \( s \).
4. Substitute the known values of initial velocity and acceleration into the rearranged equation.
5. Calculate the maximum height using the values substituted in the equation.",(var_A**2) / (2 * var_B),"def solution(var_A, var_B):
    u = var_A
    a = -var_B
    v = 0
    s = (v**2 - u**2) / (2 * a)
    return s","{'var_A': 20.0, 'var_B': 10.0}",False,
A 100 W light bulb is left on for 5 hours. How much energy does it consume in kWh?,Energy Consumption,0.5,0.5,0.5,0.5,A var_A W light bulb is left on for var_B hours. How much energy does it consume in kWh?,"1. Identify the power rating of the light bulb, which is given in watts (W).
2. Convert the power rating from watts to kilowatts (kW) using the conversion factor: 1 kW = 1000 W.
3. Determine the time the light bulb is on, which is given in hours.
4. Use the formula for energy consumption: Energy (kWh) = Power (kW) × Time (hours).
5. Substitute the converted power in kW and the time in hours into the formula to calculate the energy consumed in kWh.",(var_A / 1000) * var_B,"def solution(var_A, var_B):
    power_kW = var_A / 1000
    energy_kWh = power_kW * var_B
    return energy_kWh","{'var_A': 100.0, 'var_B': 5.0}",False,
A bipolar junction transistor has a current gain of 100. What base current generates a collector current of 10 mA?,Semiconductor Electronics,0.1,0.1,0.1,0.1,A bipolar junction transistor has a current gain of var_A What base current generates a collector current of var_B mA?,"1. Identify the relationship between collector current (Ic), base current (Ib), and current gain (β) of the transistor, which is given by the formula: Ic = β * Ib.

2. Rearrange the formula to solve for the base current (Ib): Ib = Ic / β.

3. Substitute the known values into the rearranged formula: use the given collector current and the current gain.

4. Perform the calculation to find the base current (Ib). 

5. Interpret the result in the context of the problem to ensure it makes sense.",var_B / var_A,"def solution(var_A, var_B):
    Ib = var_B / var_A
    return Ib","{'var_A': 100.0, 'var_B': 10.0}",False,
A quantum dot emits photons at 600 nm wavelength. What is its bandgap energy in electron volts?,Quantum Mechanics,2.48,,,,A quantum dot emits photons at var_A nm wavelength. What is its bandgap energy in electron volts?,"To find the bandgap energy of a quantum dot that emits photons at a given wavelength, follow these rough steps:

1. **Understand the relationship between wavelength and energy**: Use the formula that relates the energy of a photon to its wavelength, which is given by \( E = \frac{hc}{\lambda} \), where \( E \) is the energy in electron volts, \( h \) is Planck's constant, \( c \) is the speed of light, and \( \lambda \) is the wavelength.

2. **Identify the constants**: Recognize the values of Planck's constant and the speed of light that will be used in the calculation.

3. **Convert the wavelength to the appropriate units**: Ensure that the wavelength is in meters if necessary, as the constants are typically in SI units.

4. **Substitute the wavelength into the energy formula**: Plug the wavelength value into the energy formula to calculate the energy in joules.

5.",E = (1240 / var_A),"def solution(var_A):
    h = 6.62607015e-34  # Planck's constant in J*s
    c = 3e8  # Speed of light in m/s
    lambda_m = var_A * 1e-9  # Convert wavelength from nm to m
    E_joules = h * c / lambda_m  # Energy in joules
    E_electron_volts = E_joules / 1.602176634e-19  # Convert joules to electron volts
    return E_electron_volts",{'var_A': 600.0},True,"float() argument must be a string or a real number, not 'NoneType'"
"A sample of gas occupies 3 L at 27°C. At constant pressure, it is heated to 127°C. What is its new volume in liters?",Charles's Law,4.0,3.9995002498750623,3.9995002498750623,3.9995002498750623,"A sample of gas occupies var_A L at var_B °C. At constant pressure, it is heated to var_C °C. What is its new volume in liters?","1. Identify that the problem involves the relationship between temperature and volume of a gas at constant pressure, which can be described by Charles's Law.

2. Recall the formula for Charles's Law: V1/T1 = V2/T2, where V is volume and T is temperature in Kelvin.

3. Convert the initial temperature (27°C) and the final temperature (127°C) to Kelvin by adding 273.15 to each temperature.

4. Substitute the known values into the Charles's Law formula, using the initial volume and the converted temperatures.

5. Solve for the new volume (V2) by rearranging the formula to isolate V2 on one side.

6. Calculate the new volume using the values obtained from the previous steps.",var_A * (var_C + 273.15) / (var_B + 273.15),"def solution(var_A, var_B, var_C):
    T1 = var_B + 273.15
    T2 = var_C + 273.15
    V2 = var_A * (T2 / T1)
    return V2","{'var_A': 3.0, 'var_B': 27.0, 'var_C': 127.0}",False,
A pendulum makes 40 complete oscillations in 2 minutes. What is its frequency in Hertz?,Oscillation Frequency,0.333,0.3333333333333333,0.3333333333333333,0.3333333333333333,A pendulum makes var_A complete oscillations in var_B minutes. What is its frequency in Hertz?,"1. Identify the total number of oscillations made by the pendulum, which is given as 40.
2. Determine the total time taken for these oscillations, which is given as 2 minutes.
3. Convert the total time from minutes to seconds, since frequency is measured in Hertz (oscillations per second).
4. Use the formula for frequency: Frequency (in Hertz) = Total Oscillations / Total Time (in seconds).
5. Substitute the total number of oscillations and the converted total time into the frequency formula to calculate the frequency.",var_A / (var_B * 60),"def solution(var_A, var_B):
    total_oscillations = var_A
    total_time_seconds = var_B * 60
    frequency = total_oscillations / total_time_seconds
    return frequency","{'var_A': 40.0, 'var_B': 2.0}",False,
A patient's body temperature fluctuates between 36.5°C and 37.5°C. What is the temperature range in Fahrenheit?,Clinical Physiology,99.5,,,,A patient's body temperature fluctuates between var_A °C and var_B °C. What is the temperature range in Fahrenheit?,"1. Identify the given temperature range in Celsius: the lower limit is 36.5°C and the upper limit is 37.5°C.

2. Use the conversion formula from Celsius to Fahrenheit: \( F = \frac{9}{5}C + 32 \).

3. Apply the conversion formula to the lower limit (36.5°C) to find the corresponding temperature in Fahrenheit.

4. Apply the conversion formula to the upper limit (37.5°C) to find the corresponding temperature in Fahrenheit.

5. Determine the temperature range in Fahrenheit by noting the results from steps 3 and 4.","((9/5)*var_A + 32, (9/5)*var_B + 32)","def solution(var_A, var_B):
    lower_limit_f = (9/5) * var_A + 32
    upper_limit_f = (9/5) * var_B + 32
    return lower_limit_f, upper_limit_f","{'var_A': 36.5, 'var_B': 37.5}",True,"float() argument must be a string or a real number, not 'tuple'"
"A photon has a wavelength of 500 nm. What is its energy in electron volts? (h = 6.626e-34 J·s, c = 3e8 m/s, 1 eV = 1.6e-19 J)",Quantum Mechanics,2.48,,,,"A photon has a wavelength of var_A nm. What is its energy in electron volts? ( h = var_B e - var_C J·s, c = var_D e m / s, var_E eV = var_F e - var_G J )","1. **Identify the relationship between energy, wavelength, and constants**: Use the formula that relates energy (E) of a photon to its wavelength (λ): E = h * c / λ, where h is Planck's constant and c is the speed of light.

2. **Convert the wavelength from nanometers to meters**: Since the wavelength is given in nanometers, convert it to meters by recognizing that 1 nm = 1e-9 m.

3. **Substitute the known values into the energy formula**: Plug in the values of h (Planck's constant) and c (speed of light) into the formula along with the converted wavelength.

4. **Calculate the energy in joules**: Perform the calculation to find the energy in joules using the substituted values.

5. **Convert the energy from joules to electron volts**: Use the conversion factor that relates joules to electron volts (1 eV = 1.6e-",(var_B * var_F / var_C * var_D / (var_A * 1e-9)) * var_E / var_G,"def solution(var_A, var_B, var_C, var_D, var_E, var_F, var_G):
    h = var_B * 1e-var_C  # Planck's constant in J·s
    c = var_D * 1e  # Speed of light in m/s
    wavelength_m = var_A * 1e-9  # Wavelength in meters
    energy_joules = (h * c) / wavelength_m  # Energy in joules
    energy_eV = energy_joules / (var_F * 1e-var_G)  # Energy in electron volts
    return energy_eV","{'var_A': 500.0, 'var_B': 6.626, 'var_C': 34.0, 'var_D': 3.0, 'var_E': 1.0, 'var_F': 1.6, 'var_G': 19.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A protein biomarker concentration is 25 ng/mL in diseased state. What is its concentration in μg/L?,Clinical Biochemistry,25000,25.0,25.0,25.0,A protein biomarker concentration is var_A ng / mL in diseased state. What is its concentration in μg / L?,"1. Identify the conversion factor between ng/mL and μg/L. Recognize that 1 ng/mL is equivalent to 1 μg/L since both are measures of concentration in different units.

2. Since the concentration is given in ng/mL, directly convert the concentration to μg/L using the identified conversion factor.

3. State the concentration in μg/L based on the conversion from ng/mL. 

4. Verify that the units are consistent and that the conversion has been applied correctly.",var_A,"def solution(var_A):
    return var_A  # 1 ng/mL is equivalent to 1 μg/L, so the concentration remains the same.",{'var_A': 25.0},False,
An enzyme reaction rate is 0.5 μmol/min at 25°C. What is the rate in mmol/hour?,Enzyme Kinetics,0.03,0.03,0.03,0.03,An enzyme reaction rate is var_A μmol / min at var_B °C. What is the rate in mmol / hour?,"1. Identify the conversion factors needed to change the rate from μmol/min to mmol/hour. 
2. Recognize that 1 mmol is equal to 1000 μmol.
3. Convert the rate from μmol/min to mmol/min by dividing the rate in μmol by 1000.
4. Convert the rate from mmol/min to mmol/hour by multiplying the rate in mmol/min by the number of minutes in an hour (60).
5. Combine the results from steps 3 and 4 to find the final rate in mmol/hour.",(var_A / 1000) * 60,"def solution(var_A, var_B):
    rate_mmol_per_hour = (var_A / 1000) * 60
    return rate_mmol_per_hour","{'var_A': 0.5, 'var_B': 25.0}",False,
A superconductor transitions at 4.2 K and carries 50 A of current. What is its critical current density at 77 K? (Assume linear reduction),Superconductivity,919.0,,,,A superconductor transitions at var_A K and carries var_B A of current. What is its critical current density at var_C K? ( Assume linear reduction ),"To find the critical current density of the superconductor at 77 K, follow these rough steps:

1. **Understand the Concept of Critical Current Density**: Recognize that critical current density is the maximum current per unit area that a superconductor can carry without losing its superconducting properties.

2. **Identify the Transition Temperature**: Note that the superconductor transitions at 4.2 K, which is its critical temperature (Tc).

3. **Assume Linear Reduction**: Since the problem states to assume a linear reduction, understand that the critical current density at temperatures above the critical temperature will decrease linearly as the temperature increases.

4. **Determine the Current Density at 4.2 K**: Calculate the current density at the transition temperature (4.2 K) using the given current (50 A) and the cross-sectional area of the superconductor (if provided or assumed).

5. **Establish the Relationship for 77 K**: Use the linear",var_B * (var_C - 4.2) / (var_A - 4.2),"def solution(var_A, var_B, var_C):
    Tc = var_A  # Transition temperature in K
    I = var_B   # Current in A
    T = var_C   # Temperature in K
    
    # Assuming a linear reduction from Tc to T
    critical_current_density_at_Tc = I  # Current density at transition temperature
    critical_current_density_at_T = critical_current_density_at_Tc * (Tc - T) / (Tc - 4.2)
    
    return critical_current_density_at_T","{'var_A': 4.2, 'var_B': 50.0, 'var_C': 77.0}",True,'Code_Result'
10 moles of hydrogen gas (H2) combine with 5 moles of oxygen gas (O2) to form water (H2O). How many moles of water are produced?,Stoichiometry,5.0,,,,var_A moles of hydrogen gas ( H var_B ) combine with var_C moles of oxygen gas ( O var_D ) to form water ( H var_E O ) . How many moles of water are produced?,"1. Identify the balanced chemical equation for the reaction between hydrogen gas and oxygen gas to form water. The equation is: 2 H2 + O2 → 2 H2O.

2. Determine the stoichiometric ratios from the balanced equation. For every 2 moles of H2, 1 mole of O2 is required to produce 2 moles of H2O.

3. Calculate the limiting reactant by comparing the available moles of H2 and O2 with the stoichiometric ratios. 

4. Use the limiting reactant to determine how many moles of water (H2O) can be produced based on the stoichiometric ratios from the balanced equation.

5. Conclude with the total moles of water produced based on the calculations from the limiting reactant.","min(var_A * var_E / var_B * 2, var_C * var_E / var_D)","def solution(var_A, var_B, var_C, var_D, var_E):
    # Stoichiometric ratios
    H2_needed_per_H2O = 2
    O2_needed_per_H2O = 1
    
    # Calculate maximum possible moles of water from each reactant
    max_H2O_from_H2 = (var_A * var_B) / H2_needed_per_H2O
    max_H2O_from_O2 = (var_C * var_D) / O2_needed_per_H2O
    
    # Determine the limiting reactant
    max_H2O = min(max_H2O_from_H2, max_H2O_from_O2)
    
    # Return the total moles of water produced
    return max_H2O","{'var_A': 10.0, 'var_B': 2.0, 'var_C': 5.0, 'var_D': 2.0, 'var_E': 2.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A stock increases from $50 to $62 over one year. What is its percentage return?,Financial Returns,24.0,24.0,24.0,24.0,A stock increases from $ var_A to $ var_B over one year. What is its percentage return?,"1. Identify the initial value of the stock and the final value of the stock.
2. Calculate the change in value of the stock by subtracting the initial value from the final value.
3. Use the formula for percentage return: (Change in value / Initial value) × 100%.
4. Substitute the change in value and the initial value into the percentage return formula.
5. Simplify the expression to find the percentage return.",((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    change_in_value = var_B - var_A
    percentage_return = (change_in_value / var_A) * 100
    return percentage_return","{'var_A': 50.0, 'var_B': 62.0}",False,
A quantum well confines electrons with energy gap of 0.2 eV. What is the wavelength of emitted photon?,Quantum Optoelectronics,6.2e-06,,9.939e-25,6.203488512526682e-06,A quantum well confines electrons with energy gap of var_A eV. What is the wavelength of emitted photon?,"To find the wavelength of the emitted photon from a quantum well with a given energy gap, follow these rough steps:

1. **Understand the relationship between energy and wavelength**: Use the formula that relates energy (E) of a photon to its wavelength (λ): 
   \[ E = \frac{hc}{\lambda} \]
   where h is Planck's constant and c is the speed of light.

2. **Rearrange the formula**: Solve for the wavelength (λ) in terms of energy (E):
   \[ \lambda = \frac{hc}{E} \]

3. **Substitute the energy gap**: Replace E in the rearranged formula with the given energy gap of the quantum well.

4. **Calculate the wavelength**: Use the known values of Planck's constant and the speed of light to compute the wavelength.

5. **Interpret the result**: Understand that the calculated wavelength corresponds to the emitted photon when an electron transitions",(6.626e-34 * 3e8) / var_A,"def solution(var_A):
    h = 6.62607015e-34  # Planck's constant in J*s
    c = 3e8  # Speed of light in m/s
    E = var_A * 1.60218e-19  # Convert eV to Joules
    wavelength = h * c / E  # Calculate wavelength in meters
    return wavelength",{'var_A': 0.2},True,'Code_Result'
A spring has a spring constant of 100 N/m. It is stretched by 0.1 m. What is the force exerted by the spring?,Hooke's Law,10.0,10.0,10.0,10.0,A spring has a spring constant of var_A N / m. It is stretched by var_B m. What is the force exerted by the spring?,"1. Identify the formula for the force exerted by a spring, which is given by Hooke's Law: \( F = k \cdot x \), where \( F \) is the force, \( k \) is the spring constant, and \( x \) is the displacement from the equilibrium position.

2. Substitute the known values into the formula: use the given spring constant and the amount the spring is stretched.

3. Calculate the force by multiplying the spring constant by the displacement.

4. Interpret the result to understand the magnitude of the force exerted by the spring.",var_A * var_B,"def solution(var_A, var_B):
    F = var_A * var_B
    return F","{'var_A': 100.0, 'var_B': 0.1}",False,
"The half-life of a radioactive isotope is 5 years. After 15 years, What fraction of the original isotope remains?",Radioactive Decay,0.125,0.125,0.125,0.125,"The half - life of a radioactive isotope is var_A years. After var_B years, What fraction of the original isotope remains?","1. Identify the half-life of the radioactive isotope, which is given as a specific time period.
2. Determine how many half-lives have passed after the given time period (15 years).
3. Use the formula for radioactive decay, which states that after n half-lives, the remaining fraction of the original substance is (1/2)^n.
4. Substitute the number of half-lives calculated in step 2 into the formula from step 3 to find the remaining fraction of the original isotope.
5. Simplify the expression to obtain the final fraction of the original isotope that remains after the specified time period.",(1/2)**(var_B/var_A),"def solution(var_A, var_B):
    n = var_B / var_A
    remaining_fraction = (1 / 2) ** n
    return remaining_fraction","{'var_A': 5.0, 'var_B': 15.0}",False,
