Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
The frequency of a wave is 500 Hz and its wavelength is 0.7 m. What is its speed in m/s?,Wave Speed,350.0,350,350.0,350.0,The frequency of a wave is var_A Hz and its wavelength is var_B m. What is its speed in m / s?,var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 500.0, 'var_B': 0.7}",False,
"A bacterial population doubles every 20 minutes. Starting with 1000 cells, How many cells after 60 minutes?",Bacterial Growth,8000,,8000.0,8000.0,"A bacterial population doubles every var_A minutes. Starting with var_B cells, How many cells after var_C minutes?",var_B * (2 ** (var_C / var_A)),"def solution(var_A, var_B, var_C):
    return var_B * (2 ** (var_C // var_A))","{'var_A': 20.0, 'var_B': 1000.0, 'var_C': 60.0}",False,
"A 5 kg object moving at 3 m/s collides with a stationary 3 kg object. After collision, they move together. What is their final velocity?",Conservation of Momentum,1.875,1.875,1.875,1.875,"A var_A kg object moving at var_B m / s collides with a stationary var_C kg object. After collision, they move together. What is their final velocity?",(var_A * var_B) / (var_A + var_C),"def solution(var_A, var_B, var_C):
    final_velocity = (var_A * var_B) / (var_A + var_C)
    return final_velocity","{'var_A': 5.0, 'var_B': 3.0, 'var_C': 3.0}",False,
A chemical buffer has a pKa of 7 and initial concentration of 0.1 M. What is its pH at 25°C?,Buffer Solution,7.0,,,,A chemical buffer has a pKa of var_A and initial concentration of var_B M. What is its pH at var_C °C?,var_A + log(var_B),"def solution(var_A, var_B, var_C):
    import math
    
    # Convert temperature from Celsius to Kelvin
    T_kelvin = var_C + 273.15
    
    # Calculate the pH using the Henderson-Hasselbalch equation
    pH = var_A + math.log10(var_B)
    
    return pH","{'var_A': 7.0, 'var_B': 0.1, 'var_C': 25.0}",True,"must be real number, not NoneType"
A 5 kg object is lifted 2 meters against gravity (g = 9.8 m/s²). How much potential energy does it gain in Joules?,Gravitational Potential Energy,98.0,98,98.0,98.0,A var_A kg object is lifted var_B meters against gravity ( g = var_C m / s² ) . How much potential energy does it gain in Joules?,var_A * var_C * var_B,"def solution(var_A, var_B, var_C):
    potential_energy = var_A * var_B * var_C
    return potential_energy","{'var_A': 5.0, 'var_B': 2.0, 'var_C': 9.8}",False,
"The density of gold is 19.3 g/cm³. If you have a cube of gold with side length 2 cm, What is its mass in grams?",Density Calculation,154.4,154.4,154.4,154.4,"The density of gold is var_A g / cm³. If you have a cube of gold with side length var_B cm, What is its mass in grams?",var_A * (var_B ** 3),"def solution(var_A, var_B):
    volume = var_B ** 3
    mass = var_A * volume
    return mass","{'var_A': 19.3, 'var_B': 2.0}",False,
The molar mass of NaOH is 40 g/mol. Calculate the mass of 2 moles of NaOH. What is the mass?,Molar Mass,80.0,80,80.0,80.0,The molar mass of NaOH is var_A g / mol. Calculate the mass of var_B moles of NaOH. What is the mass?,var_A * var_B,"def solution(var_A, var_B):
    mass = var_A * var_B
    return mass","{'var_A': 40.0, 'var_B': 2.0}",False,
A nanomaterial has a surface area of 50 m²/g. What is its specific surface area in cm²/mg?,Materials Engineering,5000,500,500.0,500.0,A nanomaterial has a surface area of var_A m² / g. What is its specific surface area in cm² / mg?,var_A * 10000 / 1000,"def solution(var_A):
    return var_A * 10000 / 1000",{'var_A': 50.0},False,
A 5 Ω and a 10 Ω resistor are connected in parallel. What is their equivalent resistance in ohms?,Parallel Resistance,3.33,3.33,3.333333333333333,3.333333333333333,A var_A Ω and a var_B Ω resistor are connected in parallel. What is their equivalent resistance in ohms?,1 / (1 / var_A + 1 / var_B),"def solution(var_A, var_B):
    return 1 / (1 / var_A + 1 / var_B)","{'var_A': 5.0, 'var_B': 10.0}",False,
"The half-life of a radioactive isotope is 5 hours. Starting with 100 grams, How many grams remain after 15 hours?",Radioactive Decay,12.5,12.5,12.5,12.5,"The half - life of a radioactive isotope is var_A hours. Starting with var_B grams, How many grams remain after var_C hours?",var_B * (0.5 ** (var_C / var_A)),"def solution(var_A, var_B, var_C):
    remaining_grams = var_B * (0.5 ** (var_C / var_A))
    return remaining_grams","{'var_A': 5.0, 'var_B': 100.0, 'var_C': 15.0}",False,
An ideal gas expands from 2 L to 5 L at constant temperature of 300 K. What is the pressure change ratio?,Gas Law Thermodynamics,0.4,,120.0,0.4,An ideal gas expands from var_A L to var_B L at constant temperature of var_C K. What is the pressure change ratio?,(var_A * var_C) / var_B,"def solution(var_A, var_B, var_C):
    P1 = var_A / var_C
    P2 = var_B / var_C
    return P1 / P2","{'var_A': 2.0, 'var_B': 5.0, 'var_C': 300.0}",False,
"A radioactive isotope has a half-life of 10 days. After 30 days, What fraction of the original sample remains?",Radioactive Decay,0.125,0.125,0.125,0.125,"A radioactive isotope has a half - life of var_A days. After var_B days, What fraction of the original sample remains?",(1/2) ** (var_B / var_A),"def solution(var_A, var_B):
    return 0.5 ** (var_B / var_A)","{'var_A': 10.0, 'var_B': 30.0}",False,
The average kinetic energy of gas molecules at 300 K is 6.21 x 1e-21 J. What is the average kinetic energy at 600 K?,Kinetic Theory,1.242e-20,,-8.58,7.48272087e-20,The average kinetic energy of gas molecules at var_A K is var_B x var_C e - var_D J. What is the average kinetic energy at var_E K?,(var_B * var_C * (var_E / var_A) - var_D),"def solution(var_A, var_B, var_C, var_D, var_E):
    average_kinetic_energy_A = var_B * var_C * (var_A + 273.15) * 1.38e-23  # Convert K to Celsius and calculate energy
    average_kinetic_energy_E = var_B * var_C * (var_E + 273.15) * 1.38e-23  # Convert K to Celsius and calculate energy
    return average_kinetic_energy_E","{'var_A': 300.0, 'var_B': 6.21, 'var_C': 1.0, 'var_D': 21.0, 'var_E': 600.0}",False,
"A wire of length 2 m has a resistance of 10 Ω. If its length is doubled, What is its new resistance?",Resistance and Length,20.0,20,20.0,20.0,"A wire of length var_A m has a resistance of var_B Ω. If its length is doubled, What is its new resistance?",2 * var_B,"def solution(var_A, var_B):
    new_resistance = 2 * var_B
    return new_resistance","{'var_A': 2.0, 'var_B': 10.0}",False,
"The specific heat capacity of water is 4.18 J/(g·°C). To raise the temperature of 100g of water by 5°C, How much energy is required in Joules?",Heat Capacity,2090.0,2090,2090.0,2090.0,"The specific heat capacity of water is var_A J / ( g·°C ) . To raise the temperature of var_B g of water by var_C °C, How much energy is required in Joules?",var_A * var_B * var_C,"def solution(var_A, var_B, var_C):
    return var_A * var_B * var_C","{'var_A': 4.18, 'var_B': 100.0, 'var_C': 5.0}",False,
A patient's blood glucose level increases from 90 to 140 mg/dL after a meal. What is the percentage increase in blood glucose?,Medical Diagnostics,55.6,55.55,55.55555555555556,55.55555555555556,A patient's blood glucose level increases from var_A to var_B mg / dL after a meal. What is the percentage increase in blood glucose?,((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    percentage_increase = ((var_B - var_A) / var_A) * 100
    return percentage_increase","{'var_A': 90.0, 'var_B': 140.0}",False,
A worker is paid $15 per hour. If they work for 8 hours. What is their total pay?,Multiplication,120.0,120,120.0,120.0,A worker is paid $ var_A per hour. If they work for var_B hours. What is their total pay?,var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 15.0, 'var_B': 8.0}",False,
A transformer steps voltage down from 220 V to 110 V. What is the turns ratio of its primary to secondary windings?,Electrical Transformer,2.0,2,2.0,2.0,A transformer steps voltage down from var_A V to var_B V. What is the turns ratio of its primary to secondary windings?,var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 220.0, 'var_B': 110.0}",False,
"The de Broglie wavelength of an electron is 1 nm. If its mass is 9.1 × 10⁻³¹ kg, What is its velocity in m/s?",de Broglie Wavelength,728000.0,,6.02966e-55,7.281395769230769e-16,"The de Broglie wavelength of an electron is var_A nm. If its mass is var_B × var_C ⁻³¹ kg, What is its velocity in m / s?",(6.626e-34 / (var_A * 1e-9)) * (var_B * var_C ** -31),"def solution(var_A, var_B, var_C):
    import scipy.constants as const
    
    # Convert wavelength from nm to meters
    wavelength = var_A * 1e-9
    
    # Calculate mass in kg
    mass = var_B * (10 ** -var_C)
    
    # Calculate velocity using de Broglie wavelength formula: v = h / (m * λ)
    velocity = const.h / (mass * wavelength)
    
    return velocity","{'var_A': 1.0, 'var_B': 9.1, 'var_C': 10.0}",False,
"A 0.1 M HCl solution has a pH of 1. If it is diluted 10 times, What is its new pH?",Dilution and pH,2.0,,,,"A var_A M HCl solution has a pH of var_B If it is diluted var_C times, What is its new pH?",var_B + log(var_C),"import math

def solution(var_A, var_B, var_C):
    # Calculate the initial concentration of H+ ions
    initial_concentration = 10 ** (-var_B)
    
    # Dilute the solution var_C times
    new_concentration = initial_concentration / var_C
    
    # Calculate the new pH
    new_pH = -math.log10(new_concentration)
    
    return new_pH","{'var_A': 0.1, 'var_B': 1.0, 'var_C': 10.0}",True,"must be real number, not NoneType"
A lens with focal length 10 cm forms an image 30 cm from its center. What is the object distance?,Optics Imaging,15.0,,,,A lens with focal length var_A cm forms an image var_B cm from its center. What is the object distance?,1 / var_A = 1 / object_distance + 1 / var_B,"def solution(var_A, var_B):
    # Using the lens formula: 1/f = 1/v - 1/u
    # Rearranging gives: u = 1/(1/f + 1/v)
    f = var_A
    v = var_B
    u = 1 / (1/f + 1/v)
    return u","{'var_A': 10.0, 'var_B': 30.0}",True,"must be real number, not NoneType"
A sample contains 12 grams of carbon-12. How many moles of carbon are in the sample?,Mole Calculation,1.0,,0.9991673605328892,0.0,A sample contains var_A grams of carbon - var_B How many moles of carbon are in the sample?,var_A / 12.01,"def solution(var_A, var_B):
    molar_mass_carbon = 12.01  # g/mol
    grams_of_carbon = var_A - var_B
    moles_of_carbon = grams_of_carbon / molar_mass_carbon
    return moles_of_carbon","{'var_A': 12.0, 'var_B': 12.0}",False,
A perfect blackbody radiates at 500 K. What is its peak emission wavelength? (Wien displacement constant = 2.898e-3 m·K),Thermal Radiation,5.796e-06,,0.005796,1.932e-12,A perfect blackbody radiates at var_A K. What is its peak emission wavelength? ( Wien displacement constant = var_B e - var_C m·K ),var_B / (var_A),"def solution(var_A, var_B, var_C):
    wien_displacement_constant = var_B * 1e-9 / var_C  # Convert to meters
    peak_wavelength = wien_displacement_constant / var_A
    return peak_wavelength","{'var_A': 500.0, 'var_B': 2.898, 'var_C': 3.0}",False,
A fuel cell generates 0.7 V with hydrogen and oxygen. What electrical power does it produce at 2 A current?,Electrochemistry,1.4,1.4,1.4,1.4,A fuel cell generates var_A V with hydrogen and oxygen. What electrical power does it produce at var_B A current?,var_A * var_B,"def solution(var_A, var_B):
    power = var_A * var_B
    return power","{'var_A': 0.7, 'var_B': 2.0}",False,
