Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" A worksheet had 2 problems on it. If a teacher had 14 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",14,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?",var_A - var_B = 100,"def solve(var_A, var_B, var_C):
    return var_B - var_C

print(solve(10, 20, 15))","{'var_A': 2.0, 'var_B': 14.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",9,,,,"Luke made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?",var_A / (var_B / var_C),"def calculate_time(var_A, var_B, var_C):
    return var_A / var_C

var_A = 1000  # var_A dollars
var_B = 500   # var_B dollars
var_C = 10    # var_C dollar a week

time = calculate_time(var_A, var_B, var_C)
print(f""The money would last {time} weeks."")","{'var_A': 9.0, 'var_B': 18.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",8,,,,"John made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?",var_A / (var_B / var_C),"def calculate_time(var_A, var_B, var_C):
    return var_A / var_C

var_A = 10000
var_B = 5000
var_C = 10

print(calculate_time(var_A, var_B, var_C))","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? ",15,,,,"A waiter at 'The Greasy Spoon' restaurant had var_A customers to wait on. During the lunch rush he added another var_B customers. If var_C of the customers didn't leave him a tip, how many customers did leave a tip?",var_A + var_B - var_C,"def customers_left():
    var_A = 10
    var_B = var_A + 10
    var_C = var_B - 10
    return var_C","{'var_A': 29.0, 'var_B': 20.0, 'var_C': 34.0}",True,"must be real number, not NoneType"
" The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with? ",31,,,,"The school cafeteria ordered var_A red apples and var_B green apples for students lunches. But, if only var_C students wanted fruit, how many extra did the cafeteria end up with?",var_A - var_C,"def find_extra_apples():
    var_A = 10
    var_B = 15
    var_C = 20
    extra_apples = var_A + var_B - var_C
    return extra_apples

print(find_extra_apples())","{'var_A': 37.0, 'var_B': 45.0, 'var_C': 51.0}",True,"must be real number, not NoneType"
" Luke was putting his spare change into piles. He had 5 piles of quarters and 5 piles of dimes. If each pile had 3 coins in it, how many coins did he have total? ",30,,,,"Luke was putting his spare change into piles. He had var_A piles of quarters and var_B piles of dimes. If each pile had var_C coins in it, how many coins did he have total?",var_A + 2 * var_B,"def total_coins(var_A, var_B):
    return var_A * 25 + var_B * 10","{'var_A': 5.0, 'var_B': 5.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" Megan's class is going on a field trip to the zoo. If each van can hold 5 people and there are 25 students and 5 adults going, how many vans will they need? ",6,,,,"Megan's class is going on a field trip to the zoo. If each van can hold var_A people and there are var_B students and var_C adults going, how many vans will they need?",var_A = var_B / var_C,"def vans_needed(var_A, var_B, var_C):
    return (var_A + var_B + var_C) // 3","{'var_A': 5.0, 'var_B': 25.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total? ",31,,,,"Nancy picked var_A carrots from her garden. If she threw out var_B of them and then picked var_C more the next day, how many carrots would she have total?",var_A - var_B + var_C,"def total_carrots(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 12.0, 'var_B': 2.0, 'var_C': 21.0}",True,"must be real number, not NoneType"
" A worksheet had 3 problems on it. If a teacher had 15 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",24,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?",var_A - var_B = 100,"def solve(var_A, var_B, var_C):
    return var_B - var_C

print(solve(10, 20, 15))","{'var_A': 3.0, 'var_B': 15.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" The cafeteria had 50 apples. For lunch they handed out 5 to students and decided to use the rest to make pies. If each pie takes 5 apples, how many pies could they make? ",9,,,,"The cafeteria had var_A apples. For lunch they handed out var_B to students and decided to use the rest to make pies. If each pie takes var_C apples, how many pies could they make?",var_A - var_B / var_C,"def calculate_pies(var_A, var_B, var_C):
    return var_A // var_C

var_A = 20
var_B = 30
var_C = 4

print(calculate_pies(var_A, var_B, var_C))","{'var_A': 50.0, 'var_B': 5.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39,,,,"Tom had var_A books. If he sold var_B of them and used the money he earned to buy var_C new books, how many books would Tom have?",var_A - var_B + var_C,"def solve(var_A, var_B):
    return var_A - var_B","{'var_A': 5.0, 'var_B': 4.0, 'var_C': 38.0}",True,"must be real number, not NoneType"
" Rachel was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 6 shelves of mystery books and 2 shelves of picture books, how many books did she have total? ",72,,,,"Rachel was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?",var_A * 1 + var_B * 2 + var_C,"def total_books(var_A, var_B, var_C):
    return var_A * 1 + var_B * 2 + var_C * 3

var_A = 5
var_B = 3
var_C = 7
print(total_books(var_A, var_B, var_C))","{'var_A': 9.0, 'var_B': 6.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 6 lives, how many lives did they have total? ",24,,,,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?",var_A * var_C + var_B * var_C,"def calculate_total_lives(var_A, var_B, var_C):
    return var_A * var_C

# Test the function
var_A = 10
var_B = 20
var_C = 30
print(calculate_total_lives(var_A, var_B, var_C))","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 6.0}",True,"must be real number, not NoneType"
" Haley baked 20 cupcakes for her school's bake sale. If her brother, Todd, ate 11 of them how many packages could she make if she put 3 cupcake in each package? ",3,,,,"Haley baked var_A cupcakes for her school's bake sale. If her brother, Todd, ate var_B of them how many packages could she make if she put var_C cupcake in each package?",var_A - var_B / var_C,"def solve_problem(var_A, var_B, var_C):
    return var_A // var_C

var_A = 20
var_B = 5
var_C = 4

print(solve_problem(var_A, var_B, var_C))","{'var_A': 20.0, 'var_B': 11.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" Bianca had 45 coloring books. If she gave away 6 of them, but then bought 20 more, how many would she have total? ",59,,59.0,31.0,"Bianca had var_A coloring books. If she gave away var_B of them, but then bought var_C more, how many would she have total?",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B - var_C","{'var_A': 45.0, 'var_B': 6.0, 'var_C': 20.0}",False,
" Gwen was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 3 shelves of mystery books and 5 shelves of picture books, how many books did she have total? ",72,,,,"Gwen was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?",var_A + var_B + var_C,"def total_books(var_A, var_B, var_C):
    return var_A * 10 + var_B * 20 + var_C * 30

var_A = 5
var_B = 3
var_C = 7
print(total_books(var_A, var_B, var_C))","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Dave bought 12 boxes of chocolate candy and gave 5 to his little brother. If each box has 3 pieces inside it, how many pieces did Dave still have? ",21,,,,"Dave bought var_A boxes of chocolate candy and gave var_B to his little brother. If each box has var_C pieces inside it, how many pieces did Dave still have?",var_A - var_B,"def find_remaining_candy(var_A, var_B):
    return var_A * var_C - var_B","{'var_A': 12.0, 'var_B': 5.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
 A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? ,54,,,,A pet store had var_A siamese cats and var_B house cats. During a sale they sold var_C cats. How many cats do they have left?,var_A - var_B,"def calculate_left_cats(var_A, var_B, var_C):
    return var_A - var_B + var_C

var_A = 10
var_B = 20
var_C = 30

print(calculate_left_cats(var_A, var_B, var_C))","{'var_A': 41.0, 'var_B': 28.0, 'var_C': 15.0}",True,"must be real number, not NoneType"
" Sam was collecting cans for recycling. On Saturday he filled 3 bags up and on Sunday he filled 4 more bags. If each bag had 9 cans in it, how many cans did he pick up total? ",63,,,,"Sam was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?",var_A + var_B,"def calculate_total_cans(var_A, var_B):
    return var_A + var_B

var_A = 50
var_B = 70
total_cans = calculate_total_cans(var_A, var_B)
print(total_cans)","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 9.0}",True,"must be real number, not NoneType"
" Janet was playing a video game and had 38 lives. In a hard part of the game she lost 16 lives. If she got 32 more lives in the next level, how many lives would she have? ",54,54,54.0,54.0,"Janet was playing a video game and had var_A lives. In a hard part of the game she lost var_B lives. If she got var_C more lives in the next level, how many lives would she have?",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_C - var_B","{'var_A': 38.0, 'var_B': 16.0, 'var_C': 32.0}",False,
 Lana was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Lana have total? ,32,,,,Lana was unboxing some of her old winter clothes. She found var_A boxes of clothing and inside each box there were var_B scarves and var_C mittens. How many pieces of winter clothing did Lana have total?,var_A * var_B + var_B * var_C,"def total_clothing(var_A, var_B, var_C):
    return var_A * var_B + var_B * var_C

print(total_clothing(5, 10, 15))","{'var_A': 4.0, 'var_B': 2.0, 'var_C': 6.0}",True,"must be real number, not NoneType"
" A chef needs to cook 16 potatoes. He has already cooked 7. If each potato takes 5 minutes to cook, how long will it take him to cook the rest? ",45,,,,"A chef needs to cook var_A potatoes. He has already cooked var_B If each potato takes var_C minutes to cook, how long will it take him to cook the rest?",var_A - var_B * var_C,"def cook_potatoes(var_A, var_B, var_C):
    return var_A + (var_B // var_C) * var_C","{'var_A': 16.0, 'var_B': 7.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, how much money did he actually earn? ",32,,-5.0,32.0,"Edward earned var_A dollars for each lawn he mowed. If he had var_B lawns to mow, but forgot to mow var_C of them, how much money did he actually earn?",var_A - var_C,"def solution(var_A, var_B, var_C):
    return var_A * (var_B - var_C)","{'var_A': 4.0, 'var_B': 17.0, 'var_C': 9.0}",False,
" Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have? ",61,,,,"Oliver had var_A dollars in January. By March he had spent var_B dollars. If he got another var_C dollars from his mom, how much money would he have?",var_A - var_B + var_C,"def calculate_money(var_A, var_B, var_C):
    return var_A + var_B + var_C

var_A = 1000  # Oliver had var_A dollars in January
var_B = 500   # By March he had spent var_B dollars
var_C = 200   # He got another var_C dollars from his mom
result = calculate_money(var_A, var_B, var_C)
print(result)","{'var_A': 33.0, 'var_B': 4.0, 'var_C': 32.0}",True,"must be real number, not NoneType"
" A worksheet had 4 problems on it. If a teacher had 9 worksheets to grade and had already graded 5 of them, how many more problems does she have to grade? ",16,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?",var_A - var_B = 100,"def solve(var_A, var_B, var_C):
    return var_B - var_C

print(solve(10, 20, 15))","{'var_A': 4.0, 'var_B': 9.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total? ",12,,,,"A trivia team had var_A members total, but during a game var_B members didn't show up. If each member that did show up scored var_C points, how many points were scored total?",var_A - var_B,"def calculate_points(var_A, var_C):
    return var_A - var_C

var_A = 10
var_C = 5
print(calculate_points(var_A, var_C))","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14,,,,"Ned was trying to expand his game collection. He bought var_A games from a friend and bought var_B more at a garage sale. If var_C of the games didn't work, how many good games did he end up with?",var_A + var_B - var_C,"def count_good_games(var_A, var_B, var_C):
    return var_A + var_B - var_C","{'var_A': 11.0, 'var_B': 22.0, 'var_C': 19.0}",True,"must be real number, not NoneType"
" Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry 8 trays at a time. If he had to pick up 9 trays from one table and 7 trays from another, how many trips will he make? ",2,,,,"Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry var_A trays at a time. If he had to pick up var_B trays from one table and var_C trays from another, how many trips will he make?",var_A + var_B + var_C,"def solution():
    var_A = 10
    var_B = 20
    var_C = 30
    total_var = var_A + var_B + var_C
    return total_var // 3","{'var_A': 8.0, 'var_B': 9.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
 Kaleb was selling his old games. He started out with 76 but sold 46 of them. He packed the rest up putting 5 games into each box. How many boxes did he have to use? ,6,,,,Kaleb was selling his old games. He started out with var_A but sold var_B of them. He packed the rest up putting var_C games into each box. How many boxes did he have to use?,var_A - var_B + var_C,"def calculate_boxes(var_A, var_B):
    return var_A - var_B + var_B

var_A = 100
var_B = 30
print(calculate_boxes(var_A, var_B))","{'var_A': 76.0, 'var_B': 46.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 3 lives, how many lives did they have total? ",12,,,,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?",var_A * var_C + var_B * var_C,"def calculate_total_lives(var_A, var_B, var_C):
    return var_A * var_C

# Test the function
var_A = 10
var_B = 20
var_C = 30
print(calculate_total_lives(var_A, var_B, var_C))","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? ",7,,,,"Vanessa and her mom were picking carrots from their garden. Vanessa picked var_A and her mother picked var_B If only var_C of the carrots were good, how many bad carrots did they have?",var_A - var_B,"def count_bad_carrots(var_A, var_B, var_C):
    return var_A - var_B + var_C

print(count_bad_carrots(5, 3, 2))","{'var_A': 17.0, 'var_B': 14.0, 'var_C': 24.0}",True,"must be real number, not NoneType"
" A pet store has 6 bird cages. If each cage has 2 parrots and 7 parakeets in it, how many birds does the pet store have total? ",54,,,,"A pet store has var_A bird cages. If each cage has var_B parrots and var_C parakeets in it, how many birds does the pet store have total?",var_A * var_B + var_B * var_C,"def total_birds(var_A, var_B, var_C):
    return var_A * var_B + var_B * var_C","{'var_A': 6.0, 'var_B': 2.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" Frank was collecting cans for recycling. On Saturday he filled 5 bags up and on Sunday he filled 3 more bags. If each bag had 5 cans in it, how many cans did he pick up total? ",40,,,,"Frank was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?",var_A + var_B,"def calculate_total_cans(var_A, var_B):
    return var_A + var_B

var_A = 10
var_B = 15
total_cans = calculate_total_cans(var_A, var_B)
print(total_cans)","{'var_A': 5.0, 'var_B': 3.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" A waiter had 7 tables he was waiting on, with 7 women and 2 men at each table. How many customers total did the waiter have? ",63,,,,"A waiter had var_A tables he was waiting on, with var_B women and var_C men at each table. How many customers total did the waiter have?",var_A + var_B + var_C,"def total_customers():
    return var_A + var_B + var_C","{'var_A': 7.0, 'var_B': 7.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" Haley was playing a video game and had 14 lives. In a hard part of the game she lost 4 lives. If she got 36 more lives in the next level, how many lives would she have? ",46,,,,"Haley was playing a video game and had var_A lives. In a hard part of the game she lost var_B lives. If she got var_C more lives in the next level, how many lives would she have?",var_A - var_B + var_C,"def calculate_lives(var_A, var_B, var_C):
    return var_A + var_C - var_B

var_A = 10
var_B = 5
var_C = 15
print(calculate_lives(var_A, var_B, var_C))","{'var_A': 14.0, 'var_B': 4.0, 'var_C': 36.0}",True,"must be real number, not NoneType"
" Edward made 37 dollars mowing lawns over the summer. If he spent 21 dollars buying new mower blades, how many 2 dollar games could he buy with the money he had left? ",8,,,,"Edward made var_A dollars mowing lawns over the summer. If he spent var_B dollars buying new mower blades, how many var_C dollar games could he buy with the money he had left?",var_C = var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 37.0, 'var_B': 21.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" Jerry had 60 pieces of clothing to wash. He put 40 of them in one load, but decided to split the rest into 5 equal loads. How many pieces of clothing could go in each of the small loads? ",4,,,,"Jerry had var_A pieces of clothing to wash. He put var_B of them in one load, but decided to split the rest into var_C equal loads. How many pieces of clothing could go in each of the small loads?",var_A / (var_B / var_C),"def calculate_loads(var_A, var_B):
    return var_B // var_A

var_A = 10
var_B = 15
print(calculate_loads(var_A, var_B))","{'var_A': 60.0, 'var_B': 40.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" There were 8 friends playing a video game online when 3 players quit. If each player left had 3 lives, how many lives did they have total? ",15,,,,"There were var_A friends playing a video game online when var_B players quit. If each player left had var_C lives, how many lives did they have total?",var_A - var_B,"def calculate_total_lives(var_A, var_B):
    return var_A * var_C","{'var_A': 8.0, 'var_B': 3.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
 A pet store had 102 puppies. In one day they sold 21 of them and put the rest into cages with 9 in each cage. How many cages did they use? ,9,,,,A pet store had var_A puppies. In one day they sold var_B of them and put the rest into cages with var_C in each cage. How many cages did they use?,var_A - var_B,"def solution():
    var_A = 10
    var_B = 15
    var_C = var_A - var_B
    return var_C","{'var_A': 102.0, 'var_B': 21.0, 'var_C': 9.0}",True,"must be real number, not NoneType"
" At the arcade Jerry won 4 tickets. If he spent 2 tickets on a beanie and later won 47 more tickets, how many would he have? ",49,,-41.0,53.0,"At the arcade Jerry won var_A tickets. If he spent var_B tickets on a beanie and later won var_C more tickets, how many would he have?",var_A + var_B - var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 4.0, 'var_B': 2.0, 'var_C': 47.0}",False,
" Luke had 48 dollars in January. By March he had spent 11 dollars. If he got another 21 dollars from his mom, how much money would he have? ",58,,,,"Luke had var_A dollars in January. By March he had spent var_B dollars. If he got another var_C dollars from his mom, how much money would he have?",var_A - var_B + var_C,"def calculate_money(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 48.0, 'var_B': 11.0, 'var_C': 21.0}",True,"must be real number, not NoneType"
" Kaleb started his own lawn mowing business. In the spring he made 4 dollars mowing lawns and in the summer he made 50 dollars. If he had to spend 4 dollars buying supplies, how much money did he end up with? ",50,,,,"Kaleb started his own lawn mowing business. In the spring he made var_A dollars mowing lawns and in the summer he made var_B dollars. If he had to spend var_C dollars buying supplies, how much money did he end up with?",var_A + var_B - var_C,"def calculate_total_earnings():
    var_A = 1000  # var_A dollars
    var_B = 8000  # var_B dollars
    var_C = 2000   # var_C dollars
    total_earnings = var_A + var_B - var_C
    return total_earnings

total_earnings = calculate_total_earnings()
print(total_earnings)","{'var_A': 4.0, 'var_B': 50.0, 'var_C': 4.0}",True,"must be real number, not NoneType"
" Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2,,,,"Amy had var_A music files and var_B video files on her flash drive. If she deleted var_C of the files, how many files were still on her flash drive?",var_A - var_B,"def count_files(var_A, var_B, var_C):
    return var_A + var_B - var_C

var_A = 10
var_B = 20
var_C = 5

print(count_files(var_A, var_B, var_C))","{'var_A': 4.0, 'var_B': 21.0, 'var_C': 23.0}",True,"must be real number, not NoneType"
" At the town carnival Oliver rode the ferris wheel 5 times and the bumper cars 4 times. If each ride cost 7 tickets, how many tickets did he use? ",63,,,,"At the town carnival Oliver rode the ferris wheel var_A times and the bumper cars var_B times. If each ride cost var_C tickets, how many tickets did he use?",var_A * var_B * var_C,"def calculate_tickets(var_A, var_B, var_C):
    return var_A * var_B * var_C","{'var_A': 5.0, 'var_B': 4.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" Each chocolate bar in a box cost $3. If a box had 7 bars total and Olivia sold all but 4 bars, how much money would she have made? ",9,,,,"Each chocolate bar in a box cost $ var_A If a box had var_B bars total and Olivia sold all but var_C bars, how much money would she have made?",var_A * (var_B - var_C),"def solution(var_A, var_B):
    return var_A * (var_B - var_C)","{'var_A': 3.0, 'var_B': 7.0, 'var_C': 4.0}",True,"must be real number, not NoneType"
 Wendy had 82 files on her computer. She deleted 37 of them and put the rest into folders with 5 files in each one. How many folders did Wendy end up with? ,9,,,,Wendy had var_A files on her computer. She deleted var_B of them and put the rest into folders with var_C files in each one. How many folders did Wendy end up with?,var_A - var_B + (var_C - var_A),"def count_folders(var_A, var_B, var_C):
    return len(var_A) + len(var_B) // len(var_C)

var_A = [f for f in os.listdir(var_A) if os.path.isfile(f)]
var_B = [f for f in os.listdir(var_B) if os.path.isfile(f)]
var_C = [f for f in os.listdir(var_C) if os.path.isfile(f)]

folders = set(var_A) | set(var_B) | set(var_C)
print(len(folders))","{'var_A': 82.0, 'var_B': 37.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Wendy uploaded 22 pictures from her phone and 2 from her camera to facebook. If she sorted the pics into 4 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",6,,,,"Wendy uploaded var_A pictures from her phone and var_B from her camera to facebook. If she sorted the pics into var_C different albums with the same amount of pics in each album, how many pictures were in each of the albums?","var_A = len(set(var_A)) * 2
var_B = len(set(var_B)) * 2
var_C = [len(set(var_C)) * 2 for _ in range(len(var_A))]","def count_albums(var_A, var_B, var_C):
    return len(var_A) // len(var_B), len(var_B) // len(var_C)

var_A = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54","{'var_A': 22.0, 'var_B': 2.0, 'var_C': 4.0}",True,"must be real number, not NoneType"
