Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" A worksheet had 2 problems on it. If a teacher had 14 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",14,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","Here are the rough steps to solve the problem:

1. First, find the total number of problems on the 14 worksheets. 
   Total problems = 2 problems * 14 worksheets = 28 problems

2. Then, subtract the number of problems already graded (7 problems) from the total number of problems.
   Remaining problems = Total problems - Problems graded = 28 - 7 = 21 problems

3. The teacher has 21 problems to grade.",2*14 - 7 = 21,"def solution(var_A, var_B, var_C):
    total_problems = 2 * 14
    problems_graded = 7
    remaining_problems = total_problems - problems_graded
    return remaining_problems","{'var_A': 2.0, 'var_B': 14.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? ",15,,,,"A waiter at 'The Greasy Spoon' restaurant had var_A customers to wait on. During the lunch rush he added another var_B customers. If var_C of the customers didn't leave him a tip, how many customers did leave a tip?","Here are the rough steps to solve the problem:

1. Start with the initial number of customers: 29
2. Add the number of customers added during the lunch rush: 29 + 20 = 49
3. Subtract the number of customers who didn't leave a tip: 49 - 34 = 15
4. The number of customers who left a tip is the result of step 3: 15",29 + 20 - 34 = 15,"def solution(var_A, var_B, var_C):
    return var_A + var_B - var_C","{'var_A': 29.0, 'var_B': 20.0, 'var_C': 34.0}",True,"must be real number, not NoneType"
" Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",9,,,,"Luke made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?","Here are the rough steps to solve the problem:

1. Let's say Luke has x dollars.
2. He earns 9 dollars mowing lawns and 18 dollars weed eating, so his total earnings are 9 + 18 = 27 dollars per week.
3. He spends 3 dollars per week on lawn mowing and weed eating, so his total weekly expenditure is 3 + 3 = 6 dollars.
4. To find out how long the money lasts, we need to divide the total earnings by the total expenditure. 
5. So, we can calculate the number of weeks the money lasts by dividing 27 by 6.

Let's do the calculation:

27 ÷ 6 = 4.5",var_C var_A var_B,"def solution(var_A, var_B, var_C):
    return var_A / (var_A + var_B - var_C)","{'var_A': 9.0, 'var_B': 18.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",8,,,,"John made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?","Here are the rough steps to solve the problem:

1. Let's say John has x dollars.
2. He earns 6 dollars mowing lawns and 18 dollars weed eating.
3. He spends 3 dollars a week on lawn mowing and weed eating.
4. To find out how long the money lasts, we need to divide the total amount of money he earns by the amount he spends each week.
5. The total amount of money John earns is 6 + 18 = 24 dollars.
6. Divide the total amount of money by the amount he spends each week: 24 ÷ 3 = 8 weeks.
7. Therefore, John's money would last him 8 weeks.",var_A + var_B - 3 * x = var_C,"def solution(var_A, var_B, var_C):
    total_earnings = var_A + var_B
    total_spent = var_C
    weeks_lasted = total_earnings / total_spent
    return weeks_lasted","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with? ",31,,31,31.0,"The school cafeteria ordered var_A red apples and var_B green apples for students lunches. But, if only var_C students wanted fruit, how many extra did the cafeteria end up with?","Here are the rough steps to solve the problem:

1. Let's start by identifying the total number of apples ordered: 37 red apples + 45 green apples = 82 apples.
2. We know that 51 students wanted fruit, but we don't know how many apples they wanted. Let's call the number of apples they wanted 'x'.
3. Since the cafeteria ordered 37 red apples and 45 green apples, the total number of apples they ordered is 82. We can set up the equation: 37 + 45 = 82.
4. We can simplify the equation by adding the two numbers: 82 = 82.
5. Since the equation is true, we can conclude that the cafeteria ordered 82 apples.
6. Now, we need to find out how many extra apples the cafeteria has. We know that the cafeteria ordered 82 apples and 51 students wanted fruit. To find the number of extra apples, we need to subtract the number",82 - 51,"def solution(var_A, var_B, var_C):
    total_apples = var_A + var_B
    extra_apples = total_apples - var_C
    return extra_apples","{'var_A': 37.0, 'var_B': 45.0, 'var_C': 51.0}",True,'Code_Result'
" Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total? ",31,,31,31.0,"Nancy picked var_A carrots from her garden. If she threw out var_B of them and then picked var_C more the next day, how many carrots would she have total?","Here are the rough steps to solve the problem:

1. Start with the initial number of carrots Nancy picked: 12
2. Subtract the number of carrots she threw out: 12 - 2 = 10
3. Add the number of carrots she picked the next day: 10 + 21 = 31
4. The total number of carrots Nancy has now is 31",12 - 2 + 21,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 12.0, 'var_B': 2.0, 'var_C': 21.0}",True,'Code_Result'
" Luke was putting his spare change into piles. He had 5 piles of quarters and 5 piles of dimes. If each pile had 3 coins in it, how many coins did he have total? ",30,,,,"Luke was putting his spare change into piles. He had var_A piles of quarters and var_B piles of dimes. If each pile had var_C coins in it, how many coins did he have total?","Here are the rough steps to solve the problem:

1. Let's start by finding the total number of quarters and dimes Luke has. 
2. Since each pile has 3 coins, we can find the total number of coins by multiplying the number of piles by 3.
3. Luke has 5 piles of quarters, so we multiply 5 by 3 to find the total number of quarters: 5 x 3 = 15.
4. Now, we need to find the total number of dimes. Since each pile has 5 dimes, we multiply 5 by 5 to find the total number of dimes: 5 x 5 = 25.
5. Finally, we add the total number of quarters and dimes to find the total number of coins: 15 + 25 = 40.

Note: This solution assumes that the value of the coins is not mentioned in the problem.","```python
var_A = 5 * 3
var_B = 5 * 5
print(var_A + var_B)
```","def solution(var_A, var_B):
    return 3 * var_A + 5 * var_B","{'var_A': 5.0, 'var_B': 5.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" Megan's class is going on a field trip to the zoo. If each van can hold 5 people and there are 25 students and 5 adults going, how many vans will they need? ",6,,,,"Megan's class is going on a field trip to the zoo. If each van can hold var_A people and there are var_B students and var_C adults going, how many vans will they need?","Here are the rough steps to solve the problem:

1. First, we need to find the total number of people going on the trip. We know there are 25 students and 5 adults.
2. To find the total number of people, we add the number of students and the number of adults. total_people = 25 + 5
3. We know that each van can hold 5 people. To find the number of vans needed, we need to divide the total number of people by the number of people each van can hold. vans_needed = total_people / 5
4. We can simplify the division by multiplying both sides by 2, since we can have 2 vans for every 1 van. vans_needed = (25 + 5) * 2
5. Now, we can calculate the total number of vans needed. vans_needed = 30 * 2
6. Finally, we can find the number of vans needed by multiplying 30","var_A = 25
var_B = 5
var_C = 0
vans_needed = (var_A + var_B) * 2
print(vans_needed)","def solution(var_A, var_B, var_C):
    total_people = var_A + var_B
    vans_needed = total_people // 5 * 2
    return vans_needed","{'var_A': 5.0, 'var_B': 25.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" A worksheet had 3 problems on it. If a teacher had 15 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",24,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","Here are the rough steps to solve the problem:

1. First, find the total number of problems on all the worksheets. 
   Total problems = 3 worksheets * 7 problems per worksheet = 21 problems

2. Then, subtract the number of problems already graded from the total number of problems.
   Remaining problems = Total problems - Problems already graded
   Remaining problems = 21 problems - 7 problems
   Remaining problems = 14 problems

3. The teacher has 15 worksheets to grade.",3 * 7 - 7 = 14,"def solution(var_A, var_B, var_C):
    total_problems = 3 * 7
    problems_already_graded = 7
    remaining_problems = total_problems - problems_already_graded
    return remaining_problems - var_C","{'var_A': 3.0, 'var_B': 15.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" The cafeteria had 50 apples. For lunch they handed out 5 to students and decided to use the rest to make pies. If each pie takes 5 apples, how many pies could they make? ",9,,,,"The cafeteria had var_A apples. For lunch they handed out var_B to students and decided to use the rest to make pies. If each pie takes var_C apples, how many pies could they make?","Here are the rough steps to solve the problem:

1. Start with the total number of apples: 50
2. Subtract the number of apples handed out to students: 50 - 5 = 45
3. Divide the remaining apples by the number of apples needed per pie: 45 ÷ 5 = 9

So, the cafeteria could make 9 pies.","50 - 5 = 45
45 ÷ 5 = 9","def solution(var_A, var_B, var_C):
    return var_B // var_C","{'var_A': 50.0, 'var_B': 5.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39,,-33,4.0,"Tom had var_A books. If he sold var_B of them and used the money he earned to buy var_C new books, how many books would Tom have?","Here are the rough steps to solve the problem:

1. Tom starts with 5 books.
2. Tom sells 4 books, so he has 5 - 4 = 1 book left.
3. Tom uses the money he earned to buy 38 new books, so he spends 1 + 38 = 39 books.
4. Tom has 1 book left, and he spent 39 books, so he has 1 - 39 = -38 books.
5. Since Tom can't have a negative number of books, we need to re-evaluate the problem.",5 - 38,"def solution(var_A, var_B, var_C):
    var_A -= var_B
    var_B -= var_A
    var_B += var_C
    return var_A + var_B - var_C","{'var_A': 5.0, 'var_B': 4.0, 'var_C': 38.0}",True,'Code_Result'
" Rachel was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 6 shelves of mystery books and 2 shelves of picture books, how many books did she have total? ",72,,93.0,153.0,"Rachel was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?","Here are the rough steps to solve the problem:

1. Calculate the total number of mystery books by multiplying the number of shelves by the number of books on each shelf.
2. Calculate the total number of picture books by multiplying the number of shelves by the number of books on each shelf.
3. Add the total number of mystery books and picture books together to find the total number of books.

Answer: 6 x 9 + 2 x 9 = 54 + 18 = 72",var_A * var_A + var_B * var_C,"def solution(var_A, var_B, var_C):
    return (var_A * 9) + (var_B * 9) + (var_C * 9)","{'var_A': 9.0, 'var_B': 6.0, 'var_C': 2.0}",True,'Code_Result'
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 6 lives, how many lives did they have total? ",24,,24,30.0,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?","Here are the rough steps to solve the problem:

1. Let's assume the two friends were playing the game for a certain amount of time.
2. When 2 more players joined the game, the total number of players became 4.
3. Since each player had 6 lives, the total number of lives for the 4 players can be calculated by multiplying the number of players by the number of lives each player had.
4. So, the total number of lives for the 4 players is 4 x 6 = 24.
5.",4 * 6,"def solution(var_A, var_B, var_C):
    return var_A * 6 + var_B * 6 + var_C","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 6.0}",True,'Code_Result'
" Bianca had 45 coloring books. If she gave away 6 of them, but then bought 20 more, how many would she have total? ",59,,59,59.0,"Bianca had var_A coloring books. If she gave away var_B of them, but then bought var_C more, how many would she have total?","Here are the rough steps to solve the problem:

1. Start with the initial number of books Bianca had: 45
2. Subtract the number of books she gave away: 45 - 6 = 39
3. Add the number of books she bought: 39 + 20 = 59
4. The total number of books Bianca has now is 59",45 - 6 + 20,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 45.0, 'var_B': 6.0, 'var_C': 20.0}",True,'Code_Result'
" Haley baked 20 cupcakes for her school's bake sale. If her brother, Todd, ate 11 of them how many packages could she make if she put 3 cupcake in each package? ",3,,12.0,3.0,"Haley baked var_A cupcakes for her school's bake sale. If her brother, Todd, ate var_B of them how many packages could she make if she put var_C cupcake in each package?","Here are the rough steps to solve the problem:

1. Let's start by finding out how many cupcakes Haley has left after Todd ate 11.
2. To find the number of cupcakes left, we need to subtract the number of cupcakes eaten from the total number of cupcakes baked.
3. So, the number of cupcakes left is 20 - 11 = 9.
4. Now, we need to find out how many packages of cupcakes Haley can make with 9 cupcakes in each package.
5. To do this, we need to divide the number of cupcakes left by the number of cupcakes in each package.
6. So, the number of packages Haley can make is 9 ÷ 3 = 3.

The answer is 3.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    cupcakes_left = var_A - var_B
    packages = cupcakes_left // var_C
    return packages","{'var_A': 20.0, 'var_B': 11.0, 'var_C': 3.0}",True,'Code_Result'
" Dave bought 12 boxes of chocolate candy and gave 5 to his little brother. If each box has 3 pieces inside it, how many pieces did Dave still have? ",21,,,,"Dave bought var_A boxes of chocolate candy and gave var_B to his little brother. If each box has var_C pieces inside it, how many pieces did Dave still have?","Here are the rough steps to solve the problem:

1. Start with the total number of boxes Dave bought: 12
2. Subtract the number of boxes given to his little brother: 12 - 5 = 7
3. Since each box has 3 pieces inside, multiply the number of boxes by the number of pieces per box: 7 x 3 = 21
4. The answer is 21.","12 - 5 = 7
7 * 3 = 21","def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C * 3","{'var_A': 12.0, 'var_B': 5.0, 'var_C': 3.0}",True,"must be real number, not NoneType"
" Gwen was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 3 shelves of mystery books and 5 shelves of picture books, how many books did she have total? ",72,72,72,72,"Gwen was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?","Here are the rough steps to solve the problem:

1. Gwen has 3 shelves of mystery books.
2. She has 5 shelves of picture books.
3. To find the total number of books, we need to add the number of mystery books and picture books.
4. We can use the formula for the sum of an arithmetic series to find the total number of books: 
   (3 x 9) + (5 x 9) =?
5. We can simplify the equation by multiplying the number of shelves by the number of books on each shelf.
6. The total number of books is 3 x 9 + 5 x 9 =?
7. We can simplify the equation further by multiplying the number of shelves by the number of books on each shelf.
8. The total number of books is 3 x 9 + 5 x 9 = 27 + 45 = 72.",3 * 9 + 5 * 9,"def solution(var_A, var_B, var_C):
    return 3 * 9 + 5 * 9","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 5.0}",False,
 A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? ,54,,,,A pet store had var_A siamese cats and var_B house cats. During a sale they sold var_C cats. How many cats do they have left?,"Here are the rough steps to solve the problem:

1. Start with the total number of cats the pet store initially had: 41 (siamese cats) + 28 (house cats) = 69
2. Subtract the number of cats sold during the sale: 69 - 15 = 54
3. The pet store now has 54 cats left.",69 - 15 = 54,"def solution(var_A, var_B, var_C):
    total_cats = var_A + var_B
    cats_sold = var_A + var_B - var_C
    cats_left = total_cats - cats_sold
    return cats_left","{'var_A': 41.0, 'var_B': 28.0, 'var_C': 15.0}",True,"must be real number, not NoneType"
" Janet was playing a video game and had 38 lives. In a hard part of the game she lost 16 lives. If she got 32 more lives in the next level, how many lives would she have? ",54,,,,"Janet was playing a video game and had var_A lives. In a hard part of the game she lost var_B lives. If she got var_C more lives in the next level, how many lives would she have?","Here are the rough steps to solve the problem:

1. Start with Janet's initial number of lives: 38
2. Subtract the lives she lost: 38 - 16 = 22
3. Add the lives she got in the next level: 22 + 32 = 54
4. Janet now has 54 lives.",38 - 16 + 32 = 54,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 38.0, 'var_B': 16.0, 'var_C': 32.0}",True,"must be real number, not NoneType"
" Sam was collecting cans for recycling. On Saturday he filled 3 bags up and on Sunday he filled 4 more bags. If each bag had 9 cans in it, how many cans did he pick up total? ",63,,,,"Sam was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?","Here are the rough steps to solve the problem:

1. Sam filled 3 bags on Saturday.
2. Sam filled 4 more bags on Sunday.
3. To find the total number of cans, we need to add the number of cans in each bag.
4. Since each bag has 9 cans, we can multiply the number of bags by the number of cans in each bag.
5. So, the total number of cans = 3 x 9 + 4 x 9.",3 x 9 + 4 x 9,"def solution(var_A, var_B, var_C):
    return (3 * 9) + (4 * 9)","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 9.0}",True,"must be real number, not NoneType"
" A chef needs to cook 16 potatoes. He has already cooked 7. If each potato takes 5 minutes to cook, how long will it take him to cook the rest? ",45,,,,"A chef needs to cook var_A potatoes. He has already cooked var_B If each potato takes var_C minutes to cook, how long will it take him to cook the rest?","Here are the rough steps to solve the problem:

1. Calculate the number of potatoes left to cook: 16 (total potatoes) - 7 (already cooked) = 9 potatoes
2. Since each potato takes 5 minutes to cook, multiply the number of potatoes left by the cooking time per potato: 9 potatoes * 5 minutes/potato = 45 minutes
3. The chef has 45 minutes to cook the remaining potatoes.",9 * 5 = 45,"def solution(var_A, var_B, var_C):
    potatoes_left = var_A - var_B
    cooking_time = potatoes_left * var_C
    return cooking_time","{'var_A': 16.0, 'var_B': 7.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
 Lana was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Lana have total? ,32,,,,Lana was unboxing some of her old winter clothes. She found var_A boxes of clothing and inside each box there were var_B scarves and var_C mittens. How many pieces of winter clothing did Lana have total?,"Here are the rough steps to solve the problem:

1. First, we need to find the total number of scarves and mittens.
2. We know that there are 4 boxes of clothing, and inside each box, there are 2 scarves and 6 mittens.
3. To find the total number of scarves, we need to multiply the number of scarves in each box by the total number of boxes.
4. To find the total number of mittens, we need to multiply the number of mittens in each box by the total number of boxes.
5. We can then add the total number of scarves and mittens to find the total number of winter clothing.

Let's do the math:

- Total number of scarves = 2 x 4 = 8
- Total number of mittens = 6 x 4 = 24
- Total number of winter clothing = 8 + 24 = 32","var_A = 4
var_B = 2
var_C = 6
print(var_A * var_B + var_C)","def solution(var_A, var_B, var_C):
    return 2 * var_A + 6 * var_B + 4 * var_C","{'var_A': 4.0, 'var_B': 2.0, 'var_C': 6.0}",True,"must be real number, not NoneType"
" Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have? ",61,61,61.0,61.0,"Oliver had var_A dollars in January. By March he had spent var_B dollars. If he got another var_C dollars from his mom, how much money would he have?","Here are the rough steps to solve the problem:

1. Start with the initial amount of money Oliver had in January: $33
2. Subtract the amount spent by March from the initial amount: $33 - $4 = $29
3. Add the amount Oliver got from his mom to the remaining amount: $29 + $32 = $61",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 33.0, 'var_B': 4.0, 'var_C': 32.0}",False,
" Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, how much money did he actually earn? ",32,,-4.0,-20.0,"Edward earned var_A dollars for each lawn he mowed. If he had var_B lawns to mow, but forgot to mow var_C of them, how much money did he actually earn?","Here are the rough steps to solve the problem:

1. Calculate the total number of lawns Edward mowed: 17 (lawns) - 9 (unmowed) = 8 lawns
2. Calculate the total amount of money Edward earned: 8 lawns * $4/lawn = $32
3. Subtract the number of lawns that were unmowed from the total number of lawns to find the number of lawns that were mowed: 17 - 9 = 8
4. Multiply the number of lawns that were mowed by the amount of money earned per lawn: 8 lawns * $4/lawn = $32",var_A * (8 - var_C),"def solution(var_A, var_B, var_C):
    total_lawns = var_A - var_C
    total_earned = total_lawns * 4
    mowed_lawns = var_A - var_C
    return mowed_lawns * 4","{'var_A': 4.0, 'var_B': 17.0, 'var_C': 9.0}",True,'Code_Result'
