Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
An industrial machine can make 3 shirts per minute. It made 6 shirts in all. How many minutes was the machine working?,Common-Division,2.0,,2.0,2.0,An industrial machine can make var_A shirts per minute. It made var_B shirts in all. How many minutes was the machine working?,"1. Determine the total number of shirts made by the machine.
2. Divide the total number of shirts by the rate at which the machine makes shirts per minute to find out how many minutes the machine was working.",var_B // var_A,"def solution(var_A, var_B):
    total_shirts = var_B
    minutes_working = total_shirts / var_A
    return minutes_working","{'var_A': 3.0, 'var_B': 6.0}",True,'Code_Result'
Paul had 95 pens and 153 books. After selling some books and pens in a garage sale he had 13 books and 23 pens left. How many books did he sell in the garage sale?,Subtraction,140.0,140.0,140.0,140.0,Paul had var_A pens and var_B books. After selling some books and pens in a garage sale he had var_C books and var_D pens left. How many books did he sell in the garage sale?,"1. Subtract the number of books Paul has left from the total number of books he originally had to find out how many books he sold.
2. Perform the subtraction: 153 (original books) - 13 (books left) to get the number of books sold.",var_B - var_C,"def solution(var_A, var_B, var_C, var_D):
    return var_B - var_C","{'var_A': 95.0, 'var_B': 153.0, 'var_C': 13.0, 'var_D': 23.0}",False,
Adam has 10 apples. Jackie has 2 apples. How many more apples does Adam have than Jackie?,Subtraction,8.0,8.0,8.0,8.0,Adam has var_A apples. Jackie has var_B apples. How many more apples does Adam have than Jackie?,"1. Identify the number of apples Adam has.
2. Identify the number of apples Jackie has.
3. Subtract the number of apples Jackie has from the number of apples Adam has to find out how many more apples Adam has than Jackie.",var_A - var_B,"def solution(var_A, var_B):
    apples_adam = var_A
    apples_jackie = var_B
    return apples_adam - apples_jackie","{'var_A': 10.0, 'var_B': 2.0}",False,
Baker made some cakes. He sold 145 of them. If he still has 72 cakes left How many cakes did baker make?,Addition,217.0,217.0,217.0,217.0,Baker made some cakes. He sold var_A of them. If he still has var_B cakes left How many cakes did baker make?,"1. Add the number of cakes sold to the number of cakes left to find the total number of cakes made.
2. The equation to use is: Total cakes made = Cakes sold + Cakes left.",var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 145.0, 'var_B': 72.0}",False,
Jake has 6 fewer peaches than Steven. Steven has 18 more peaches than Jill. If jill has 5 peaches How many peaches does Jake have?,Subtraction,17.0,,11.0,17.0,Jake has var_A fewer peaches than Steven. Steven has var_B more peaches than Jill. If jill has var_C peaches How many peaches does Jake have?,"1. Determine the number of peaches Jill has, which is given as 5.
2. Add 18 to Jill's peaches to find out how many peaches Steven has.
3. Subtract 6 from Steven's peaches to find out how many peaches Jake has.",var_C - var_A + var_B - 6,"def solution(var_A, var_B, var_C):
    jill_peaches = var_C
    steven_peaches = jill_peaches + var_B
    jake_peaches = steven_peaches - var_A
    return jake_peaches","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 5.0}",True,'Code_Result'
If they are already at 659 feet and the cave is 762 feet deep How much farther until they reach the end of the cave?,Subtraction,103.0,103.0,103.0,103.0,If they are already at var_A feet and the cave is var_B feet deep How much farther until they reach the end of the cave?,"1. Subtract the current depth (659 feet) from the total depth of the cave (762 feet) to find out how much farther they need to go.
2. The result will give the distance remaining until they reach the end of the cave.",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 659.0, 'var_B': 762.0}",False,
He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,Multiplication,365.0,365.0,365.0,365.0,He then went to see the oranges being harvested. He found out that they harvest var_A sacks of unripe oranges and var_B sacks of ripe oranges per day. How many sacks of ripe oranges will they have after var_C days of harvest?,"1. Calculate the total number of sacks of ripe oranges harvested per day.
2. Multiply the daily harvest of ripe oranges by the number of days (73) to find the total sacks of ripe oranges harvested after that period.",var_B * var_C,"def solution(var_A, var_B, var_C):
    daily_ripe_harvest = var_B
    total_ripe_harvest = daily_ripe_harvest * var_C
    return total_ripe_harvest","{'var_A': 25.0, 'var_B': 5.0, 'var_C': 73.0}",False,
Rebecca wants to split a collection of eggs into groups of 3. Rebecca has 99 bananas 9 eggs and 27 marbles. How many groups will be created?,Common-Division,3.0,3.0,3.0,3.0,Rebecca wants to split a collection of eggs into groups of var_A Rebecca has var_B bananas var_C eggs and var_D marbles. How many groups will be created?,"1. Identify the total number of eggs Rebecca has.
2. Divide the total number of eggs by the number of eggs in each group (which is 3) to find out how many groups can be created.",var_C // var_A,"def solution(var_A, var_B, var_C, var_D):
    total_eggs = var_C
    return total_eggs // var_A","{'var_A': 3.0, 'var_B': 99.0, 'var_C': 9.0, 'var_D': 27.0}",False,
David did 40 more push-ups but 17 less crunches than Zachary in gym class today. If Zachary did 34 push-ups and 62 crunches How many crunches did David do?,Subtraction,45.0,45.0,45.0,45.0,David did var_A more push - ups but var_B less crunches than Zachary in gym class today. If Zachary did var_C push - ups and var_D crunches How many crunches did David do?,"1. Determine the number of push-ups David did by adding 40 to the number of push-ups Zachary did.
2. Determine the number of crunches David did by subtracting 17 from the number of crunches Zachary did.",var_D - var_B,"def solution(var_A, var_B, var_C, var_D):
    push_ups_david = var_C + var_A
    crunches_david = var_D - var_B
    return crunches_david","{'var_A': 40.0, 'var_B': 17.0, 'var_C': 34.0, 'var_D': 62.0}",False,
Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book. How many chapters did he read per day?,Common-Division,332.0,,0.0030120481927710845,0.0030120481927710845,Frank was reading through his favorite book. The book had var_A chapters each with var_B pages. It took frank var_C days to finish the book. How many chapters did he read per day?,"1. Calculate the total number of pages in the book by multiplying the number of chapters by the number of pages per chapter.
2. Divide the total number of pages by the number of days it took Frank to finish the book to find out how many pages he read per day.
3. Since there are 2 chapters, divide the number of pages read per day by the number of pages in one chapter to find out how many chapters he read per day.",var_A / var_C,"def solution(var_A, var_B, var_C):
    total_pages = var_A * var_B
    pages_per_day = total_pages / var_C
    chapters_per_day = pages_per_day / var_B
    return chapters_per_day","{'var_A': 2.0, 'var_B': 405.0, 'var_C': 664.0}",True,'Code_Result'
Debby bought 88 water bottles and 13 soda bottles when they were on sale. If she drank 4 water bottles and 87 soda bottles a day How many days would the water bottles last?,Common-Division,22.0,21.0,21.0,21.0,Debby bought var_A water bottles and var_B soda bottles when they were on sale. If she drank var_C water bottles and var_D soda bottles a day How many days would the water bottles last?,"1. Determine how many water bottles Debby has after drinking 4 water bottles.
2. Calculate how many days the remaining water bottles will last by dividing the remaining water bottles by the number of water bottles she drinks per day.",(var_A - 4) // var_C,"def solution(var_A, var_B, var_C, var_D):
    remaining_water_bottles = var_A - 4
    return remaining_water_bottles // var_C","{'var_A': 88.0, 'var_B': 13.0, 'var_C': 4.0, 'var_D': 87.0}",False,
Some children were riding on the bus. At the bus stop 2 more children got on the bus. Then there were 41 children altogether on the bus. How many children were riding on the bus before the bus stop?,Subtraction,39.0,39.0,39.0,39.0,Some children were riding on the bus. At the bus stop var_A more children got on the bus. Then there were var_B children altogether on the bus. How many children were riding on the bus before the bus stop?,"1. Subtract the number of children who got on the bus from the total number of children on the bus after the stop to find out how many were on the bus before the stop.
2. The equation to use is: Total children after stop - Children who got on = Children before stop.",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 2.0, 'var_B': 41.0}",False,
Baker made 110 cakes. He sold 75 of them. Then he made 76 more cakes. How many cakes would baker still have?,Addition,111.0,111.0,111.0,111.0,Baker made var_A cakes. He sold var_B of them. Then he made var_C more cakes. How many cakes would baker still have?,"1. Subtract the number of cakes sold from the initial number of cakes made to find out how many cakes are left after the sale.
2. Add the number of additional cakes made to the remaining cakes to find the total number of cakes Baker has now.",(var_A - var_B) + var_C,"def solution(var_A, var_B, var_C):
    remaining_cakes = var_A - var_B
    total_cakes = remaining_cakes + var_C
    return total_cakes","{'var_A': 110.0, 'var_B': 75.0, 'var_C': 76.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,Subtraction,31.0,31.0,31.0,31.0,Winter is almost here and most animals are migrating to warmer countries. There were var_A bird families living near the mountain. If var_B bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,"1. Subtract the number of bird families that flew away from the total number of bird families to find out how many stayed behind.
2. Subtract the number of bird families that stayed behind from the number of bird families that flew away to determine how many more flew away than stayed.",var_B - (var_A - var_B),"def solution(var_A, var_B):
    stayed_behind = var_A - var_B
    return var_B - stayed_behind","{'var_A': 89.0, 'var_B': 60.0}",False,
Dan has $ 4. He had $ 3 left with him after he bought a candy bar. How much did the candy bar cost?,Subtraction,1.0,1.0,1.0,1.0,Dan has $ var_A He had $ var_B left with him after he bought a candy bar. How much did the candy bar cost?,"1. Subtract the amount Dan has left after buying the candy bar from the total amount he initially had to find the cost of the candy bar.
2. The cost of the candy bar is the difference between the initial amount and the remaining amount.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 4.0, 'var_B': 3.0}",False,
At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?,Subtraction,2.0,2.0,2.0,2.0,At the arcade Dave had won var_A tickets. If he used var_B to buy some toys and var_C more to buy some clothes How many tickets did Dave have left?,"1. Start with the total number of tickets Dave had, which is 18.
2. Subtract the number of tickets used to buy toys (5) from the total.
3. Subtract the number of tickets used to buy clothes (11) from the remaining tickets after the first subtraction.
4. The result will be the number of tickets Dave has left.",var_A - var_B - var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B - var_C","{'var_A': 18.0, 'var_B': 5.0, 'var_C': 11.0}",False,
In a school there are 315 girls and 309 boys. There are also 772 teachers How many people are there in that school?,Addition,1396.0,1396.0,1396.0,1396.0,In a school there are var_A girls and var_B boys. There are also var_C teachers How many people are there in that school?,"1. Add the number of girls to the number of boys to find the total number of students.
2. Add the total number of students to the number of teachers to find the total number of people in the school.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    total_students = var_A + var_B
    total_people = total_students + var_C
    return total_people","{'var_A': 315.0, 'var_B': 309.0, 'var_C': 772.0}",False,
Kelly has 80 nintendo games. She found 31 more nintendo games. How many does she need to give away so that she will have 6 games left?,Subtraction,105.0,105.0,105.0,105.0,Kelly has var_A nintendo games. She found var_B more nintendo games. How many does she need to give away so that she will have var_C games left?,"1. Add the number of games Kelly found to the total number of games she initially had to find the new total.
2. Subtract the desired number of games she wants to have left from the new total to determine how many games she needs to give away.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    new_total = var_A + var_B
    return new_total - var_C","{'var_A': 80.0, 'var_B': 31.0, 'var_C': 6.0}",False,
David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary. How many push-ups did Zachary do?,Subtraction,35.0,35.0,35.0,35.0,David did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. How many push - ups did Zachary do?,"1. Identify the number of push-ups David did and the difference between David's and Zachary's push-ups.
2. Subtract the difference (9 push-ups) from the number of push-ups David did (44) to find out how many push-ups Zachary did.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 44.0, 'var_B': 9.0}",False,
"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday. How many kids did she play with on monday and tuesday?",Addition,33.0,33.0,33.0,33.0,"Julia played tag with var_A kids on monday, var_B kids on tuesday and var_C kids on wednesday. How many kids did she play with on monday and tuesday?","1. Add the number of kids Julia played with on Monday to the number of kids she played with on Tuesday.
2. Calculate the total to find out how many kids she played with on both days combined.",var_A + var_B,"def solution(var_A, var_B, var_C):
    return var_A + var_B","{'var_A': 15.0, 'var_B': 18.0, 'var_C': 97.0}",False,
Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies How many did each of them have?,Common-Division,18.0,,18.0,18.0,Brenda's mother made cookies for var_A guests but var_B guests did not come. If she prepared var_C cookies and each guest had the same number of cookies How many did each of them have?,"1. Subtract the number of guests who did not come from the total number of guests to find out how many guests are actually present.
2. Divide the total number of cookies by the number of guests present to find out how many cookies each guest had.",var_C / (var_A - var_B),"def solution(var_A, var_B, var_C):
    present_guests = var_A - var_B
    return var_C / present_guests if present_guests > 0 else 0","{'var_A': 10.0, 'var_B': 9.0, 'var_C': 18.0}",True,'Code_Result'
Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs. How many eggs will each group have?,Common-Division,5.0,5.0,5.0,5.0,Rebecca wants to split a collection of eggs into var_A groups. Rebecca has var_B marbles and var_C eggs. How many eggs will each group have?,"1. Determine the total number of eggs Rebecca has, which is given as 15.
2. Divide the total number of eggs by the number of groups (3) to find out how many eggs each group will have.",var_C // var_A,"def solution(var_A, var_B, var_C):
    total_eggs = var_C
    return total_eggs // var_A","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 15.0}",False,
Mom buys 51 white t - shirts. If white t - shirts can be purchased in packages of 3 How many packages will she have?,Common-Division,17.0,,,,Mom buys var_A white t - shirts. If white t - shirts can be purchased in packages of var_B How many packages will she have?,"1. Divide the total number of white t-shirts by the number of t-shirts in each package to find out how many packages are needed.
2. If the division does not result in a whole number, round up to the next whole number to account for any remaining t-shirts that would require an additional package.",(math.ceil(var_A / var_B)),"def solution(var_A, var_B):
    import math
    return math.ceil(var_A / var_B)","{'var_A': 51.0, 'var_B': 3.0}",True,'Code_Result'
Baker sold 44 cakes. If he had made 48 cakes initially How many cakes would baker still have?,Subtraction,4.0,4.0,4.0,4.0,Baker sold var_A cakes. If he had made var_B cakes initially How many cakes would baker still have?,"1. Subtract the number of cakes sold from the initial number of cakes made to find out how many cakes are left.
2. The calculation will be: 48 (initial cakes) - 44 (cakes sold).",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 44.0, 'var_B': 48.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Subtraction,27.0,27.0,27.0,27.0,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. If var_B bird families flew away to asia and var_C bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,"1. Identify the number of bird families that flew away to Asia (35).
2. Identify the number of bird families that flew away to Africa (62).
3. Subtract the number of bird families that flew away to Asia from the number that flew away to Africa to find out how many more flew to Africa.",var_C - var_B,"def solution(var_A, var_B, var_C):
    return var_C - var_B","{'var_A': 41.0, 'var_B': 35.0, 'var_C': 62.0}",False,
3 birds and 4 storks were sitting on the fence. 6 more storks came to join them. How many birds and storks are sitting on the fence?,Addition,13.0,13.0,13.0,13.0,var_A birds and var_B storks were sitting on the fence. var_C more storks came to join them. How many birds and storks are sitting on the fence?,"1. Add the initial number of birds to the initial number of storks to find the total before the new storks arrive.
2. Add the number of new storks to the total from step 1 to find the final total of birds and storks sitting on the fence.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    total_initial = var_A + var_B
    total_final = total_initial + var_C
    return total_final","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 6.0}",False,
Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?,Multiplication,72.0,72.0,72.0,72.0,Adam could fit var_A action figures and var_B cabinets on each shelf in his room. His room has var_C shelves. How many total items could his shelves hold?,"1. Calculate the total number of items that can fit on one shelf by adding the number of action figures and cabinets.
2. Multiply the total number of items that fit on one shelf by the number of shelves in the room to find the total capacity of the shelves.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_per_shelf = var_A + var_B
    return total_per_shelf * var_C","{'var_A': 8.0, 'var_B': 10.0, 'var_C': 4.0}",False,
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 36 of the pickers that they fill 8 drums of grapes per day. How many days will it take to fill 240 drums of grapes?",Common-Division,30.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by var_A of the pickers that they fill var_B drums of grapes per day. How many days will it take to fill var_C drums of grapes?","1. Calculate the total number of drums filled per day by multiplying the number of pickers (36) by the number of drums each picker fills (8).
2. Divide the total number of drums needed (240) by the total number of drums filled per day to find out how many days it will take to fill 240 drums.",var_C / (var_A * var_B),"def solution(var_A, var_B, var_C):
    total_drums_per_day = var_A * var_B
    return var_C / total_drums_per_day","{'var_A': 36.0, 'var_B': 8.0, 'var_C': 240.0}",False,
Paul got a box of 521 crayons and 66 erasers for his birthday. At the end of the school year he only had 154 left while not having lost a single erasers. How many crayons had been lost or given away?,Subtraction,367.0,,367.0,433.0,Paul got a box of var_A crayons and var_B erasers for his birthday. At the end of the school year he only had var_C left while not having lost a single erasers. How many crayons had been lost or given away?,"1. Determine the total number of crayons and erasers Paul initially had.
2. Subtract the number of items Paul has left (154) from the total number of items he initially had to find out how many items are no longer with him.
3. Since he did not lose any erasers, the number of lost or given away items will be equal to the number of lost or given away crayons.",var_A - var_C,"def solution(var_A, var_B, var_C):
    total_initial = var_A + var_B
    lost_items = total_initial - var_C
    return lost_items","{'var_A': 521.0, 'var_B': 66.0, 'var_C': 154.0}",True,'Code_Result'
Haley grew 13 trees in her backyard. After a typhoon 6 died. How many more trees survived the typhoon than those that died?,Subtraction,1.0,1.0,1.0,1.0,Haley grew var_A trees in her backyard. After a typhoon var_B died. How many more trees survived the typhoon than those that died?,"1. Subtract the number of trees that died from the total number of trees grown to find out how many trees survived the typhoon.
2. Subtract the number of trees that died from the number of trees that survived to determine how many more trees survived than those that died.",var_A - var_B - var_B,"def solution(var_A, var_B):
    survived = var_A - var_B
    return survived - var_B","{'var_A': 13.0, 'var_B': 6.0}",False,
4 birds and 6 storks were sitting on the fence. 2 more storks came to join them. How many storks are sitting on the fence?,Addition,8.0,8.0,8.0,8.0,var_A birds and var_B storks were sitting on the fence. var_C more storks came to join them. How many storks are sitting on the fence?,"1. Start with the initial number of storks sitting on the fence.
2. Add the number of additional storks that came to join them to the initial number of storks.",var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_B + var_C","{'var_A': 4.0, 'var_B': 6.0, 'var_C': 2.0}",False,
Zachary did 15 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 9 push-ups less than David. How many more push-ups did Zachary do than John?,Subtraction,30.0,-30.0,-30.0,-30.0,Zachary did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. John did var_C push - ups less than David. How many more push - ups did Zachary do than John?,"1. Calculate the number of push-ups David did by adding 39 to the number of push-ups Zachary did.
2. Calculate the number of push-ups John did by subtracting 9 from the number of push-ups David did.
3. Subtract the number of push-ups John did from the number of push-ups Zachary did to find out how many more push-ups Zachary did than John.",var_A - (var_A + var_B - var_C),"def solution(var_A, var_B, var_C):
    David_pushups = var_A + var_B
    John_pushups = David_pushups - var_C
    return var_A - John_pushups","{'var_A': 15.0, 'var_B': 39.0, 'var_C': 9.0}",False,
After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height?,Subtraction,81.0,81.0,81.0,81.0,After resting they decided to go for a swim. If the depth of the water is var_A times Dean's height and he stands at var_B feet How much deeper is the water than Dean's height?,"1. Calculate Dean's height by noting that he stands at 9 feet.
2. Determine the depth of the water by multiplying Dean's height by 10.
3. Subtract Dean's height from the depth of the water to find out how much deeper the water is than Dean's height.",(var_A * var_B) - var_B,"def solution(var_A, var_B):
    dean_height = var_B
    water_depth = var_A * dean_height
    return water_depth - dean_height","{'var_A': 10.0, 'var_B': 9.0}",False,
Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,Common-Division,5.0,5.0,5.0,5.0,Paige was helping her mom plant flowers and together they planted var_A seeds in var_B flowerbeds. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,1. Divide the total number of seeds planted by the number of flowerbeds to find out how many seeds were planted in each flowerbed.,var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 45.0, 'var_B': 9.0}",False,
Friends of Katie had 57 games and she had 63 ds games. How many more games does Katie have than her friends?,Subtraction,6.0,6.0,6.0,6.0,Friends of Katie had var_A games and she had var_B ds games. How many more games does Katie have than her friends?,"1. Identify the total number of games that Katie has and the total number of games her friends have.
2. Subtract the number of games her friends have from the number of games Katie has to find out how many more games Katie has than her friends.",var_B - var_A,"def solution(var_A, var_B):
    katie_games = var_B
    friends_games = var_A
    return katie_games - friends_games","{'var_A': 57.0, 'var_B': 63.0}",False,
Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all How much carpet does she need to cover the floors of all rooms?,Multiplication,6840.0,6840.0,6840.0,6840.0,Jesse's rooms are var_A feet long and var_B feet wide. If she has var_C rooms in all How much carpet does she need to cover the floors of all rooms?,"1. Calculate the area of one room by multiplying the length by the width (19 feet * 18 feet).
2. Multiply the area of one room by the total number of rooms (20) to find the total area that needs to be covered with carpet.",var_A * var_B * var_C,"def solution(var_A, var_B, var_C):
    area_one_room = var_A * var_B
    total_area = area_one_room * var_C
    return total_area","{'var_A': 19.0, 'var_B': 18.0, 'var_C': 20.0}",False,
