Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
David did 40 more push-ups but 17 less crunches than Zachary in gym class today. If Zachary did 34 push-ups and 62 crunches How many crunches did David do?,Subtraction,45.0,45.0,45.0,45.0,David did var_A more push - ups but var_B less crunches than Zachary in gym class today. If Zachary did var_C push - ups and var_D crunches How many crunches did David do?,var_D - var_B,"def solution(var_A, var_B, var_C, var_D):
    return var_D - var_B","{'var_A': 40.0, 'var_B': 17.0, 'var_C': 34.0, 'var_D': 62.0}",False,
Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book. How many chapters did he read per day?,Common-Division,332.0,,0.0030120481927710845,,Frank was reading through his favorite book. The book had var_A chapters each with var_B pages. It took frank var_C days to finish the book. How many chapters did he read per day?,var_A / var_C,"def solution(var_A, var_C):
    return var_A / var_C","{'var_A': 2.0, 'var_B': 405.0, 'var_C': 664.0}",False,
Debby bought 88 water bottles and 13 soda bottles when they were on sale. If she drank 4 water bottles and 87 soda bottles a day How many days would the water bottles last?,Common-Division,22.0,,22.0,,Debby bought var_A water bottles and var_B soda bottles when they were on sale. If she drank var_C water bottles and var_D soda bottles a day How many days would the water bottles last?,var_A / var_C,"def solution(var_A, var_C):
    return var_A // var_C","{'var_A': 88.0, 'var_B': 13.0, 'var_C': 4.0, 'var_D': 87.0}",False,
Some children were riding on the bus. At the bus stop 2 more children got on the bus. Then there were 41 children altogether on the bus. How many children were riding on the bus before the bus stop?,Subtraction,39.0,39.0,39.0,39.0,Some children were riding on the bus. At the bus stop var_A more children got on the bus. Then there were var_B children altogether on the bus. How many children were riding on the bus before the bus stop?,var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 2.0, 'var_B': 41.0}",False,
Baker made 110 cakes. He sold 75 of them. Then he made 76 more cakes. How many cakes would baker still have?,Addition,111.0,111.0,111.0,111.0,Baker made var_A cakes. He sold var_B of them. Then he made var_C more cakes. How many cakes would baker still have?,var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return (var_A - var_B) + var_C","{'var_A': 110.0, 'var_B': 75.0, 'var_C': 76.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,Subtraction,31.0,31.0,31.0,31.0,Winter is almost here and most animals are migrating to warmer countries. There were var_A bird families living near the mountain. If var_B bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,var_B - (var_A - var_B),"def solution(var_A, var_B):
    return var_B - (var_A - var_B)","{'var_A': 89.0, 'var_B': 60.0}",False,
Dan has $ 4. He had $ 3 left with him after he bought a candy bar. How much did the candy bar cost?,Subtraction,1.0,1.0,1.0,1.0,Dan has $ var_A He had $ var_B left with him after he bought a candy bar. How much did the candy bar cost?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 4.0, 'var_B': 3.0}",False,
At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?,Subtraction,2.0,2.0,2.0,2.0,At the arcade Dave had won var_A tickets. If he used var_B to buy some toys and var_C more to buy some clothes How many tickets did Dave have left?,var_A - var_B - var_C,"def solution(var_A, var_B, var_C):
    return var_A - (var_B + var_C)","{'var_A': 18.0, 'var_B': 5.0, 'var_C': 11.0}",False,
In a school there are 315 girls and 309 boys. There are also 772 teachers How many people are there in that school?,Addition,1396.0,1396.0,1396.0,1396.0,In a school there are var_A girls and var_B boys. There are also var_C teachers How many people are there in that school?,var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 315.0, 'var_B': 309.0, 'var_C': 772.0}",False,
Kelly has 80 nintendo games. She found 31 more nintendo games. How many does she need to give away so that she will have 6 games left?,Subtraction,105.0,105.0,105.0,105.0,Kelly has var_A nintendo games. She found var_B more nintendo games. How many does she need to give away so that she will have var_C games left?,var_A + var_B - var_C,"def solution(var_A, var_B, var_C):
    return (var_A + var_B) - var_C","{'var_A': 80.0, 'var_B': 31.0, 'var_C': 6.0}",False,
David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary. How many push-ups did Zachary do?,Subtraction,35.0,35.0,35.0,35.0,David did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. How many push - ups did Zachary do?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 44.0, 'var_B': 9.0}",False,
"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday. How many kids did she play with on monday and tuesday?",Addition,33.0,,33.0,,"Julia played tag with var_A kids on monday, var_B kids on tuesday and var_C kids on wednesday. How many kids did she play with on monday and tuesday?",var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 15.0, 'var_B': 18.0, 'var_C': 97.0}",False,
Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies How many did each of them have?,Common-Division,18.0,,18.0,18.0,Brenda's mother made cookies for var_A guests but var_B guests did not come. If she prepared var_C cookies and each guest had the same number of cookies How many did each of them have?,var_C / (var_A - var_B),"def solution(var_A, var_B, var_C):
    actual_guests = var_A - var_B
    return var_C // actual_guests if actual_guests > 0 else 0","{'var_A': 10.0, 'var_B': 9.0, 'var_C': 18.0}",False,
Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs. How many eggs will each group have?,Common-Division,5.0,,5.0,,Rebecca wants to split a collection of eggs into var_A groups. Rebecca has var_B marbles and var_C eggs. How many eggs will each group have?,var_C / var_A,"def solution(var_A, var_C):
    return var_C // var_A","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 15.0}",False,
Mom buys 51 white t - shirts. If white t - shirts can be purchased in packages of 3 How many packages will she have?,Common-Division,17.0,,17.0,17.0,Mom buys var_A white t - shirts. If white t - shirts can be purchased in packages of var_B How many packages will she have?,var_A / var_B,"def solution(var_A, var_B):
    return (var_A + var_B - 1) // var_B","{'var_A': 51.0, 'var_B': 3.0}",False,
Baker sold 44 cakes. If he had made 48 cakes initially How many cakes would baker still have?,Subtraction,4.0,4.0,4.0,4.0,Baker sold var_A cakes. If he had made var_B cakes initially How many cakes would baker still have?,var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 44.0, 'var_B': 48.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Subtraction,27.0,27.0,27.0,27.0,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. If var_B bird families flew away to asia and var_C bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,var_C - var_B,"def solution(var_A, var_B, var_C):
    return var_C - var_B","{'var_A': 41.0, 'var_B': 35.0, 'var_C': 62.0}",False,
3 birds and 4 storks were sitting on the fence. 6 more storks came to join them. How many birds and storks are sitting on the fence?,Addition,13.0,13.0,13.0,13.0,var_A birds and var_B storks were sitting on the fence. var_C more storks came to join them. How many birds and storks are sitting on the fence?,var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 6.0}",False,
Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?,Multiplication,72.0,72.0,72.0,72.0,Adam could fit var_A action figures and var_B cabinets on each shelf in his room. His room has var_C shelves. How many total items could his shelves hold?,(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    return (var_A + var_B) * var_C","{'var_A': 8.0, 'var_B': 10.0, 'var_C': 4.0}",False,
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 36 of the pickers that they fill 8 drums of grapes per day. How many days will it take to fill 240 drums of grapes?",Common-Division,30.0,,30.0,1080.0,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by var_A of the pickers that they fill var_B drums of grapes per day. How many days will it take to fill var_C drums of grapes?",var_C / var_B,"def solution(var_A, var_B, var_C):
    return var_C // var_B * var_A","{'var_A': 36.0, 'var_B': 8.0, 'var_C': 240.0}",False,
Paul got a box of 521 crayons and 66 erasers for his birthday. At the end of the school year he only had 154 left while not having lost a single erasers. How many crayons had been lost or given away?,Subtraction,367.0,367.0,367.0,367.0,Paul got a box of var_A crayons and var_B erasers for his birthday. At the end of the school year he only had var_C left while not having lost a single erasers. How many crayons had been lost or given away?,var_A - var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_C","{'var_A': 521.0, 'var_B': 66.0, 'var_C': 154.0}",False,
Haley grew 13 trees in her backyard. After a typhoon 6 died. How many more trees survived the typhoon than those that died?,Subtraction,1.0,,7.0,1.0,Haley grew var_A trees in her backyard. After a typhoon var_B died. How many more trees survived the typhoon than those that died?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B * 2","{'var_A': 13.0, 'var_B': 6.0}",False,
4 birds and 6 storks were sitting on the fence. 2 more storks came to join them. How many storks are sitting on the fence?,Addition,8.0,8.0,8.0,8.0,var_A birds and var_B storks were sitting on the fence. var_C more storks came to join them. How many storks are sitting on the fence?,var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_B + var_C","{'var_A': 4.0, 'var_B': 6.0, 'var_C': 2.0}",False,
Zachary did 15 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 9 push-ups less than David. How many more push-ups did Zachary do than John?,Subtraction,30.0,-30.0,-30.0,-30.0,Zachary did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. John did var_C push - ups less than David. How many more push - ups did Zachary do than John?,var_A - (var_A + var_B - var_C),"def solution(var_A, var_B, var_C):
    return var_A - (var_A + var_B - var_C)","{'var_A': 15.0, 'var_B': 39.0, 'var_C': 9.0}",False,
After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height?,Subtraction,81.0,81.0,81.0,81.0,After resting they decided to go for a swim. If the depth of the water is var_A times Dean's height and he stands at var_B feet How much deeper is the water than Dean's height?,(var_A * var_B) - var_B,"def solution(var_A, var_B):
    return (var_A * var_B) - var_B","{'var_A': 10.0, 'var_B': 9.0}",False,
Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,Common-Division,5.0,,5.0,5.0,Paige was helping her mom plant flowers and together they planted var_A seeds in var_B flowerbeds. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,var_A / var_B,"def solution(var_A, var_B):
    return var_A // var_B","{'var_A': 45.0, 'var_B': 9.0}",False,
Friends of Katie had 57 games and she had 63 ds games. How many more games does Katie have than her friends?,Subtraction,6.0,6.0,6.0,6.0,Friends of Katie had var_A games and she had var_B ds games. How many more games does Katie have than her friends?,var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 57.0, 'var_B': 63.0}",False,
Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all How much carpet does she need to cover the floors of all rooms?,Multiplication,6840.0,6840.0,6840.0,6840.0,Jesse's rooms are var_A feet long and var_B feet wide. If she has var_C rooms in all How much carpet does she need to cover the floors of all rooms?,var_C * (var_A * var_B),"def solution(var_A, var_B, var_C):
    return var_A * var_B * var_C","{'var_A': 19.0, 'var_B': 18.0, 'var_C': 20.0}",False,
Jake has 11 fewer peaches than Steven. If Jake has 17 peaches. How many peaches does Steven have?,Addition,28.0,28.0,28.0,28.0,Jake has var_A fewer peaches than Steven. If Jake has var_B peaches. How many peaches does Steven have?,var_B + var_A,"def solution(var_A, var_B):
    return var_B + var_A","{'var_A': 11.0, 'var_B': 17.0}",False,
Bobby ate 17 pieces of candy. Then he ate 15 more. If he initially had 36 pieces of candy How many pieces of candy does he still have left?,Subtraction,4.0,4.0,4.0,4.0,Bobby ate var_A pieces of candy. Then he ate var_B more. If he initially had var_C pieces of candy How many pieces of candy does he still have left?,var_C - (var_A + var_B),"def solution(var_A, var_B, var_C):
    return var_C - (var_A + var_B)","{'var_A': 17.0, 'var_B': 15.0, 'var_C': 36.0}",False,
Baker made 155 cakes. If his friend bought 140 cakes from him How many cakes would baker still have?,Subtraction,15.0,15.0,15.0,15.0,Baker made var_A cakes. If his friend bought var_B cakes from him How many cakes would baker still have?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 155.0, 'var_B': 140.0}",False,
Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404 baseball cards and 495 Ace cards left. How many more Ace cards than baseball cards does Nell have?,Subtraction,91.0,,123.0,91.0,Nell collects cards. She had var_A baseball cards and var_B Ace cards. She gave some of her cards to Jeff and now has var_C baseball cards and var_D Ace cards left. How many more Ace cards than baseball cards does Nell have?,(var_D - var_C) - (var_B - var_A),"def solution(var_A, var_B, var_C, var_D):
    return var_D - var_C","{'var_A': 246.0, 'var_B': 214.0, 'var_C': 404.0, 'var_D': 495.0}",False,
If the cave is 919 feet deep and they need to travel 1307 feet How far is the end of the cave?,Addition,2226.0,2226.0,2226.0,2226.0,If the cave is var_A feet deep and they need to travel var_B feet How far is the end of the cave?,var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 919.0, 'var_B': 1307.0}",False,
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,Addition,21.0,21.0,21.0,21.0,Ed had var_A more marbles than Doug. Doug lost var_B of his marbles at the playground. If Ed had var_C marbles How many more marbles did Ed have than Doug then?,var_C - (var_C - var_A - var_B),"def solution(var_A, var_B, var_C):
    doug_marbles = var_C - var_A
    doug_marbles_after_loss = doug_marbles - var_B
    return var_C - doug_marbles_after_loss","{'var_A': 10.0, 'var_B': 11.0, 'var_C': 45.0}",False,
At the arcade Dave had won 7 tickets. He used some tickets to buy toys. If he still has 2 tickets left How many tickets did Dave use to buy toys?,Subtraction,5.0,5.0,5.0,5.0,At the arcade Dave had won var_A tickets. He used some tickets to buy toys. If he still has var_B tickets left How many tickets did Dave use to buy toys?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 7.0, 'var_B': 2.0}",False,
Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,Multiplication,12.0,,12.0,,Every day Ryan spends var_A hours on learning english and var_B hours on learning chinese. If he learns for var_C days How many hours does he spend on learning english in all?,var_A * var_C,"def solution(var_A, var_C):
    return var_A * var_C","{'var_A': 6.0, 'var_B': 5.0, 'var_C': 2.0}",False,
5 red peaches and 11 green peaches are in the basket. How many more green peaches than red peaches are in the basket?,Subtraction,6.0,6.0,6.0,6.0,var_A red peaches and var_B green peaches are in the basket. How many more green peaches than red peaches are in the basket?,var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 5.0, 'var_B': 11.0}",False,
Nell collects cards. She had 438 baseball cards and 18 Ace cards. She gave some of her cards to Jeff and now has 55 Ace cards and 178 baseball cards left. How many more baseball cards than Ace cards does Nell have?,Subtraction,123.0,123.0,123.0,123.0,Nell collects cards. She had var_A baseball cards and var_B Ace cards. She gave some of her cards to Jeff and now has var_C Ace cards and var_D baseball cards left. How many more baseball cards than Ace cards does Nell have?,(var_D - var_C),"def solution(var_A, var_B, var_C, var_D):
    return var_D - var_C","{'var_A': 438.0, 'var_B': 18.0, 'var_C': 55.0, 'var_D': 178.0}",False,
"After making some pies, chef had 2 apples left. Initially he had 43 apples How many apples did he use?",Subtraction,41.0,41.0,41.0,41.0,"After making some pies, chef had var_A apples left. Initially he had var_B apples How many apples did he use?",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 2.0, 'var_B': 43.0}",False,
A book has 3 chapters. The first chapter is 66 pages long the second chapter is 35 pages long and the third chapter is 24 pages long. How many pages does the book have altogether?,Addition,125.0,125.0,125.0,125.0,A book has var_A chapters. The first chapter is var_B pages long the second chapter is var_C pages long and the third chapter is var_D pages long. How many pages does the book have altogether?,var_B + var_C + var_D,"def solution(var_A, var_B, var_C, var_D):
    return var_B + var_C + var_D","{'var_A': 3.0, 'var_B': 66.0, 'var_C': 35.0, 'var_D': 24.0}",False,
At the stop 8 more people got on the train. Initially there were 11 people on the train. How many people are there on the train now?,Addition,19.0,19.0,19.0,19.0,At the stop var_A more people got on the train. Initially there were var_B people on the train. How many people are there on the train now?,var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 8.0, 'var_B': 11.0}",False,
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 705 visitors came to the Buckingham palace that day. If there were 191 visitors the previous day and 457 visitors the day before that How many more visitors visited the Buckingham palace on that day than on the previous 245 days?",Subtraction,57.0,702.3551020408163,,702.3551020408163,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that var_A visitors came to the Buckingham palace that day. If there were var_B visitors the previous day and var_C visitors the day before that How many more visitors visited the Buckingham palace on that day than on the previous var_D days?",var_A - (var_B + var_C + ... + var_D),"def solution(var_A, var_B, var_C, var_D):
    return var_A - (var_B + var_C) / var_D","{'var_A': 705.0, 'var_B': 191.0, 'var_C': 457.0, 'var_D': 245.0}",False,
Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend?,Subtraction,1.0,1.0,1.0,1.0,Paco had var_A cookies. He ate var_B cookies and gave var_C of them to his friend. How many more cookies did he eat than those he gave to his friend?,var_B - var_C,"def solution(var_A, var_B, var_C):
    return var_B - var_C","{'var_A': 17.0, 'var_B': 14.0, 'var_C': 13.0}",False,
Katie had 62 new games and 80 old games. Her friends had 73 new games and 41 old games. How many old games do they have 3,Addition,121.0,,121.0,,Katie had var_A new games and var_B old games. Her friends had var_C new games and var_D old games. How many old games do they have var_E,var_B + var_D,"def solution(var_A, var_B, var_C, var_D):
    return var_B + var_D","{'var_A': 62.0, 'var_B': 80.0, 'var_C': 73.0, 'var_D': 41.0, 'var_E': 3.0}",False,
Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days. How many kids did she play with altogether?,Addition,26.0,,26.0,,Julia played tag with var_A kids on monday. She played tag with var_B kids on tuesday. She spent a total of var_C hours to play tag on both days. How many kids did she play with altogether?,var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 12.0, 'var_B': 14.0, 'var_C': 34.0}",False,
There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase. How many orchids did she cut?,Subtraction,4.0,,4.0,7.0,There were var_A roses and var_B orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now var_C orchids and var_D roses in the vase. How many orchids did she cut?,var_C - var_B,"def solution(var_A, var_B, var_C, var_D):
    return (var_B + var_C) - var_B","{'var_A': 16.0, 'var_B': 3.0, 'var_C': 7.0, 'var_D': 13.0}",False,
"A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda. How many more bottles than apple did they have?",Subtraction,98.0,98.0,98.0,98.0,"A grocery store had var_A apples, var_B bottles of regular soda and var_C bottles of diet soda. How many more bottles than apple did they have?",(var_B + var_C) - var_A,"def solution(var_A, var_B, var_C):
    return (var_B + var_C) - var_A","{'var_A': 36.0, 'var_B': 80.0, 'var_C': 54.0}",False,
The school has 304 grades and each grade has 75 students How many students were there in total?,Multiplication,22800.0,22800.0,22800.0,22800.0,The school has var_A grades and each grade has var_B students How many students were there in total?,var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 304.0, 'var_B': 75.0}",False,
