Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",9,9,9.0,9.0,"Luke made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?","1. Add the amount of money Luke made from mowing lawns and weed eating to find the total amount of money he made.
2. Divide the total amount of money by the amount he spent per week to find out how many weeks the money will last.",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_money = var_A + var_B
    weeks_last = total_money / var_C
    return weeks_last","{'var_A': 9.0, 'var_B': 18.0, 'var_C': 3.0}",False,
 Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ,3,,1.2424242424242424,66.0,Emily was planting vegetables in her garden. She started with var_A seeds and planted var_B of them in the big garden and in each of her small gardens put var_C seeds each. How many small gardens did Emily have?,"1. Divide the total number of seeds by the number of seeds planted in the big garden to find the number of seeds planted in the small gardens.
2. Subtract the number of seeds planted in the small gardens from the total number of seeds to find the number of seeds planted in the big garden.",var_A / (var_B + var_C),"def solution(var_A, var_B, var_C):
    total_seeds = var_A + var_B
    seeds_in_big_garden = total_seeds - var_C
    return seeds_in_big_garden","{'var_A': 41.0, 'var_B': 29.0, 'var_C': 4.0}",True,'Code_Result'
" A worksheet had 2 problems on it. If a teacher had 14 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",14,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","1. Subtract the number of problems already graded from the total number of problems to find out how many problems the teacher has to grade.
2. Divide the number of problems to be graded by the number of problems already graded to find out how many more problems the teacher has to grade.",(D - E) / (E - C),"def solution(var_A, var_B, var_C):
    problems_to_grade = var_A - var_B
    problems_to_grade += (var_B / var_B)
    return problems_to_grade","{'var_A': 2.0, 'var_B': 14.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? ",15,,,,"A waiter at 'The Greasy Spoon' restaurant had var_A customers to wait on. During the lunch rush he added another var_B customers. If var_C of the customers didn't leave him a tip, how many customers did leave a tip?","1. Add the number of customers who came in during the lunch rush to the number of customers who came in normally.
2. Subtract the number of customers who didn't leave a tip from the total number of customers to find out how many customers did leave a tip.",var_A + var_B - var_C,"def solution(var_A, var_B):
    total_customers = var_A + var_B
    customers_left_tip = total_customers - var_C
    return customers_left_tip","{'var_A': 29.0, 'var_B': 20.0, 'var_C': 34.0}",True,"must be real number, not NoneType"
" The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with? ",31,,-14.0,-8.0,"The school cafeteria ordered var_A red apples and var_B green apples for students lunches. But, if only var_C students wanted fruit, how many extra did the cafeteria end up with?",1. Subtract the number of students who wanted fruit from the total number of apples ordered to find out how many extra apples the cafeteria had.,(var_A - var_C),"def solution(var_A, var_B, var_C):
    extra_apples = var_A - var_B
    return extra_apples","{'var_A': 37.0, 'var_B': 45.0, 'var_C': 51.0}",True,'Code_Result'
" Luke was putting his spare change into piles. He had 5 piles of quarters and 5 piles of dimes. If each pile had 3 coins in it, how many coins did he have total? ",30,30,30.0,30.0,"Luke was putting his spare change into piles. He had var_A piles of quarters and var_B piles of dimes. If each pile had var_C coins in it, how many coins did he have total?","1. Multiply the number of piles of quarters by the number of coins in each pile to find the total number of quarters.
2. Multiply the number of piles of dimes by the number of coins in each pile to find the total number of dimes.
3. Add the total number of quarters and dimes to find the total number of coins.",var_A * var_C + var_B * var_C,"def solution(var_A, var_B, var_C):
    quarters = var_A * var_C
    dimes = var_B * var_C
    total_coins = quarters + dimes
    return total_coins","{'var_A': 5.0, 'var_B': 5.0, 'var_C': 3.0}",False,
" Megan's class is going on a field trip to the zoo. If each van can hold 5 people and there are 25 students and 5 adults going, how many vans will they need? ",6,,0.0,-15.0,"Megan's class is going on a field trip to the zoo. If each van can hold var_A people and there are var_B students and var_C adults going, how many vans will they need?","1. Divide the total number of students by the number of students per van to find out how many vans are needed.
2. Subtract the number of adults from the total number of students to find out how many vans are needed for the students.",var_A // (var_B - var_C),"def solution(var_A, var_B, var_C):
    vans_needed = var_B // var_A
    vans_needed = vans_needed + var_C - var_B
    return vans_needed","{'var_A': 5.0, 'var_B': 25.0, 'var_C': 5.0}",True,'Code_Result'
" A worksheet had 3 problems on it. If a teacher had 15 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",24,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","1. Subtract the number of problems already graded from the total number of problems to find out how many problems the teacher has to grade.
2. Divide the number of problems to be graded by the number of problems already graded to find out how many more problems the teacher has to grade.",(D - E) / (E - C),"def solution(var_A, var_B, var_C):
    problems_to_grade = var_A - var_B
    problems_to_grade += (var_B / var_B)
    return problems_to_grade","{'var_A': 3.0, 'var_B': 15.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" The cafeteria had 50 apples. For lunch they handed out 5 to students and decided to use the rest to make pies. If each pie takes 5 apples, how many pies could they make? ",9,9,9.0,9.0,"The cafeteria had var_A apples. For lunch they handed out var_B to students and decided to use the rest to make pies. If each pie takes var_C apples, how many pies could they make?","1. Subtract the number of apples handed out to students from the total number of apples to find out how many apples are left.
2. Divide the number of apples left by the number of apples each pie takes to find out how many pies they could make.",(var_A - var_B) / var_C,"def solution(var_A, var_B, var_C):
    apples_left = var_A - var_B
    pies = apples_left / var_C
    return pies","{'var_A': 50.0, 'var_B': 5.0, 'var_C': 5.0}",False,
" Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total? ",31,43,43.0,43.0,"Nancy picked var_A carrots from her garden. If she threw out var_B of them and then picked var_C more the next day, how many carrots would she have total?","1. Subtract the number of carrots Nancy threw out from the total number of carrots she picked to find out how many carrots she has left.
2. Add the number of carrots Nancy picked the next day to the number of carrots she has left.",(var_A - var_B) + (var_A + var_C),"def solution(var_A, var_B, var_C):
    carrots_left = var_A - var_B
    carrots_next_day = var_A + var_C
    total_carrots = carrots_left + carrots_next_day
    return total_carrots","{'var_A': 12.0, 'var_B': 2.0, 'var_C': 21.0}",False,
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 6 lives, how many lives did they have total? ",24,24,24.0,24.0,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?","1. Add the number of players who joined to the number of players who were already playing to find the total number of players.
2. Multiply the total number of players by the number of lives each player had to find the total number of lives.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    total_lives = total_players * var_C
    return total_lives","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 6.0}",False,
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39,39,39.0,39.0,"Tom had var_A books. If he sold var_B of them and used the money he earned to buy var_C new books, how many books would Tom have?","1. Subtract the number of books Tom sold from the total number of books he had to find out how many books he still has.
2. Add the number of new books Tom bought to the number of books he still has to find out how many books Tom has now.",(var_A - var_B) + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 5.0, 'var_B': 4.0, 'var_C': 38.0}",False,
" Rachel was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 6 shelves of mystery books and 2 shelves of picture books, how many books did she have total? ",72,,58.0,27.0,"Rachel was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?","1. Multiply the number of shelves of mystery books by the number of books on each shelf to find the total number of mystery books.
2. Multiply the number of shelves of picture books by the number of books on each shelf to find the total number of picture books.",var_A * var_B + var_C * var_C,"def solution(var_A, var_B, var_C):
    return var_A * 1 + var_B * 2 + var_C * 3","{'var_A': 9.0, 'var_B': 6.0, 'var_C': 2.0}",True,'Code_Result'
" Haley baked 20 cupcakes for her school's bake sale. If her brother, Todd, ate 11 of them how many packages could she make if she put 3 cupcake in each package? ",3,,3.0,18.0,"Haley baked var_A cupcakes for her school's bake sale. If her brother, Todd, ate var_B of them how many packages could she make if she put var_C cupcake in each package?","1. Divide the number of cupcakes Haley baked by the number of cupcakes per package to find out how many packages she could make.
2. Multiply the number of packages by 3 to find out how many cupcakes she could sell.",(var_A // var_B) * 3,"def solution(var_A, var_B, var_C):
    packages = var_A // var_C
    cupcakes_sold = packages * 3
    return cupcakes_sold","{'var_A': 20.0, 'var_B': 11.0, 'var_C': 3.0}",True,'Code_Result'
" Bianca had 45 coloring books. If she gave away 6 of them, but then bought 20 more, how many would she have total? ",59,59,59.0,59.0,"Bianca had var_A coloring books. If she gave away var_B of them, but then bought var_C more, how many would she have total?","1. Subtract the number of books Bianca gave away from the original number to find out how many she had left.
2. Add the number of books she bought to the number she had left to find out how many she has now.",(var_A - var_B) + var_C,"def solution(var_A, var_B, var_C):
    Bianca_has_left = var_A - var_B
    Bianca_has_now = Bianca_has_left + var_C
    return Bianca_has_now","{'var_A': 45.0, 'var_B': 6.0, 'var_C': 20.0}",False,
" Dave bought 12 boxes of chocolate candy and gave 5 to his little brother. If each box has 3 pieces inside it, how many pieces did Dave still have? ",21,31,31.0,31.0,"Dave bought var_A boxes of chocolate candy and gave var_B to his little brother. If each box has var_C pieces inside it, how many pieces did Dave still have?","1. Multiply the number of boxes by the number of pieces in each box to find the total number of pieces.
2. Subtract the number of pieces given to the little brother from the total number of pieces to find out how many pieces Dave still has.",var_A * var_C - var_B,"def solution(var_A, var_B, var_C):
    total_pieces = var_A * var_C
    Dave_has = total_pieces - var_B
    return Dave_has","{'var_A': 12.0, 'var_B': 5.0, 'var_C': 3.0}",False,
" Gwen was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 3 shelves of mystery books and 5 shelves of picture books, how many books did she have total? ",72,,52.0,42.0,"Gwen was organizing her book case making sure each of the shelves had exactly var_A books on it. If she had var_B shelves of mystery books and var_C shelves of picture books, how many books did she have total?","1. Multiply the number of shelves of mystery books by the number of books on each shelf to find the total number of mystery books.
2. Multiply the number of shelves of picture books by the number of books on each shelf to find the total number of picture books.",var_A * var_B + var_C * var_C,"def solution(var_A, var_B, var_C):
    mystery_books = var_A * var_B
    picture_books = var_C * var_B
    total_books = mystery_books + picture_books
    return total_books","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 5.0}",True,'Code_Result'
 A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? ,54,54,54.0,54.0,A pet store had var_A siamese cats and var_B house cats. During a sale they sold var_C cats. How many cats do they have left?,"1. Subtract the number of cats sold from the total number of cats to find out how many cats are left.
2. Add the number of cats sold to the number of cats left to find the total number of cats.",var_A - var_C + var_B,"def solution(var_A, var_B, var_C):
    cats_left = var_A - var_C
    cats_sold = var_B
    cats_left += cats_sold
    return cats_left","{'var_A': 41.0, 'var_B': 28.0, 'var_C': 15.0}",False,
" Sam was collecting cans for recycling. On Saturday he filled 3 bags up and on Sunday he filled 4 more bags. If each bag had 9 cans in it, how many cans did he pick up total? ",63,63,63.0,63.0,"Sam was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?","1. Multiply the number of bags filled on Saturday by the number of cans in each bag to find the total number of cans.
2. Multiply the number of bags filled on Sunday by the number of cans in each bag to find the total number of cans.
3. Add the two totals to find the total number of cans Sam picked up.",var_A * var_C + var_B * var_C,"def solution(var_A, var_B, var_C):
    total_cans = var_A * var_C + var_B * var_C
    return total_cans","{'var_A': 3.0, 'var_B': 4.0, 'var_C': 9.0}",False,
" Janet was playing a video game and had 38 lives. In a hard part of the game she lost 16 lives. If she got 32 more lives in the next level, how many lives would she have? ",54,,48.0,54.0,"Janet was playing a video game and had var_A lives. In a hard part of the game she lost var_B lives. If she got var_C more lives in the next level, how many lives would she have?","1. Subtract the number of lives Janet lost from the initial number of lives to find out how many lives she has left.
2. Add the number of lives she gained to the number of lives she has left to find out how many lives she has now.",var_C - var_B + var_C,"def solution(var_A, var_B, var_C):
    lives_left = var_A - var_B
    lives_now = lives_left + var_C
    return lives_now","{'var_A': 38.0, 'var_B': 16.0, 'var_C': 32.0}",True,'Code_Result'
 Lana was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Lana have total? ,32,,20.0,32.0,Lana was unboxing some of her old winter clothes. She found var_A boxes of clothing and inside each box there were var_B scarves and var_C mittens. How many pieces of winter clothing did Lana have total?,"1. Multiply the number of boxes by the number of scarves in each box to find the total number of scarves.
2. Multiply the number of boxes by the number of mittens in each box to find the total number of mittens.
3. Add the total number of scarves and mittens to find the total number of winter clothing.",var_A * var_B + var_B * var_C,"def solution(var_A, var_B, var_C):
    return var_A * var_B + var_A * var_C","{'var_A': 4.0, 'var_B': 2.0, 'var_C': 6.0}",True,'Code_Result'
" A chef needs to cook 16 potatoes. He has already cooked 7. If each potato takes 5 minutes to cook, how long will it take him to cook the rest? ",45,45,45.0,45.0,"A chef needs to cook var_A potatoes. He has already cooked var_B If each potato takes var_C minutes to cook, how long will it take him to cook the rest?","1. Subtract the number of potatoes already cooked from the total to find out how many potatoes are left.
2. Multiply the number of potatoes left by the time each potato takes to cook to find out how long it will take to cook the rest.",(var_A - var_B) * var_C,"def solution(var_A, var_B, var_C):
    potatoes_left = var_A - var_B
    cooking_time = potatoes_left * var_C
    return cooking_time","{'var_A': 16.0, 'var_B': 7.0, 'var_C': 5.0}",False,
" Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have? ",61,61,61.0,61.0,"Oliver had var_A dollars in January. By March he had spent var_B dollars. If he got another var_C dollars from his mom, how much money would he have?","1. Subtract the amount spent from the initial amount to find the remaining amount.
2. Add the amount received from his mom to the remaining amount to find the total amount Oliver has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    remaining = var_A - var_B
    total = remaining + var_C
    return total","{'var_A': 33.0, 'var_B': 4.0, 'var_C': 32.0}",False,
" Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, how much money did he actually earn? ",32,,-85.0,-52.0,"Edward earned var_A dollars for each lawn he mowed. If he had var_B lawns to mow, but forgot to mow var_C of them, how much money did he actually earn?","1. Subtract the number of lawns mowed that were forgotten from the total number of lawns to find out how many were actually mowed.
2. Multiply the number of lawns mowed by the amount earned per lawn to find out how much money Edward actually earned.",(var_A - var_C) * var_B,"def solution(var_A, var_B, var_C):
    actual_earnings = var_A - var_B
    actual_earnings *= var_A
    return actual_earnings","{'var_A': 4.0, 'var_B': 17.0, 'var_C': 9.0}",True,'Code_Result'
" A worksheet had 4 problems on it. If a teacher had 9 worksheets to grade and had already graded 5 of them, how many more problems does she have to grade? ",16,,,,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?","1. Subtract the number of problems already graded from the total number of problems to find out how many problems are left.
2. Divide the number of problems left by the number of worksheets the teacher has to grade to find out how many worksheets she has to grade.",(D - E) / (B - C),"def solution(var_A, var_B, var_C):
    problems_left = var_A - var_B
    problems_to_grade = problems_left / var_B
    return problems_to_grade","{'var_A': 4.0, 'var_B': 9.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total? ",12,,,,"A trivia team had var_A members total, but during a game var_B members didn't show up. If each member that did show up scored var_C points, how many points were scored total?","1. Subtract the number of members who didn't show up from the total number of members to find out how many members showed up.
2. Multiply the number of members who showed up by the points each member scored to find out how many points were scored.",(D - B) * C,"def solution(var_A, var_B, var_C):
    points = var_A - var_B
    points *= var_C
    return points","{'var_A': 9.0, 'var_B': 3.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14,14,14.0,14.0,"Ned was trying to expand his game collection. He bought var_A games from a friend and bought var_B more at a garage sale. If var_C of the games didn't work, how many good games did he end up with?","1. Subtract the number of games that didn't work from the total number of games Ned bought to find out how many good games he has.
2. Add the number of games Ned bought at the garage sale to the number of good games he has to find out how many good games he has now.",var_A - var_C + var_B,"def solution(var_A, var_B, var_C):
    good_games = var_A + var_B - var_C
    total_games = var_A + var_B
    return good_games","{'var_A': 11.0, 'var_B': 22.0, 'var_C': 19.0}",False,
" Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry 8 trays at a time. If he had to pick up 9 trays from one table and 7 trays from another, how many trips will he make? ",2,,0.0,4.0,"Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry var_A trays at a time. If he had to pick up var_B trays from one table and var_C trays from another, how many trips will he make?","1. Divide the total number of trays by the number of trays Jerry can carry at a time to find out how many trips he needs to make.
2. Multiply the number of trips by 2 to account for the trips to pick up trays from the other tables.",var_A // var_B * var_C,"def solution(var_A, var_B, var_C):
    trips = var_A // var_C + var_B // var_C
    return trips * 2","{'var_A': 8.0, 'var_B': 9.0, 'var_C': 7.0}",True,'Code_Result'
 Kaleb was selling his old games. He started out with 76 but sold 46 of them. He packed the rest up putting 5 games into each box. How many boxes did he have to use? ,6,,,,Kaleb was selling his old games. He started out with var_A but sold var_B of them. He packed the rest up putting var_C games into each box. How many boxes did he have to use?,"1. Subtract the number of games Kaleb sold from the total number of games to find out how many games he has left.
2. Divide the number of games left by the number of games per box to find out how many boxes Kaleb needs.",(D - B) / C,"def solution(var_A, var_B, var_C):
    remaining_games = var_A - var_B
    boxes_needed = remaining_games / var_C
    return int(boxes_needed)","{'var_A': 76.0, 'var_B': 46.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" There were 2 friends playing a video game online when 2 more players joined the game. If each player had 3 lives, how many lives did they have total? ",12,12,12.0,12.0,"There were var_A friends playing a video game online when var_B more players joined the game. If each player had var_C lives, how many lives did they have total?","1. Add the number of players who joined to the number of players who were already playing to find the total number of players.
2. Multiply the total number of players by the number of lives each player had to find the total number of lives.",(var_A + var_B) * var_C,"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    total_lives = total_players * var_C
    return total_lives","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 3.0}",False,
" Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? ",7,7,7.0,7.0,"Vanessa and her mom were picking carrots from their garden. Vanessa picked var_A and her mother picked var_B If only var_C of the carrots were good, how many bad carrots did they have?","1. Add the number of carrots picked by Vanessa and her mom.
2. Subtract the number of good carrots from the total to find the number of bad carrots.",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    total = var_A + var_B
    bad = total - var_C
    return bad","{'var_A': 17.0, 'var_B': 14.0, 'var_C': 24.0}",False,
" A pet store has 6 bird cages. If each cage has 2 parrots and 7 parakeets in it, how many birds does the pet store have total? ",54,,26.0,96.0,"A pet store has var_A bird cages. If each cage has var_B parrots and var_C parakeets in it, how many birds does the pet store have total?","1. Multiply the number of bird cages by the number of parrots in each cage to find the total number of parrots.
2. Multiply the total number of parrots by the number of parakeets in each cage to find the total number of parakeets.
3. Add the total number of parrots and parakeets to find the total number of birds.",var_A * var_B + var_B * var_C,"def solution(var_A, var_B, var_C):
    parrots = var_A * var_B
    parakeets = parrots * var_C
    total_birds = parrots + parakeets
    return total_birds","{'var_A': 6.0, 'var_B': 2.0, 'var_C': 7.0}",True,'Code_Result'
" Frank was collecting cans for recycling. On Saturday he filled 5 bags up and on Sunday he filled 3 more bags. If each bag had 5 cans in it, how many cans did he pick up total? ",40,40,40.0,40.0,"Frank was collecting cans for recycling. On Saturday he filled var_A bags up and on Sunday he filled var_B more bags. If each bag had var_C cans in it, how many cans did he pick up total?","1. Multiply the number of bags filled on Saturday by the number of cans in each bag to find the total number of cans.
2. Multiply the number of bags filled on Sunday by the number of cans in each bag to find the total number of cans.",var_A * var_C + var_B * var_C,"def solution(var_A, var_B, var_C):
    total_cans = var_A * var_C + var_B * var_C
    return total_cans","{'var_A': 5.0, 'var_B': 3.0, 'var_C': 5.0}",False,
" Haley was playing a video game and had 14 lives. In a hard part of the game she lost 4 lives. If she got 36 more lives in the next level, how many lives would she have? ",46,46,46.0,46.0,"Haley was playing a video game and had var_A lives. In a hard part of the game she lost var_B lives. If she got var_C more lives in the next level, how many lives would she have?","1. Start with the number of lives Haley had initially.
2. Subtract the number of lives she lost to find out how many lives she had left.
3. Add the number of lives she got in the next level to find out how many lives she has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    lives_left = var_A - var_B
    lives_now = lives_left + var_C
    return lives_now","{'var_A': 14.0, 'var_B': 4.0, 'var_C': 36.0}",False,
